name,is_composer,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Kapuściński Jarosław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kapuscinski-jaroslaw-en,true,Q19958235
Karałow Andrzej,true,11th January 1991,Łódź,,,https://polmic.pl/en/encyclopedia/subject-entries/k/karalow-andrzej-en,false,
Karczyński Aleksander,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/karczynski-aleksander-en,false,
Karłowicz Mieczysław,true,11th Dec. 1876,Wiszniewo,8th Feb. 1909,the Tatra,https://polmic.pl/en/encyclopedia/subject-entries/k/karlowicz-mieczyslaw-en,true,Q508891
Karski Dominik,true,24th June 1972,Szczebrzeszyn,,,https://polmic.pl/en/encyclopedia/subject-entries/k/karski-dominik-en,false,
Kassern Tadeusz Zygfryd,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kassern-tadeusz-zygfryd-en,false,
Kasztelan Wacław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kasztelan-waclaw-en,false,
Kaszuba Barbara,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kaszuba-barbara-en,false,
Kaszycki Jerzy,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kaszycki-jerzy-en,false,
Kaszycki Lucjan,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kaszycki-lucjan-en,false,
Kataszek Szymon,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kataszek-szymon-en,false,
Kątski Antoni,true,,,7th December 1899,Ivanchytsi (Ukraine),https://polmic.pl/en/encyclopedia/subject-entries/k/katski-antoni-en,true,Q263091
Kątski Apolinary,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/katski-apolinary-en,false,
Kawalla Szymon,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kawalla-szymon-en,false,
Kazuro Stanisław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kazuro-stanislaw-en,false,
Kędziora Monika,true,25th June 1971,Ostrów Wielkopolski,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kedziora-monika-en,false,
Kiełb Krystian,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kielb-krystian-en,false,
Kiesewetter Tomasz,true,8th September 1911,Sosnowiec,29th November 1992,Łódź,https://polmic.pl/en/encyclopedia/subject-entries/k/kiesewetter-tomasz-en,false,
Kilar Wojciech,true,17 July 1932,Lviv,29 December 2013,Katowice,https://polmic.pl/en/encyclopedia/subject-entries/k/kilar-wojciech-en,true,Q319777
Kisiel Iwona,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kisiel-iwona-en,false,
Kisielewski Stefan,true,7th March 1911,Warsaw,27th Sept. 1991,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/k/kisielewski-stefan-en,false,
Klechniowska Anna Maria,true,15th April 1888,Borowka,26th August 1973,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/k/klechniowska-anna-maria-en,true,Q4767303
Klecki Paweł,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/klecki-pawel-en,false,
Klejne Henryk,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/klejne-henryk-en,false,
Klimek Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/klimek-piotr-en,false,
Klisowski Ryszard Mieczysław,true,29th October 1937,Łuck,,,https://polmic.pl/en/encyclopedia/subject-entries/k/klisowski-ryszard-mieczyslaw-en,false,
Klocek Adam,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/klocek-adam-en,false,
Kłoczko Rafał,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kloczko-rafal-en,false,
Klukowski Józef Tadeusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/klukowski-jozef-tadeusz-en,false,
Kluzowicz Michał,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kluzowicz-michal-en,false,
Knapik Eugeniusz,true,9th July 1951,Ruda Śląska,,,https://polmic.pl/en/encyclopedia/subject-entries/k/knapik-eugeniusz-en,false,
Knittel Krzysztof,true,"May 1, 1947",Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/k/knittel-krzysztof-en,true,Q1323137
Kobiałka Mateusz,true,15th February 1978,Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kobialka-mateusz-en,false,
Kochaniec Konstancja,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kochaniec-konstancja-en,false,
Koczalski Raul,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/koczalski-raul-en,false,
Koffler Józef,true,28th November 1896,Stryj (now the Ukraine),,,https://polmic.pl/en/encyclopedia/subject-entries/k/koffler-jozef-en,true,Q655026
Kolberg Henryk Oskar,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kolberg-henryk-oskar-en,false,
Koliński Mieczysław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kolinski-mieczyslaw-en,false,
Komiażyk Magdalena,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/komiazyk-magdalena-en,false,
Komorowski Ignacy Marceli,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/komorowski-ignacy-marceli-en,false,
Komorowski Piotr A.,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/komorowski-piotr-a-en,false,
Komsta Marzena,true,7th February 1970,Gdynia,,,https://polmic.pl/en/encyclopedia/subject-entries/k/komsta-marzena-en,true,Q3296372
Konarski Adrian,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/konarski-adrian-en,false,
Kondracki Michał,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kondracki-michal-en,false,
Konieczny Zygmunt,true,3rd January 1937,Kraków,,,https://polmic.pl/en/encyclopedia/subject-entries/k/konieczny-zygmunt-en,false,
Konopasek Feliks,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/konopasek-feliks-en,false,
Konowalski Benedykt,true,21st March 1928,Radom,27th January 2021,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/k/konowalski-benedykt-en,false,
Kopczyński Marcin,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kopczynski-marcin-en,false,
Koprowski Piotr Paweł,true,24th August 1947,Łódź,,,https://polmic.pl/en/encyclopedia/subject-entries/k/koprowski-piotr-pawel-en,false,
Korczak Janusz Krzysztof Michał,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/korczak-janusz-krzysztof-michal-en,false,
Kordaczuk Jarosław,true,18th August 1967,Biskupiec,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kordaczuk-jaroslaw-en,false,
Kornowicz Jerzy,true,12th August 1959,Lublin,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kornowicz-jerzy-en,false,
Korzeniowski Abel,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/korzeniowski-abel-en,false,
Kościów Aleksander,true,5th May 1974,Opole,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kosciow-aleksander-en,false,
Kosecka Martyna,true,18th January 1989,Gdynia,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kosecka-martyna-en,false,
Kosecki Kamil,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kosecki-kamil-en,false,
Koszewski Andrzej,true,"26th July, 1922",Poznań,17th February 2015,Poznań,https://polmic.pl/en/encyclopedia/subject-entries/k/koszewski-andrzej-en,true,Q515103
Kotoński Włodzimierz,true,23rd August 1925,Warsaw,4th September 2014,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/k/kotonski-wlodzimierz-en,true,Q1385024
Kowalewski Jakub Wiktor,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kowalewski-jakub-wiktor-en,false,
Kowalowski Zenon,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kowalowski-zenon-en,false,
Kowalska-Lasoń Justyna,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kowalska-lason-justyna-en,false,
Kowalski-Banasewicz Bartosz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kowalski-banasewicz-bartosz-en,false,
Koziej Zuzanna,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/koziej-zuzanna-en,false,
Kozłowski Aleksander,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kozlowski-aleksander-en,false,
Kozłowski Jarosław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kozlowski-jaroslaw-en,false,
Kozłowski Krzysztof,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kozlowski-krzysztof-en,false,
Kozub Zbigniew,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kozub-zbigniew-en,false,
Krajewski Sebastian,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krajewski-sebastian-en,false,
Krauze Zygmunt,true,19 September 1938,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krauze-zygmunt-en,true,Q245348
Krawczyk Agata,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krawczyk-agata-en,false,
Krcha Bartłomiej,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krcha-bartlomiej-en,false,
Krenz Jan,true,14th July 1926,Włocławek,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krenz-jan-en,false,
Król Waldemar,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krol-waldemar-en,false,
Kroschel Artur,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kroschel-artur-en,false,
Kruczek Zbigniew,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kruczek-zbigniew-en,false,
Krupowicz Stanisław,true,25th November 1952,Grodno,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krupowicz-stanislaw-en,false,
Krzanowska Grażyna,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krzanowska-grazyna-en,false,
Krzanowski Andrzej,true,9th April 1951,Bielsko-Biała,1st October 1990,Czechowice-Dziedzice,https://polmic.pl/en/encyclopedia/subject-entries/k/krzanowski-andrzej-en,false,
Krzemieński Witold,true,20th April 1909,Lviv,27th August 2001,Poznań,https://polmic.pl/en/encyclopedia/subject-entries/k/krzemienski-witold-en,false,
Krzyżanowski Tomasz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/krzyzanowski-tomasz-en,false,
Kuczyński Marek,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kuczynski-marek-en,false,
Kułakowski Leszek,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kulakowski-leszek-en,false,
Kulenty Hanna,true,18th March 1961,Białystok,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kulenty-hanna-en,true,Q453451
Kulenty Michał,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kulenty-michal-en,false,
Kuls Aleksandra,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kuls-aleksandra-en,false,
Kunicki Marek,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kunicki-marek-en,false,
Kupczak Sławomir,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kupczak-slawomir-en,false,
Kuran Szymon,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kuran-szymon-en,false,
Kurylewicz Andrzej,true,"Nov. 24, 1932",Lwów (Lvov),"April 13, 2007",Konstancin,https://polmic.pl/en/encyclopedia/subject-entries/k/kurylewicz-andrzej-en,false,
Kuźnik Norbert Mateusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kuznik-norbert-mateusz-en,false,
Kwapiński Paweł,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kwapinski-pawel-en,false,
Kwiatkowska Daria Dobrochna,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kwiatkowska-daria-dobrochna-en,false,
Kwiatkowski Ryszard,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kwiatkowski-ryszard-en,false,
Kwiecień-Długosz Katarzyna,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kwiecien-dlugosz-katarzyna-en,false,
Kwieciński Andrzej,true,11th June 1984,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/k/kwiecinski-andrzej-en,false,
Łabuński Feliks Roderyk,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l-1/labunski-feliks-roderyk-en,false,
Łabuński Wiktor,true,April 14th 1895,St,January 26th 1974,Kansas City (Missouri),https://polmic.pl/en/encyclopedia/subject-entries/l-1/labunski-wiktor-en,false,
Lachert Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lachert-piotr-en,true,Q707254
Lachman Wacław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lachman-waclaw-en,false,
Ładyżyński Sebastian,true,28th August 1985,Wrocław,,,https://polmic.pl/en/encyclopedia/subject-entries/l-1/ladyzynski-sebastian-en,false,
Laks Szymon,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/laks-szymon-en,false,
Lampart Zbigniew A.,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lampart-zbigniew-a-en,false,
Laskowski Mikołaj,true,14th October 1988,Gdynia,,,https://polmic.pl/en/encyclopedia/subject-entries/l/laskowski-mikolaj-en,false,
Lasocki Józef Karol,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lasocki-jozef-karol-en,false,
Lasoń Aleksander,true,10 November 1951,Siemianowice Śląskie,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lason-aleksander-en,false,
Lasoń Stanisław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lason-stanislaw-en,false,
Latecki Ryszard,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/latecki-ryszard-en,false,
Ledoff Lena,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/ledoff-lena-en,false,
Lefeld Jerzy,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lefeld-jerzy-en,false,
Lemiszewski Marcin,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lemiszewski-marcin-en,false,
Leopolita Marcin,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/leopolita-marcin-en,true,Q954206
Lessel Franciszek,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lessel-franciszek-en,true,Q325057
Liban z Legnicy Jerzy,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/liban-z-legnicy-jerzy-en,false,
Lipiński Karol,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lipinski-karol-en,false,
Litwiński Mieczysław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/litwinski-mieczyslaw-en,false,
Lorenc Michał,true,5th October 1955,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lorenc-michal-en,false,
Łowżył Zbigniew,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l-1/lowzyl-zbigniew-en,false,
Lubieniecki Ryszard,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lubieniecki-ryszard-en,false,
Lublin Jarosław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l/lublin-jaroslaw-en,false,
Łuciuk Juliusz,true,1st January 1927,Brzeźnica near Radomsko,17th October 2020,Kraków,https://polmic.pl/en/encyclopedia/subject-entries/l-1/luciuk-juliusz-en,false,
Łuczkowski Radosław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l-1/luczkowski-radoslaw-en,false,
Łukaszewski Marcin Tadeusz,true,20th November 1972,Częstochowa,,,https://polmic.pl/en/encyclopedia/subject-entries/l-1/lukaszewski-marcin-tadeusz-en,false,
Łukaszewski Paweł,true,19th September 1968,Częstochowa,,,https://polmic.pl/en/encyclopedia/subject-entries/l-1/lukaszewski-pawel-en,false,
Łukaszewski Wojciech,true,10th March 1936,Częstochowa,13th April 1978,Częstochowa,https://polmic.pl/en/encyclopedia/subject-entries/l-1/lukaszewski-wojciech-en,false,
Łukowiec Paweł,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/l-1/lukowiec-pawel-en,false,
Lutosławski Witold,true,"Jan. 25, 1913",Warsaw,"Feb. 7, 1994",Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/l/lutoslawski-witold-en,true,Q156472
Machl Tadeusz,true,22 October 1922,Lwów (Lvov,31st August 2003,Cracow,https://polmic.pl/en/encyclopedia/subject-entries/m/machl-tadeusz-en,false,
Maciejewski Roman,true,28 February 1910,Berlin,30 April 1998,Göteborg,https://polmic.pl/en/encyclopedia/subject-entries/m/maciejewski-roman-en,false,
Madey Bogusław,true,31st May 1932,Sosnowiec,,,https://polmic.pl/en/encyclopedia/subject-entries/m/madey-boguslaw-en,false,
Madey Emilian,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/madey-emilian-en,false,
Magin Miłosz,true,6th July 1929,Łódź,4th March 1999,Bora Bora (French Polynesia),https://polmic.pl/en/encyclopedia/subject-entries/m/magin-milosz-en,true,Q3317379
Majchrzak Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/majchrzak-piotr-en,false,
Majerski Tadeusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/majerski-tadeusz-en,false,
Majka Grzegorz,true,14th September 1981,Zaborów,,,https://polmic.pl/en/encyclopedia/subject-entries/m/majka-grzegorz-en,false,
Majkusiak Mikołaj,true,29 July 1983,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/m/majkusiak-mikolaj-en,false,
Maklakiewicz Franciszek,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/maklakiewicz-franciszek-en,false,
Maklakiewicz Jan Adam,true,24th November 1899,Chojnata near Skierniewice,7th February 1954,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/m/maklakiewicz-jan-adam-en,false,
Maklakiewicz Tadeusz Wojciech,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/maklakiewicz-tadeusz-wojciech-en,false,
Makowski Mieczysław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/makowski-mieczyslaw-en,false,
Maksymiuk Jerzy,true,9th April 1936,Grodno (now Grodna in Belarus),,,https://polmic.pl/en/encyclopedia/subject-entries/m/maksymiuk-jerzy-en,false,
Malawski Artur,true,4th July 1904,Przemyśl,26th December 1957,Cracow,https://polmic.pl/en/encyclopedia/subject-entries/m/malawski-artur-en,true,Q714626
Małecki Maciej,true,27th November 1940,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/m/malecki-maciej-en,true,Q1649144
Małek Anna,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/malek-anna-en,false,
Malinowski Paweł,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/malinowski-pawel-en,false,
Maliszewski Witold,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/maliszewski-witold-en,true,Q2094426
Mamczarski Jarosław,true,24 April 1974,Gliwice,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mamczarski-jaroslaw-en,false,
Manderla Tomasz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/manderla-tomasz-en,false,
Marczewski Aleksander,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/marczewski-aleksander-en,false,
Marek Czesław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/marek-czeslaw-en,false,
Markiewiczówna Władysława,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/markiewiczowna-wladyslawa-en,true,Q2000671
Markowicz Marcin,true,19th March 1979,Wrocław,,,https://polmic.pl/en/encyclopedia/subject-entries/m/markowicz-marcin-en,false,
Markowski Andrzej,true,22nd August 1924,Lublin,30th October 1986,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/m/markowski-andrzej-en,false,
Masecki Marcin,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/masecki-marcin-en,false,
Matusik Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/matusik-piotr-en,false,
Matuszczak Bernadetta,true,10th March 1931,Toruń,,,https://polmic.pl/en/encyclopedia/subject-entries/m/matuszczak-bernadetta-en,false,
Matuszewski Filip,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/matuszewski-filip-en,false,
Mazurek Bohdan,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mazurek-bohdan-en,false,
Melcer-Szczawiński Henryk,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/melcer-szczawinski-henryk-en,true,Q605061
Mencel Joachim,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mencel-joachim-en,false,
Meyer Krzysztof,true,"11th August, 1943",Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/m/meyer-krzysztof-en,true,Q652558
Mezer Agata de,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mezer-agata-de-en,false,
Michalek Stanisław,true,20th May 1925,Kraków,6th July 1997,Opole,https://polmic.pl/en/encyclopedia/subject-entries/m/michalek-stanislaw-en,false,
Michałowski Aleksander,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/michalowski-aleksander-en,false,
Michniewski Wojciech,true,4th April 1947,Łódź,,,https://polmic.pl/en/encyclopedia/subject-entries/m/michniewski-wojciech-en,false,
Michno Wojciech,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/michno-wojciech-en,false,
Mielczewski Marcin,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mielczewski-marcin-en,true,Q121900
Mierzejewski Mieczysław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mierzejewski-mieczyslaw-en,false,
Miklaszewski Lech,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/miklaszewski-lech-en,false,
Mikołaj z Chrzanowa,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mikolaj-z-chrzanowa-en,true,
Mikołaj z Krakowa,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mikolaj-z-krakowa-en,false,
Mikołaj z Radomia,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mikolaj-z-radomia-en,false,
Milosz Anthony Oscar,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/milosz-anthony-oscar-en,false,
Minkus Czesław Teofil,true,27th April 1957,Leszno,,,https://polmic.pl/en/encyclopedia/subject-entries/m/minkus-czeslaw-teofil-en,false,
Mirowski Marcin,true,29 July 1976,Częstochowa,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mirowski-marcin-en,false,
Miśkiewicz Grzegorz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/miskiewicz-grzegorz-en,false,
Młodziejowski Jerzy,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mlodziejowski-jerzy-en,false,
Młynarski Emil,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mlynarski-emil-en,false,
Moc Michał,true,9th March 1977,Wrocław,,,https://polmic.pl/en/encyclopedia/subject-entries/m/moc-michal-en,false,
Moniuszko Stanisław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/moniuszko-stanislaw-en,true,Q217613
Morawski-Dąbrowa Eugeniusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/morawski-dabrowa-eugeniusz-en,false,
Moryto Stanisław,true,8th May 1947,Łącko (near Nowy Sącz),,,https://polmic.pl/en/encyclopedia/subject-entries/m/moryto-stanislaw-en,false,
Moss Piotr,true,13th May 1949,Bydgoszcz,,,https://polmic.pl/en/encyclopedia/subject-entries/m/moss-piotr-en,false,
Moszumańska-Nazar Krystyna,true,5th September 1924,Lwów (Lvov),27th September 2008,Kraków (Cracow),https://polmic.pl/en/encyclopedia/subject-entries/m/moszumanska-nazar-krystyna-en,true,
Moyseowicz Gabriela,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/moyseowicz-gabriela-en,true,Q509720
Mozgała Andrzej,true,16 April 1975,Bielsko-Biała,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mozgala-andrzej-en,false,
Mroszczyk Karol,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mroszczyk-karol-en,false,
Mrozek Wojciech,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mrozek-wojciech-en,false,
Murawski Marcin,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/murawski-marcin-en,false,
Muzyka Paweł,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/m/muzyka-pawel-en,false,
Mycielski Zygmunt,true,17th August 1907,Przeworsk,5th August 1987,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/m/mycielski-zygmunt-en,true,Q245372
Mykietyn Paweł,true,20th May 1971,Oława,,,https://polmic.pl/en/encyclopedia/subject-entries/m/mykietyn-pawel-en,true,Q436228
Natanson Tadeusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/natanson-tadeusz-en,false,
Nawrocka-Woźniak Aldona,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/nawrocka-wozniak-aldona-en,false,
Nawrocki Stanisław Hieronim,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/nawrocki-stanislaw-hieronim-en,false,
Negrey Maciej,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/negrey-maciej-en,false,
Nepelski Karol,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/nepelski-karol-en,false,
Nidecki Tomasz Napoleon,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/nidecki-tomasz-napoleon-en,true,Q1767931
Niedzielak Zuzanna,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/niedzielak-zuzanna-en,false,
Nierubiec Marcin,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/nierubiec-marcin-en,false,
Nikodemowicz Andrzej,true,2nd January 1925,Lwów (Lvov),28 January 2017,Lublin,https://polmic.pl/en/encyclopedia/subject-entries/n/nikodemowicz-andrzej-en,false,
Noskowski Zygmunt,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/noskowski-zygmunt-en,true,Q245379
Nowak Aleksander,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/nowak-aleksander-en,false,
Nowicka Ewelina,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/nowicka-ewelina-en,false,
Nowowiejski Feliks,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/n/nowowiejski-feliks-en,false,
Ogiński Michał Kleofas,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/o/oginski-michal-kleofas-en,true,Q709977
Olczak Krzysztof,true,26th May 1956,Łódź,,,https://polmic.pl/en/encyclopedia/subject-entries/o/olczak-krzysztof-en,false,
Oleś Marcin,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/o/oles-marcin-en,false,
Oleszkowicz Jan,true,30th September 1947,Jelenia Góra,,,https://polmic.pl/en/encyclopedia/subject-entries/o/oleszkowicz-jan-en,false,
Olkuśnik Joachim,true,27th March 1927,Kostrzyna,18th December 2008,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/o/olkusnik-joachim-en,false,
Olszamowski Sławomir,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/o/olszamowski-slawomir-en,false,
Olszewski Jarosław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/o/olszewski-jaroslaw-en,false,
Opaliński Sławomir,true,4th May 1977,Zduńska Wola,,,https://polmic.pl/en/encyclopedia/subject-entries/o/opalinski-slawomir-en,false,
