article,name,birth,death,flourish,nationality,musical_scool,surviving_work,era
Paolo_da_Firenze,Paolo da Firenze (Paolo Tenorista),c. 1355,c. 1436,,Italian,Trecento,,Medieval
Solage,Solage,14th century,after 1403,,French,Ars subtilior,,Medieval
Hugo_von_Montfort,Hugo von Montfort,1357,1423,,German (Austrian),,,Medieval
Jehan_Vaillant,Jehan Vaillant (Johannes Vaillant),,,1360–1390,French,Ars nova,Five (six?) works,Medieval
Giovanni_Mazzuoli,Giovanni Mazzuoli (Giovanni degli Organi),1360,1426,,Italian,Trecento,,Medieval
Grazioso_da_Padova,Grazioso da Padova (Gratiosus de Padua),,,c. 1391? – 15th century?,Italian,Trecento,,Medieval
Martinus_Fabri,Martinus Fabri,,,1395 – 1400,Dutch,,,Medieval
Borlet,Borlet,,,c.1397? – after 1409,French,Ars subtilior,One work; a four-voice virelai,Medieval
Aleyn,Aleyn,,,c. 1400 – 15th century,English,,,Medieval
Johannes_Ciconia,Johannes Ciconia,c. 1370,1412,,Flemish,Trecento,,Medieval
Matteo_da_Perugia,Matteo da Perugia,,,1400 – after 1416,Italian,Trecento,,Medieval
Johannes_de_Lymburgia,Johannes de Lymburgia,c. 1370,1430,,Belgian,Franco-Flemish School,,Medieval
Johannes_Tapissier,Johannes Tapissier (Jean de Noyers),c. 1370,before 1410,,Burgundian,,,Medieval
Johannes_Cuvelier,Johannes CuvelierJean; Jacquemart le Cuvelier,,,c.1372 – after 1387,French,Ars subtilior,Four works,Medieval
Antonio_da_Cividale,Antonio da Cividale (Antonius de Civitate Austrie),,,c. 1392 – 1421,Italian,Trecento,,Medieval
Grimace_(composer),Grimace,,,mid-to-late 14th century,French,Ars nova,Five (Seven?) Works,Medieval
Antonello_da_Caserta,Antonello da Caserta,14th century,after 1402?,,Italian,Trecento,,Medieval
Nicolas_Grenon,Nicolas Grenon,c. 1375,1456,,Burgundian,,,Medieval
Oswald_von_Wolkenstein,Oswald von Wolkenstein,c. 1377,1445,,German,,,Medieval
,Andrea Stefani,,,c. 1399 – 15th century,Italian,Trecento,,Medieval
Bartolomeo_da_Bologna,Bartolomeo da Bologna,,,1405 – after 1427,Italian,Trecento,,Medieval
Baude_Cordier,Baude Cordier,c. 1380,before 1440,,French,Ars subtilior,,Medieval
Thomas_Fabri,Thomas Fabri,1380,1420,,Flemish,,,Medieval
Pierre_Fontaine_(composer),Pierre Fontaine,c. 1380,c. 1450,,French,,,Medieval
Nicolaus_Ricci_de_Nucella_Campli,Nicolaus Ricci de Nucella Campli,,,1401-20 – after 1436,Italian,Trecento,,Medieval
Mikołaj_Radomski,Mikołaj Radomski (Nicolaus de Radom),c. 1380,15th century,,Polish,,,Medieval
Ugolino_da_Forlì,Ugolino da Forlì/da Orvieto,c. 1380,c. 1457,,Italian,Trecento,,Medieval
Leonel_Power,Leonel Power,c. 1370/1385?,1445,,English,,,Medieval
Jacobus_Vide,Jacobus Vide,1385,1433,,Burgundian,,,Medieval
Queldryk,Queldryk,,,c. 1400 – 15th century,English,,,Medieval
Johannes_Cesaris,Johannes Cesaris,,,1406 – 1417,French,,,Medieval
Roy_Henry,Roy Henry (probably Henry V of England),,,c. 1410 – 15th century,English,,,Medieval
Byttering,Byttering (possibly Thomas Byttering),,,c. 1410 – after 1420?,English,,,Medieval
Conradus_de_Pistoia,Conradus de Pistoia (Coradus de Pistorio),,,c. 1410 – 15th century,Italian,Trecento,,Medieval
John_Dunstaple,John Dunstaple (John Dunstable),c.1390,1453,,English,,,Medieval
Hugo_de_Lantins,Hugo de Lantins,,,c. 1420 – after 1430?,Flemish,,,Medieval
Richard_Loqueville,Richard Loqueville,,1418,,French,,,Medieval
Pycard,Pycard,,,c. 1410 – 15th century,English or French,,,Medieval
Arnold_de_Lantins,Arnold de Lantins,,,1423 – 1432,Flemish,,,Medieval
Estienne_Grossin,Estienne Grossin,,,1418 – after 1421,French,,,Medieval
