article,name,birth,death,flourish,era
Michel de La Guerre,Michel de La Guerre,c. 1606,1679,,Baroque
Aldebrando Subissati,Aldebrando Subissati,1606,1677,,Baroque
Urbán de Vargas,Urbán de Vargas,1606,1656,,Baroque
Sigmund Theophil Staden,Sigmund Theophil Staden,1607,1655,,Baroque
Abraham Megerle,Abraham Megerle,1607,1680,,Baroque
Philipp Friedrich Böddecker,Philipp Friedrich Böddecker,1607,1683,,Baroque
"Ferdinand III, Holy Roman Emperor#Music",Ferdinand III,1608,1657,,Baroque
Jacques de Gouy,Jacques de Gouy,c. 1610,after 1650,,Baroque
Valentin de Bournonville,Valentin de Bournonville,1610,1663,,Baroque
François Cosset,François Cosset,1610,1664,,Baroque
Nicolas Hotman,Nicolas Hotman,c. 1610,1663,,Baroque
João Lourenço Rebelo,João Lourenço Rebelo,1610,1661,,Baroque
William Young (composer),William Young,c. 1610,1662,,Baroque
Nicolas Métru,Nicolas Métru,1610,1668,,Baroque
Sébastien Le Camus,Sébastien Le Camus,c. 1610,1677,,Baroque
Leonora Duarte,Leonora Duarte,1610,1678,,Baroque
Luigi Battiferri,Luigi Battiferri,c. 1610,after 1682,,Baroque
Henri Dumont,Henri Du Mont,1610,1684,,Baroque
George Jeffreys (composer),George Jeffreys,c. 1610,1685,,Baroque
Michel Lambert,Michel Lambert,1610,1696,,Baroque
Leonora Baroni,Leonora Baroni,1611,1670,,Baroque
Thomas Brewer (composer),Thomas Brewer,1611,c. 1660,,Baroque
Pablo Bruna,Pablo Bruna,1611,1679,,Baroque
Andreas Hammerschmidt,Andreas Hammerschmidt,1611/1612,1675,,Baroque
Wolfgang Ebner,Wolfgang Ebner,1612,1665,,Baroque
Jacques Huyn,Jacques Huyn,1613,1652,,Baroque
Duchess Elisabeth Sophie of Mecklenburg,Elisabeth Sophie,1613,1676,,Baroque
Thomas Mace,Thomas Mace,c. 1613,1709?,,Baroque
Louis de Mollier,Louis de Mollier,c. 1613,1688,,Baroque
Giovanni Antonio Rigatti,Giovanni Antonio Rigatti,c. 1613,1648,,Baroque
Wilhelm Karges,Wilhelm Karges,1613/1614,1699,,Baroque
Jean-Baptiste Boësset,Jean-Baptiste Boësset,1614,1685,,Baroque
Philipp Friedrich Buchner,Philipp Friedrich Buchner,1614,1669,,Baroque
Juan Hidalgo de Polanco,Juan Hidalgo de Polanco,1614,1685,,Baroque
Marc'Antonio Pasqualini,Marc'Antonio Pasqualini,1614,1691,,Baroque
Franz Tunder,Franz Tunder,1614,1667,,Baroque
Yatsuhashi Kengyo,Yatsuhashi Kengyo,1614,1685,,Baroque
Francesca Campana,Francesca Campana,c. 1615,1665,,Baroque
Heinrich Bach,Heinrich Bach,1615,1692,,Baroque
Angelo Michele Bartolotti,Angelo Michele Bartolotti,c. 1615,1696,,Baroque
Guillaume Dumanoir,Guillaume Dumanoir,1615 , 1697,,Baroque
Francesco Corbetta,Francesco Corbetta,c. 1615,1681,,Baroque
Christopher Gibbons,Christopher Gibbons,1615,1676,,Baroque
Francisco López Capillas,Francisco López Capillas,c. 1615,1673,,Baroque
Maurizio Cazzati,Maurizio Cazzati,1616,1678,,Baroque
Kaspar Förster,Kaspar Förster,1616,1673,,Baroque
Johann Jakob Froberger,Johann Jakob Froberger,1616,1667,,Baroque
Johann Erasmus Kindermann,Johann Erasmus Kindermann,1616,1655,,Baroque
Jacques de Saint-Luc,Jacques de Saint-Luc,1616,c. 1710,,Baroque
Matthias Weckmann,Matthias Weckmann,c. 1616,1674,,Baroque
Carlo Caproli,Carlo Caproli,c. 1617,c. 1692,,Baroque
Nicolaus Hasse,Nicolaus Hasse,c. 1617,1672,,Baroque
Francisco Martins,Francisco Martins,c. 1617?,1680,,Baroque
Joan Cererols,Joan Cererols,1618,1680,,Baroque
Abraham van den Kerckhoven,Abraham van den Kerckhoven,c. 1618,c. 1701,,Baroque
José Marín (composer),José Marín,1618,1699,,Baroque
Pierre Robert (composer),Pierre Robert,c. 1618,1699,,Baroque
Giulio Cesare Arresti,Giulio Cesare Arresti,1619,1701,,Baroque
Anthoni van Noordt,Anthoni van Noordt,c. 1619,1675,,Baroque
Johann Rosenmüller,Johann Rosenmüller,1619,1684,,Baroque
Barbara Strozzi,Barbara Strozzi,1619,1677,,Baroque
Juan García de Zéspedes,Juan García de Zéspedes,c. 1619,1678,,Baroque
Janez Krstnik Dolar,Johannes Baptista Dolar,c. 1620,1673,,Baroque
Adam Drese,Adam Drese,c. 1620,1701,,Baroque
Isabella Leonarda,Isabella Leonarda,1620,1704,,Baroque
Johann Heinrich Schmelzer,Johann Heinrich Schmelzer,c. 1620,1680,,Baroque
Giovanni Battista Granata,Giovanni Battista Granata,1620/1621,1687,,Baroque
Georg Arnold,Georg Arnold,1621,1676,,Baroque
Albertus Bryne,Albertus Bryne,1621,1668,,Baroque
Massimiliano Neri (composer),Massimiliano Neri (composer),1621,1666,,Baroque
Matthew Locke (composer),Matthew Locke,c. 1621,1677,,Baroque
Georg Neumark,Georg Neumark,1621,1681,,Baroque
Bertrand de Bacilly,Bertrand de Bacilly,1621,1690,,Baroque
Heinrich Schwemmer,Heinrich Schwemmer,1621,1696,,Baroque
Ercole Bernabei,Ercole Bernabei,1622,1687,,Baroque
Jean Lacquemant,Jean Lacquemant,c. 1622,1680,,Baroque
Gaspar de Verlit,Gaspar de Verlit,1622,1682,,Baroque
Dietrich Becker,Dietrich Becker,c. 1623,c. 1679,,Baroque
Antonio Cesti,Antonio Cesti,1623,1669,,Baroque
Jacopo Melani,Jacopo Melani,1623,1676,,Baroque
David Pohle,David Pohle,1624,1695,,Baroque
Francesco Provenzale,Francesco Provenzale,1624,1704,,Baroque
François Roberday,François Roberday,1624,1680,,Baroque
Johann Rudolph Ahle,Johann Rudolf Ahle,1625,1673,,Baroque
Alexandre Gallot,Alexandre Gallot,1625,1684,,Baroque
Jacques Gallot,Jacques Gallot,c. 1625,1695,,Baroque
Marco Giuseppe Peranda,Marco Giuseppe Peranda,c. 1625,1675,,Baroque
Wolfgang Carl Briegel,Wolfgang Carl Briegel,1626,1712,,Baroque
Louis Couperin,Louis Couperin,c. 1626,1661,,Baroque
Christian Flor,Christian Flor,1626,1697,,Baroque
Giovanni Legrenzi,Giovanni Legrenzi,1626,1690,,Baroque
Charles Mouton,Charles Mouton,1626,1710,,Baroque
Lucas Ruiz de Ribayaz,Lucas Ruiz de Ribayaz,1626,1667?,,Baroque
Nicolas Gigault,Nicolas Gigault,c. 1627,1707,,Baroque
Johann Caspar Kerll,Johann Caspar Kerll,1627,1693,,Baroque
Christoph Bernhard,Christoph Bernhard,1628,1692,,Baroque
Robert Cambert,Robert Cambert,c. 1628,1677,,Baroque
Samuel Capricornus,Samuel Capricornus,1628,1665,,Baroque
Constantin Christian Dedekind,Constantin Christian Dedekind,1628,1715,,Baroque
Gustaf Düben,Gustaf Düben,1628,1690,,Baroque
Paul Hainlein,Paul Hainlein,1628,1686,,Baroque
Jean-Henri d'Anglebert,Jean-Henri d'Anglebert,1629,1691,,Baroque
Lelio Colista,Lelio Colista,1629,1680,,Baroque
Lady Mary Dering,Lady Mary Dering,1629,1704,,Baroque
Andreas Hofer (composer),Andreas Hofer,1629,1684,,Baroque
Johann Michael Nicolai,Johann Michael Nicolai,1629,1685,,Baroque
John Banister (composer),John Banister,c. 1630,1679,,Baroque
Cristóbal Galán,Cristóbal Galán,c. 1630,1684,,Baroque
Filipe da Madre de Deus,Filipe da Madre de Deus,c. 1630,c. 1688 or later,,Baroque
Carlo Pallavicino,Carlo Pallavicino,c. 1630,1688,,Baroque
Giovanni Antonio Pandolfi Mealli,Giovanni Antonio Pandolfi Mealli,c. 1630?,1669/1670,,Baroque
Antonio Sartorio,Antonio Sartorio,1630,1680,,Baroque
Vincenzo Albrici,Vincenzo Albrici,1631,1696,,Baroque
Thomas Baltzar,Thomas Baltzar,c. 1631,1663,,Baroque
Nicolas Lebègue,Nicolas Lebègue,1631,1702,,Baroque
Sebastian Anton Scherer,Sebastian Anton Scherer,1631,1712,,Baroque
Francesco Antonio Urio,Francesco Antonio Urio,1631/1632,c. 1719,,Baroque
Jean-Baptiste Lully,Jean-Baptiste Lully,1632,1687,,Baroque
Guillaume-Gabriel Nivers,Guillaume-Gabriel Nivers,1632,1714,,Baroque
Giovanni Battista Vitali,Giovanni Battista Vitali,1632,1692,,Baroque
Jean-Nicolas Geoffroy,Jean-Nicolas Geoffroy,1633,1694,,Baroque
Sebastian Knüpfer,Sebastian Knüpfer,1633,1676,,Baroque
Joseph Chabanceau de La Barre,Joseph Chabanceau de La Barre,1633,1678,,Baroque
Pavel Josef Vejvanovský,Pavel Josef Vejvanovský,c. 1633/1639,1693,,Baroque
Innocent Boutry,Innocent Boutry,1634,1690-95,,Baroque
Clamor Heinrich Abel,Clamor Heinrich Abel,1634,1696,,Baroque
Antonio Draghi,Antonio Draghi,c. 1634,1700,,Baroque
Carlo Grossi,Carlo Grossi,c. 1634,1688,,Baroque
Adam Krieger,Adam Krieger,1634,1666,,Baroque
Andrés de Sola,Andrés de Sola,1634,1696,,Baroque
Pietro Simone Agostini,Pietro Simone Agostini,c. 1635,1680,,Baroque
Lambert Chaumont,Lambert Chaumont,c. 1635,1712,,Baroque
Jacques Thomelin,Jacques Thomelin,1635 , 40 ? -1693,,Baroque
Daniel Danielis,Daniel Danielis,1635,1696,,Baroque
Johann Wilhelm Furchheim,Johann Wilhelm Furchheim,c. 1635,1682,,Baroque
Miguel de Irízar,Miguel de Irízar,1635,1684,,Baroque
Joannes Florentius a Kempis,Joannes Florentius a Kempis,1635,after 1711,,Baroque
"Paul I, Prince Esterházy",Paul I,1635,1713,,Baroque
Augustin Pfleger,Augustin Pfleger,1635,1686,,Baroque
Jacek Różycki,Jacek Różycki,c. 1635,1704,,Baroque
Angelo Berardi,Angelo Berardi,c. 1636,1694,,Baroque
Giovanni Battista degli Antonii,Giovanni Battista degli Antonii,c. 1636?,after 1696,,Baroque
Esaias Reusner,Esaias Reusner,1636,1679,,Baroque
Dieterich Buxtehude,Dieterich Buxtehude,c. 1637,1707,,Baroque
Giovanni Paolo Colonna,Giovanni Paolo Colonna,1637,1695,,Baroque
Johann Georg Ebeling,Johann Georg Ebeling,1637,1676,,Baroque
Louis-Nicolas Le Prince,Louis-Nicolas Le Prince,1637,1693,,Baroque
Louis Chein,Louis Chein,1637,1694,,Baroque
Giovanni Maria Pagliardi,Giovanni Maria Pagliardi,1637,1702,,Baroque
Bernardo Pasquini,Bernardo Pasquini,1637,1710,,Baroque
Diogo Dias Melgás,Diogo Dias Melgás,1638,1700,,Baroque
Giovanni Buonaventura Viviani,Giovanni Buonaventura Viviani,1638,c. 1693,,Baroque
Pietro degli Antonii,Pietro degli Antonii,1639,1720,,Baroque
António Marques Lésbio,António Marques Lésbio,1639,1709,,Baroque
Alessandro Melani,Alessandro Melani,1639,1703,,Baroque
Johann Christoph Pezel,Johann Christoph Pezel,1639,1694,,Baroque
Juan García de Salazar,Juan García de Salazar,1639,1710,,Baroque
André Raison,André Raison,1640s,1719,,Baroque
Amalia Catharina,Amalia Catharina,1640,1697,,Baroque
Antonia Bembo,Antonia Bembo,c. 1640,1720,,Baroque
Cristoforo Caresana,Cristoforo Caresana,c. 1640,1709,,Baroque
Giovanni Battista Draghi (composer),Giovanni Battista Draghi,c. 1640,1708,,Baroque
Carolus Hacquart,Carolus Hacquart,c. 1640,1701?,,Baroque
"Leopold I, Holy Roman Emperor#Music",Leopold I,1640,1705,,Baroque
Paolo Lorenzani,Paolo Lorenzani,1640,1713,,Baroque
Carl Rosier,Carl Rosier,1640,1725,,Baroque
Monsieur de Sainte-Colombe,Monsieur de Sainte-Colombe,c. 1640,c. 1700,,Baroque
Gaspar Sanz,Gaspar Sanz,1640,1710,,Baroque
Nicolaus Adam Strungk,Nicolaus Adam Strungk,1640,1700,,Baroque
Esther Elizabeth Velkiers,Esther Elizabeth Velkiers,c. 1640,after 1685,,Baroque
Maria Francesca Nascinbeni,Maria Francesca Nascinbeni,1640,1680,,Baroque
Francesco Beretta,Francesco Beretta,c. 1640 , 1694,,Baroque
Wolfgang Caspar Printz,Wolfgang Caspar Printz,1641,1717,,Baroque
"Pierre Gaultier,","Pierre Gaultier,",1642,1696,,Baroque
Johann Friedrich Alberti,Johann Friedrich Alberti,1642,1710,,Baroque
Georg Christoph Bach,Georg Christoph Bach,1642,1697,,Baroque
Johann Christoph Bach,Johann Christoph Bach,1642,1703,,Baroque
Giovanni Maria Bononcini,Giovanni Maria Bononcini,1642,1678,,Baroque
Benedictus Buns,Benedictus Buns,1642,1716,,Baroque
Michelangelo Falvetti,Michelangelo Falvetti,1642,1692,,Baroque
Pierre-Richard Menault,Pierre-Richard Menault,1642,1694,,Baroque
Friedrich Funcke,Friedrich Funcke,1642,1699,,Baroque
Marc-Antoine Charpentier,Marc-Antoine Charpentier,1643,1704,,Baroque
Johann Adam Reincken,Johann Adam Reincken,1643?,1722,,Baroque
Alessandro Stradella,Alessandro Stradella,1643,1682,,Baroque
Ignazio Albertini,Ignazio Albertini,1644,1685,,Baroque
Heinrich Ignaz Franz von Biber,Heinrich Ignaz Franz von Biber,1644,1704,,Baroque
Juan Bautista Cabanilles,Juan Bautista Cabanilles,1644,1712,,Baroque
Maria Cattarina Calegari,Maria Cattarina Calegari,1644,1675,,Baroque
Johann Samuel Drese,Johann Samuel Drese,c. 1644,1716,,Baroque
Johann Wolfgang Franck,Johann Wolfgang Franck,1644,1710,,Baroque
Tomás de Torrejón y Velasco,Tomás de Torrejón y Velasco,1644,1728,,Baroque
Johann Georg Conradi,Johann Georg Conradi,1645,1699,,Baroque
August Kühnel,August Kühnel,1645,c. 1700,,Baroque
Johann Löhner,Johann Löhner,1645,1705,,Baroque
Carlo Ambrogio Lonati,Carlo Ambrogio Lonati,c. 1645,1710,,Baroque
Pierre Tabart,Pierre Tabart,1645,1717,,Baroque
Christian Ritter,Christian Ritter,c. 1645,c. 1725,,Baroque
Andreas Werckmeister,Andreas Werckmeister,1645,1706,,Baroque
Juan de Araujo,Juan de Araujo,1646,1712,,Baroque
Johann Fischer (composer),Johann Fischer,1646,1716,,Baroque
Rupert Ignaz Mayr,Rupert Ignaz Mayr,1646,1712,,Baroque
René Pignon Descoteaux,René Pignon Descoteaux,c. 1646,1728,,Baroque
Johann Theile,Johann Theile,1646,1724,,Baroque
Pelham Humfrey,Pelham Humfrey,1647,1674,,Baroque
Antonio Teodoro Ortells,Antonio Teodoro Ortells,1647,1702,,Baroque
Michael Wise,Michael Wise,c. 1647,1687,,Baroque
Pierre Danican Philidor,Pierre Danican Philidor,1647,1730,,Baroque
Johann Michael Bach,Johann Michael Bach,1648,1694,,Baroque
Johann Melchior Caesar,Johann Melchior Caesar,c. 1648,1692,,Baroque
Giovanni Maria Capelli,Giovanni Maria Capelli,1648,1726,,Baroque
David Funck,David Funck,1648?,after 1690,,Baroque
Johann Schelle,Johann Schelle,1648,1701,,Baroque
Poul Christian Schindler,Poul Christian Schindler,1648,1740,,Baroque
Giuseppe Antonio Bernabei,Giuseppe Antonio Bernabei,1649,1732,,Baroque
John Blow,John Blow,1649,1708,,Baroque
Jacques Boyvin,Jacques Boyvin,1649,1706,,Baroque
Pieter Bustijn,Pieter Bustijn,c. 1649,1729,,Baroque
Pascal Collasse,Pascal Collasse,1649,1709,,Baroque
Michel Farinel,Michel Farinel,1649,1726,,Baroque
Francesc Guerau,Francesc Guerau,1649,1717/1722,,Baroque
Andreas Kneller,Andreas Kneller,1649,1724,,Baroque
Johann Philipp Krieger,Johann Philipp Krieger,1649,1725,,Baroque
Johann Valentin Meder,Johann Valentin Meder,1649,1719,,Baroque
François-Joseph Salomon,François-Joseph Salomon,1649,1732,,Baroque
Pedro de Araújo,Pedro de Araújo,,,1662–1705,Baroque
Alba Trissina,Alba Trissina,1622,,,Baroque
Bartholomäus Aich,Bartholomäus Aich,,,1648,Baroque
Gioan Pietro Del Buono,Gioan Pietro Del Buono,,1657,1641–1644,Baroque
John Gamble (musician),John Gamble,,1687,from 1641,Baroque
Gervise Gerrard,Gervise Gerrard,16??,16??,,Baroque
Bernardo Gianoncelli,Bernardo Gianoncelli,,before 1650,early 17th century,Baroque
Louis Grabu,Louis Grabu,,,1665–1693,Baroque
Nicola Matteis,Nicola Matteis,,after 1713,c. 1670–1698,Baroque
Peter Mohrhardt,Peter Mohrhardt,,1685,from 1662,Baroque
Bartłomiej Pękiel,Bartłomiej Pękiel,,c. 1670,,Baroque
Bernardo Sabadini,Bernardo Sabadini,,1718,from 1662,Baroque
Louis Saladin,Louis Saladin,,,c. 1670,Baroque
Bernardo Storace,Bernardo Storace,,,1664,Baroque
Cataldo Amodei,Cataldo Amodei,c. 1650,c. 1695,,Baroque
Giovanni Battista Bassani,Giovanni Battista Bassani,c. 1650,1716,,Baroque
Giovanni Battista Brevi,Giovanni Battista Brevi,c. 1650,1725,,Baroque
Christian Geist,Christian Geist,c. 1650,1711,,Baroque
Jan Antonín Losy,Johann Anton Losy,c. 1650,1721,,Baroque
Guillaume Minoret,Guillaume Minoret,c. 1650,1717/1720,,Baroque
Juan de Navas,Juan Francisco de Navas,c. 1650,1719,,Baroque
Antonio de Salazar (composer),Antonio de Salazar,c. 1650,1715,,Baroque
Stanisław Sylwester Szarzyński,Stanisław Sylwester Szarzyński,c. 1650,c. 1720,,Baroque
Theobaldo di Gatti,Theobaldo di Gatti,1650,1727,,Baroque
Pietro Torri,Pietro Torri,1650,1737,,Baroque
Robert de Visée,Robert de Visée,c. 1650,1732/1733,,Baroque
Johann Jakob Walther,Johann Jacob Walther,1650,1717,,Baroque
Johann Georg Ahle,Johann Georg Ahle,1651,1706,,Baroque
Petronio Franceschini,Petronio Franceschini,1651,1680,,Baroque
Domenico Gabrielli,Domenico Gabrielli,1651/1659,1690,,Baroque
Gilles Jullien,Gilles Jullien,c. 1651/1653,1703,,Baroque
Johann Krieger,Johann Krieger,1651,1735,,Baroque
Jean-François Lalouette,Jean-François Lalouette,1651,1728,,Baroque
David Petersen (composer),David Petersen,c. 1651,1737,,Baroque
Ferdinand Tobias Richter,Ferdinand Tobias Richter,1651,1711,,Baroque
William Turner (composer),William Turner,1651,1740,,Baroque
Johann Philipp Förtsch,Johann Philipp Förtsch,1652,1732,,Baroque
Romanus Weichlein,Romanus Weichlein,1652,1706,,Baroque
John Abell,John Abell,1653,after 1724,,Baroque
Arcangelo Corelli,Arcangelo Corelli,1653,1713,,Baroque
Georg Muffat,Georg Muffat,1653,1704,,Baroque
Johann Pachelbel,Johann Pachelbel,1653,1706,,Baroque
Carlo Francesco Pollarolo,Carlo Francesco Pollarolo,c. 1653,1723,,Baroque
Johann Christoph Rothe,Johann Christoph Rothe,1653,1700,,Baroque
Agostino Steffani,Agostino Steffani,1653,1728,,Baroque
Marc'Antonio Ziani,Marc'Antonio Ziani,c. 1653,1715,,Baroque
Pietro Antonio Fiocco,Pietro Antonio Fiocco,1654,1714,,Baroque
Servaes de Koninck,Servaes de Koninck,c. 1654,c. 1701,,Baroque
Christian Liebe,Christian Liebe,1654,1708,,Baroque
Vincent Lübeck,Vincent Lübeck,1654,1740,,Baroque
Pablo Nassarre,Pablo Nassarre,c. 1654,c. 1730,,Baroque
Ludovico Roncalli,Ludovico Roncalli,1654,1713,,Baroque
Pierre Bouteiller,Pierre Bouteiller,1655,1717,,Baroque
Sébastien de Brossard,Sébastien de Brossard,1655,1730,,Baroque
Ruggiero Fedeli,Ruggiero Fedeli,c. 1655,1722,,Baroque
Juan de Lima Serqueira,Juan Serqueira de Lima,c. 1655,c. 1726,,Baroque
Johann Caspar Ferdinand Fischer,Johann Caspar Ferdinand Fischer,1656,1746,,Baroque
Marin Marais,Marin Marais,1656,1728,,Baroque
Jean-Baptiste Moreau,Jean-Baptiste Moreau,1656,1733,,Baroque
Jacques Paisible,James Paisible,c. 1656,1721,,Baroque
Georg Reutter,Georg Reutter,1656,1738,,Baroque
Thomas Tudway,Thomas Tudway,c. 1656,1726,,Baroque
Matías Juan de Veana,Matías Juan de Veana,c. 1656,after 1708,,Baroque
Johann Paul von Westhoff,Johann Paul von Westhoff,1656,1705,,Baroque
Philipp Heinrich Erlebach,Philipp Heinrich Erlebach,1657,1714,,Baroque
Michel-Richard de Lalande,Michel-Richard de Lalande,1657,1726,,Baroque
Gaetano Greco,Gaetano Greco,c. 1657,c. 1728,,Baroque
Giuseppe Ottavio Pitoni,Giuseppe Ottavio Pitoni,1657,1743,,Baroque
Damian Stachowicz,Damian Stachowicz,1658,1699,,Baroque
Giuseppe Torelli,Giuseppe Torelli,1658,1709,,Baroque
Sybrand van Noordt the younger,Sybrandus van Noordt,1659,1705,,Baroque
Henry Purcell,Henry Purcell,1659,1695,,Baroque
Francesco Antonio Pistocchi,Francesco Antonio Pistocchi,1659,1726,,Baroque
Theodor Schwartzkopff,Theodor Schwartzkopff,1659,1732,,Baroque
Antonio Veracini,Antonio Veracini,1659,1745,,Baroque
Giovanni Henrico Albicastro,Henrico Albicastro,c. 1660,after 1730,,Baroque
Rosa Giacinta Badalla,Rosa Giacinta Badalla,c. 1660,c. 1710,,Baroque
Francesco Ballaroti,Francesco Ballaroti,c. 1660,1712,,Baroque
Bartolomeo Bernardi,Bartolomeo Bernardi,c. 1660,1732,,Baroque
André Campra,André Campra,1660,1744,,Baroque
Jerónimo de Carrión,Jerónimo de Carrión,1660,1721,,Baroque
Sebastián Durón,Sebastián Durón,1660,1716,,Baroque
Gottfried Finger,Gottfried Finger,1660,1730,,Baroque
Johann Joseph Fux,Johann Joseph Fux,1660,1741,,Baroque
Friedrich Gottlieb Klingenberg,Friedrich Gottlieb Klingenberg,c. 1660?,1720,,Baroque
Johann Kuhnau,Johann Kuhnau,1660,1722,,Baroque
Johann Sigismund Kusser,Johann Sigismund Kusser,1660,1727,,Baroque
Gaspard Le Roux,Gaspard Le Roux,c. 1660,1707,,Baroque
Jacques-François Lochon,Jacques-François Lochon,c. 1660,c. 1710,,Baroque
Monsieur de Sainte-Colombe the younger,Monsieur de Sainte-Colombe,c. 1660,c. 1720,,Baroque
Alessandro Scarlatti,Alessandro Scarlatti,1660,1725,,Baroque
Johannes Schenck,Johannes Schenck,1660,c. 1712,,Baroque
Christian Friedrich Witt,Christian Friedrich Witt,c. 1660,1717,,Baroque
Georg Böhm,Georg Böhm,1661,1733,,Baroque
Henri Desmarets,Henri Desmarest,1661,1741,,Baroque
Francesco Gasparini,Francesco Gasparini,1661,1727,,Baroque
Giacomo Antonio Perti,Giacomo Antonio Perti,1661,1756,,Baroque
Giovanni Lorenzo Lulier,Giovanni Lorenzo Lulier,c. 1662?,1700,,Baroque
Angiola Teresa Moratori Scanabecchi,Angiola Teresa Moratori Scanabecchi,1662,1708,,Baroque
Jean-Baptiste Drouart de Bousset,Jean-Baptiste Drouard de Bousset,1662,1725,,Baroque
Pirro Albergati,Pirro Capacelli Albergati,1663,1735,,Baroque
Johann Nikolaus Hanff,Johann Nikolaus Hanff,1663,1711,,Baroque
Franz Xaver Murschhauser,Franz Xaver Murschhauser,1663,1738,,Baroque
Jean-Baptiste Matho,Jean-Baptiste Matho,1663,1743,,Baroque
Nicolas Siret,Nicolas Siret,1663,1754,,Baroque
Tomaso Antonio Vitali,Tomaso Antonio Vitali,1663,1745,,Baroque
Friedrich Wilhelm Zachau,Friedrich Wilhelm Zachau,1663,1712,,Baroque
Jean Mignon,Jean Mignon,1664,1694,,Baroque
Nicolas Bernier,Nicolas Bernier,1664,1734,,Baroque
Georg Dietrich Leyding,Georg Dietrich Leyding,1664,1710,,Baroque
Pierre Dandrieu,Pierre Dandrieu,1664,1733,,Baroque
Louis Lully,Louis Lully,1664,1734,,Baroque
Michele Mascitti,Michele Mascitti,c. 1664,1760,,Baroque
Georg Österreich,Georg Österreich,1664,1735,,Baroque
Johann Christoph Pez,Johann Christoph Pez,1664,1716,,Baroque
Daniel Purcell,Daniel Purcell,1664,1717,,Baroque
Johann Speth,Johann Speth,1664,after 1719,,Baroque
Filippo Amadei,Filippo Amadei,c. 1665,c. 1725,,Baroque
Benedikt Anton Aufschnaiter,Benedikt Anton Aufschnaiter,1665,1742,,Baroque
Nicolaus Bruhns,Nicolaus Bruhns,1665,1697,,Baroque
Grzegorz Gerwazy Gorczycki,Grzegorz Gerwazy Gorczycki,c. 1665/1667,1734,,Baroque
Élisabeth Jacquet de La Guerre,Élisabeth Jacquet de La Guerre,1665,1729,,Baroque
Joseph Valette de Montigny,Joseph Valette de Montigny,1665,1738,,Baroque
Jean-Baptiste Lully fils,Jean-Baptiste Lully fils,1665,1743,,Baroque
Giovanni Maria Ruggieri,Giovanni Maria Ruggieri,c. 1665,c. 1725,,Baroque
José de Torres,José de Torres y Martínez Bravo,1665,1738,,Baroque
Francisco Valls,Francisco Valls,1665,1747,,Baroque
Gaetano Veneziano,Gaetano Veneziano,1665,1716,,Baroque
Domenico Zanatta,Domenico Zanatta,c. 1665,1748,,Baroque
Jean-Conrad Baustetter,Jean-Conrad Baustetter,1666,1722,,Baroque
Attilio Ariosti,Attilio Ariosti,1666,1729,,Baroque
Johann Heinrich Buttstett,Johann Heinrich Buttstett,1666,1727,,Baroque
Alphonse d'Eve,Alphonse d'Eve,1666,1727,,Baroque
Michelangelo Faggioli,Michelangelo Faggioli,1666,1733,,Baroque
Jean-Féry Rebel,Jean-Féry Rebel,1666,1747,,Baroque
Francesco Scarlatti,Francesco Scarlatti,1666,c. 1741,,Baroque
Bernardo Tonini,Bernardo Tonini,c. 1666,after 1727,,Baroque
Georg Bronner,Georg Bronner,1667,1720,,Baroque
Antonio Lotti,Antonio Lotti,c. 1667,1740,,Baroque
Jean-Louis Lully,Jean-Louis Lully,1667,1688,,Baroque
Michel Pignolet de Montéclair,Michel Pignolet de Montéclair,1667,1737,,Baroque
Johann Christoph Pepusch,Johann Christoph Pepusch,1667,1752,,Baroque
François Couperin,François Couperin,1668,1733,,Baroque
John Eccles (composer),John Eccles,1668,1735,,Baroque
Jean Gilles (composer),Jean Gilles,1668,1705,,Baroque
Giorgio Gentili,Giorgio Gentili,c. 1668,after 1731,,Baroque
Georg von Bertouch,Georg von Bertouch,1668,1743,,Baroque
Jean-Baptiste Gouffet,Jean-Baptiste Gouffet,1669,1729,,Baroque
Johann Nicolaus Bach,Johann Nicolaus Bach,1669,1753,,Baroque
Louis Marchand,Louis Marchand,1669,1732,,Baroque
Alessandro Marcello,Alessandro Marcello,1669,1747,,Baroque
Andreas Armsdorff,Andreas Armsdorff,1670,1699,,Baroque
Giuseppe Avitrano,Giuseppe Avitrano,c. 1670,1756,,Baroque
Giovanni Bononcini,Giovanni Bononcini,1670,1747,,Baroque
Giuseppe Boniventi,Giuseppe Boniventi,1670,1727,,Baroque
Christian Ludwig Boxberg,Christian Ludwig Boxberg,1670,1729,,Baroque
Arnold Brunckhorst,Arnold Brunckhorst,1670,1725,,Baroque
Louis de Caix d'Hervelois,Louis de Caix d'Hervelois,c. 1670,c. 1760,,Baroque
Antonio Caldara,Antonio Caldara,1670,1736,,Baroque
Turlough O'Carolan,Turlough O'Carolan,1670,1738,,Baroque
Charles Dieupart,Charles Dieupart,c. 1670,c. 1740,,Baroque
Henry Eccles,Henry Eccles,1670,1742,,Baroque
David Kellner,David Kellner,1670,1748,,Baroque
Richard Leveridge,Richard Leveridge,1670,1758,,Baroque
Benedetto Vinaccesi,Benedetto Vinaccesi,c. 1670,1719,,Baroque
Jean-Baptiste Volumier,Jean-Baptiste Volumier,1670,1728,,Baroque
Johann Hugo von Wilderer,Johann Hugo von Wilderer,1670/1671,1724,,Baroque
Tomaso Albinoni,Tomaso Giovanni Albinoni,1671,1751,,Baroque
Giuseppe Aldrovandini,Giuseppe Aldrovandini,1671,1707,,Baroque
