article,name,birth,death,nationality,era
Zygmunt Stojowski,Zygmunt Stojowski,1870,1946,Polish,Romantic-era
Franz Lehár,Franz Lehár,1870,1948,Hungarian,Romantic-era
Florent Schmitt,Florent Schmitt,1870,1958,French,Romantic-era
Luigi von Kunits,Luigi von Kunits,1870,1931,Serbian-born Austrian,Romantic-era
Guillaume Lekeu,Guillaume Lekeu,1870,1894,Belgian,Romantic-era
Nobu Kōda,Nobu Kōda,1870,1946,Japanese,Romantic-era
Alfredo D'Ambrosio,Alfredo D'Ambrosio,1871,1914,Italian,Romantic-era
Giacomo Balla,Giacomo Balla,1871,1958,Italian,Romantic-era
Zacharia Paliashvili,Zacharia Paliashvili,1871,1933,Georgian,Romantic-era
Henry Kimball Hadley,Henry Kimball Hadley,1871,1937,American,Romantic-era
Oreste Ravanello,Oreste Ravanello,1871,1938,Italian,Romantic-era
Wilhelm Stenhammar,Wilhelm Stenhammar,1871,1927,Swedish,Romantic-era
Alexander von Zemlinsky,Alexander von Zemlinsky,1871,1942,Austrian,Romantic-era
Stanislav Binički,Stanislav Binički,1872,1942,Serbian,Romantic-era
Hugo Alfvén,Hugo Alfvén,1872,1960,Swedish,Romantic-era
Julius Fučík (composer),Julius Fučík,1872,1916,Czech,Romantic-era
Rubin Goldmark,Rubin Goldmark,1872,1936,American,Romantic-era
Alexander Scriabin,Alexander Scriabin,1872,1915,Russian,Romantic-era
Ralph Vaughan Williams,Ralph Vaughan Williams,1872,1958,English,Romantic-era
Salvator Léonardi,Salvator Léonardi,1872,1938,Italian,Romantic-era
William Henry Bell,William Henry Bell,1873,1946,English,Romantic-era
Leo Fall,Leo Fall,1873,1925,Austrian,Romantic-era
Pascual Marquina Narro,Pascual Marquina Narro,1873,1948,Spanish,Romantic-era
Sergei Rachmaninoff,Sergei Rachmaninoff,1873,1943,Russian,Romantic-era
Max Reger,Max Reger,1873,1916,German,Romantic-era
Reynaldo Hahn,Reynaldo Hahn,1874,1947,Venezuelan,Romantic-era
Gustav Holst,Gustav Holst,1874,1934,English,Romantic-era
Charles Ives,Charles Ives,1874,1954,American,Romantic-era
Arnold Schoenberg,Arnold Schoenberg,1874,1951,Austrian-American,Romantic-era
Josef Suk (composer),Josef Suk,1874,1935,Czech,Romantic-era
Franz Schmidt,Franz Schmidt,1874,1939,Austrian,Romantic-era
Reinhold Glière,Reinhold Glière,1875,1956,Russian,Romantic-era
Julián Carrillo,Julián Carrillo,1875,1965,Mexican,Romantic-era
Fritz Kreisler,Fritz Kreisler,1875,1962,Austrian,Romantic-era
Richard Wetz,Richard Wetz,1875,1935,German,Romantic-era
Maurice Ravel,Maurice Ravel,1875,1937,French,Romantic-era
Franco Alfano,Franco Alfano,1875,1954,Italian,Romantic-era
Albert Ketèlbey,Albert Ketèlbey,1875,1959,English,Romantic-era
Samuel Coleridge-Taylor,Samuel Coleridge-Taylor,1875,1912,English,Romantic-era
Alexander Koshetz,Alexander Koshetz,1875,1944,Ukrainian,Romantic-era
Mikalojus Konstantinas Čiurlionis,Mikalojus Konstantinas Čiurlionis,1875,1911,Lithuanian,Romantic-era
Henriette Renié,Henriette Renié,1875,1956,French,Romantic-era
Edgar Bara,Edgar Bara,1876,1962,French,Romantic-era
John Alden Carpenter,John Alden Carpenter,1876,1951,American,Romantic-era
Manuel de Falla,Manuel de Falla,1876,1946,Spanish,Romantic-era
Flor Alpaerts,Flor Alpaerts,1876,1954,Belgian,Romantic-era
Mieczysław Karłowicz,Mieczysław Karłowicz,1876,1909,Polish,Romantic-era
Filippo Tommaso Marinetti,Filippo Tommaso Marinetti,1876,1944,Italian,Romantic-era
Fermo Dante Marchetti,Fermo Dante Marchetti,1876,1940,Italian,Romantic-era
Ludolf Nielsen,Ludolf Nielsen,1876,1939,Danish,Romantic-era
Carl Ruggles,Carl Ruggles,1876,1971,American,Romantic-era
Ermanno Wolf-Ferrari,Ermanno Wolf-Ferrari,1876,1948,Italian,Romantic-era
Nakao Tozan,Nakao Tozan,1876,1956,Japanese,Romantic-era
Petar Krstić,Petar Krstić,1877,1957,Serbian,Romantic-era
Antonio Russolo,Antonio Russolo,1877,1942,Italian,Romantic-era
Ernst von Dohnányi,Ernst von Dohnányi,1877,1960,Hungarian,Romantic-era
Elisabeth Kuyper,Elisabeth Kuyper,1877,1953,Dutch,Romantic-era
Paul Ladmirault,Paul Ladmirault,1877,1944,French,Romantic-era
Mykola Leontovych,Mykola Leontovych,1877,1921,Ukrainian,Romantic-era
Sergei Bortkiewicz,Sergei Bortkiewicz,1877,1952,Ukrainian,Romantic-era
Isidor Bajić,Isidor Bajić,1878,1915,Serbian,Romantic-era
Gabriel Dupont,Gabriel Dupont,1878,1914,French,Romantic-era
Joseph Holbrooke,Joseph Holbrooke,1878,1958,English,Romantic-era
Franz Schreker,Franz Schreker,1878,1934,Austrian,Romantic-era
Teiichi Okano,Teiichi Okano,1878,1941,Japanese,Romantic-era
Frank Bridge,Frank Bridge,1879,1941,English,Romantic-era
Viggo Brodersen,Viggo Brodersen,1879,1965,Danish,Romantic-era
Joseph Canteloube,Joseph Canteloube,1879,1957,French,Romantic-era
Hamilton Harty,Hamilton Harty,1879,1941,Irish,Romantic-era
John Ireland (composer),John Ireland,1879,1962,English,Romantic-era
Alma Mahler,Alma Mahler,1879,1964,Austrian,Romantic-era
Otto Olsson,Otto Olsson,1879,1964,Swedish,Romantic-era
Ottorino Respighi,Ottorino Respighi,1879,1936,Italian,Romantic-era
Rudolf Sieczyński,Rudolf Sieczyński,1879,1952,Austrian,Romantic-era
Cyril Scott,Cyril Scott,1879,1970,English,Romantic-era
Rentarō Taki,Rentarō Taki,1879,1903,Japanese,Romantic-era
