name,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Lars Edlund,,,,,https://www.swedishmusicalheritage.com/composers/edlund-lars/,true,Q5627296
Mikael Edlund,,,,,https://www.swedishmusicalheritage.com/composers/edlund-mikael/,true,Q50740557
Joachim Nicolas Eggert,,,14 April 1813,"Kisa, Sweden",https://www.swedishmusicalheritage.com/composers/eggert-joachim-nikolas/,true,Q70158
Per Egland,,,,,https://www.swedishmusicalheritage.com/composers/egland-per/,false,
Carl Eilhardt,15 april 1843,,24 januari 1911,"Glauchau, Sachsen (Tyskland)",https://www.swedishmusicalheritage.com/composers/eilhardt-carl/,false,
Fredrik Eimele,28 September 1804,"Vasa, Finland",24 January 1871,Stockholm,https://www.swedishmusicalheritage.com/composers/eimele-fredrik/,false,
Gunnar Ek,21 juni 1900,Asarum Blekinge,21 juni 1981,Lund,https://www.swedishmusicalheritage.com/composers/ek-gunnar/,false,
Salomon Eklin,15 augusti 1803,"Växjö sannolikt den 5 (senast den 7) mars 1756, avliden där",15 augusti 1803,"Växjö sannolikt den 5 (senast den 7) mars 1756, avliden där",https://www.swedishmusicalheritage.com/composers/eklin-salomon/,false,
Andreas Eklöf,,,,,https://www.swedishmusicalheritage.com/composers/eklof-andreas/,true,Q50741122
Ejnar Eklöf,20 January 1886,"Fåsjöhyttan, just outside Nora,",25 July 1954,Stockholm,https://www.swedishmusicalheritage.com/composers/eklof-ejnar/,true,Q5630444
Hans Eklund,,,,,https://www.swedishmusicalheritage.com/composers/eklund-hans/,false,
Petter Ekman,,,,,https://www.swedishmusicalheritage.com/composers/ekman-petter/,false,
Jacob Ekström,29 May 1893,Trosa,18 June 1950,Gävle,https://www.swedishmusicalheritage.com/composers/ekstrom-jacob/,false,
Lars Ekström,,,,,https://www.swedishmusicalheritage.com/composers/ekstrom-lars/,false,
August Elfåker,27 July 1851,Älvsåker (a village in the province of Halland),6 November 1914,Stockholm,https://www.swedishmusicalheritage.com/composers/elfaker-august/,false,
Leif Elggren,,,,,https://www.swedishmusicalheritage.com/composers/elggren-leif/,false,
Christofer Elgh,,,,,https://www.swedishmusicalheritage.com/composers/elgh-christofer/,false,
Anders Eliasson,,,,,https://www.swedishmusicalheritage.com/composers/eliasson-anders/,true,Q490899
Ernst Ellberg,11 December 1868,Söderhamn,14 June 1948,Stockholm,https://www.swedishmusicalheritage.com/composers/ellberg-ernst/,true,Q1358621
Sune Mattias Emanuelsson,,,,,https://www.swedishmusicalheritage.com/composers/emanuelsson-sune-mattias/,false,
Ulrika Emanuelsson,,,,,https://www.swedishmusicalheritage.com/composers/emanuelsson-ulrika/,false,
Anders Emilsson,,,,,https://www.swedishmusicalheritage.com/composers/emilsson-anders/,true,Q5710790
Hinrich Christopher Engelhardt,,,5 April 1765,"Uppsala, was the cathedral organist in Uppsala and director musices at the university for 35 years",https://www.swedishmusicalheritage.com/composers/engelhardt-hinrich-christopher/,false,
Richard Engländer,17 February 1889,Leipzig,16 March 1966,Uppsala,https://www.swedishmusicalheritage.com/composers/englander-richard/,false,
Anders Englund,,,,,https://www.swedishmusicalheritage.com/composers/englund-anders/,false,
Axel Englund,,,,,https://www.swedishmusicalheritage.com/composers/englund-axel/,false,
Joel Engström,,,,,https://www.swedishmusicalheritage.com/composers/engstrom-joel/,false,
Torbjörn Engström,,,,,https://www.swedishmusicalheritage.com/composers/engstrom-torbjorn/,false,
Rolf Enström,,,,,https://www.swedishmusicalheritage.com/composers/enstrom-rolf/,false,
Eva Erbenius,,,,,https://www.swedishmusicalheritage.com/composers/erbenius-eva/,false,
Hans-Ola Ericsson,,,,,https://www.swedishmusicalheritage.com/composers/ericsson-hans-ola/,true,Q871663
Åke Erikson,,,,,https://www.swedishmusicalheritage.com/composers/erikson-ake/,true,Q5715880
Anna Eriksson,,,,,https://www.swedishmusicalheritage.com/composers/eriksson-anna/,false,
Björn Eriksson,,,,,https://www.swedishmusicalheritage.com/composers/eriksson-bjorn/,false,
Joel Eriksson,,,,,https://www.swedishmusicalheritage.com/composers/eriksson-joel/,false,
Josef Eriksson,8 December 1872,"Söderfors, Uppland",4 July 1957,Uppsala,https://www.swedishmusicalheritage.com/composers/eriksson-josef/,false,
Nils Eriksson,3 september 1902,Norrköpings Matteus församling,12 mars 1978,samma församling,https://www.swedishmusicalheritage.com/composers/eriksson-nils/,true,Q5717030
Mats Erlandsson,,,,,https://www.swedishmusicalheritage.com/composers/erlandsson-mats/,false,
Frans Ervall [Erwall],21 juni 1877,Hällaryd (Karlshamn) som Frans Oskar Ferdinand Persson,30 november 1949,"Skeppsholms församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/ervall-frans/,false,
Karl Michael von Esser,,,,,https://www.swedishmusicalheritage.com/composers/esser-karl-michael-von/,false,
Prinsessan Eugénie,"24 April, 1830",,23 April 1889,Stockholm,https://www.swedishmusicalheritage.com/composers/eugenie-prinsessan/,false,
Eberhard Eyser,,,,,https://www.swedishmusicalheritage.com/composers/eyser-eberhard/,false,
Maria Frykholm,20 March 1832,Älvsbacka,,,https://www.swedishmusicalheritage.com/composers/f-maria/,false,
Birger Abram [Abraham] Fagerlind,14 december 1767,Berga församling (Ljungby),21 april 1813,Jönköping Sofia församling,https://www.swedishmusicalheritage.com/composers/fagerlind-birger-abram/,false,
Fredrik Fahlman,,,,,https://www.swedishmusicalheritage.com/composers/fahlman-fredrik/,false,
Jenny Fahlstedt,27 August 1853,Stockholm,8 October 1906,Stockholm,https://www.swedishmusicalheritage.com/composers/fahlstedt-jenny/,false,
Hans Hagerup Falbe,7 February 1772,,17 October 1830,Stockholm,https://www.swedishmusicalheritage.com/composers/falbe-hans-hagerup/,false,
Carl Fredrik Fallén,22 september 1764,,26 augusti 1830,Södra Mellby,https://www.swedishmusicalheritage.com/composers/fallen-carl-fredrik/,false,
Jamie Fawcus,,,,,https://www.swedishmusicalheritage.com/composers/fawcus-jamie/,false,
Dror Feiler,,,,,https://www.swedishmusicalheritage.com/composers/feiler-dror/,false,
Eric Ferling,,,20 December 1808,Turku,https://www.swedishmusicalheritage.com/composers/ferling-erik/,false,
Jan Ferm,,,,,https://www.swedishmusicalheritage.com/composers/ferm-jan/,false,
John Fernström,6 December 1897,"Ichang, China,",19 October 1961,"Lund, Sweden",https://www.swedishmusicalheritage.com/composers/fernstrom-john/,false,
Gustaf Ficker,26 oktober 1790,"Storkyrkoförsamlingen, Stockholm,",13 juli 1819,Linköpings domkyrkoförsamlinge,https://www.swedishmusicalheritage.com/composers/ficker-gustaf/,false,
Daniel Fjellström,,,,,https://www.swedishmusicalheritage.com/composers/fjellstrom-daniel/,false,
Marcus Fjellström,,,,,https://www.swedishmusicalheritage.com/composers/fjellstrom-marcus/,false,
Gerda Fleetwood,5 april 1873,Tyska S:ta Gertruds församling (Stockholm),18 april 1927,S:ta Katarina församling 1927 (Stockholm),https://www.swedishmusicalheritage.com/composers/fleetwood-gerda/,false,
Anders Flodin,,,,,https://www.swedishmusicalheritage.com/composers/flodin-anders/,false,
Erika Förare,,,,,https://www.swedishmusicalheritage.com/composers/forare-erika/,false,
Jacopo Foroni,25 July 1824,Valeggio sul Mincio,8 September 1858,Stockholm,https://www.swedishmusicalheritage.com/composers/foroni-jacopo/,false,
Anders Gustaf Forssberg,,,,,https://www.swedishmusicalheritage.com/composers/forsberg-ag/,false,
Marta Forsberg,,,,,https://www.swedishmusicalheritage.com/composers/forsberg-marta/,false,
Roland Forsberg,,,,,https://www.swedishmusicalheritage.com/composers/forsberg-roland/,false,
Arne Forsén,,,,,https://www.swedishmusicalheritage.com/composers/forsen-arne/,false,
Anders Forslund,,,,,https://www.swedishmusicalheritage.com/composers/forslund-anders/,false,
Kristina Forsman,,,,,https://www.swedishmusicalheritage.com/composers/forsman-kristina/,false,
Mikael Forsman,,,,,https://www.swedishmusicalheritage.com/composers/forsman-mikael/,false,
Jonas Forssell,,,,,https://www.swedishmusicalheritage.com/composers/forssell-jonas/,false,
Stefan Forssén,,,,,https://www.swedishmusicalheritage.com/composers/forssen-stefan/,false,
Lars-Åke Franke-Blom,,,,,https://www.swedishmusicalheritage.com/composers/franke-blom-lars-ake/,false,
Cecilia Franke,,,,,https://www.swedishmusicalheritage.com/composers/franke-cecilia/,false,
Frans Michael Franzén,9 februari 1772,Uleåborg,14 augusti 1847,Säbrå församling,https://www.swedishmusicalheritage.com/composers/franzen-franz-michael/,false,
Olov Franzén,,,,,https://www.swedishmusicalheritage.com/composers/franzen-olov/,true,Q16632958
Ylva Fred,,,,,https://www.swedishmusicalheritage.com/composers/fred-ylva/,false,
Lennart Fredriksson,,,,,https://www.swedishmusicalheritage.com/composers/fredriksson-lennart/,false,
Otto Freudenthal,,,,,https://www.swedishmusicalheritage.com/composers/freudenthal-otto/,false,
Pär Frid,,,,,https://www.swedishmusicalheritage.com/composers/frid-par/,false,
Ruben Fridolfson,,,,,https://www.swedishmusicalheritage.com/composers/fridolfsson-ruben/,false,
Frans Frieberg,13 December 1822,Appuna in the region of Östergötland,20 September 1913,Stockholm,https://www.swedishmusicalheritage.com/composers/frieberg-frans/,false,
Pehr Frigel,2 September 1750,Kalmar,24 November 1842,Stockholm,https://www.swedishmusicalheritage.com/composers/frigel-pehr/,false,
Carl Gustaf Frisch,17 oktober 1738,"Storkyrkoförsamlingen, Stockholm,",28 december 1793,Maria Magdalena församling (Stockholm),https://www.swedishmusicalheritage.com/composers/frisch-carl-gustaf/,false,
Ferdinand Fröding,12 August 1826,Karlstad,9 February 1881,Kristinehamn,https://www.swedishmusicalheritage.com/composers/froding-ferdinand/,false,
Per Fröding,26 March 1850,Gothenburg,10 January 1939,the same city,https://www.swedishmusicalheritage.com/composers/froding-per/,false,
Robert Fröman,,,,,https://www.swedishmusicalheritage.com/composers/froman-robert/,false,
Gunnar de Frumerie,20 juli 1908,Nacka församling,9 september 1987,Täby församling,https://www.swedishmusicalheritage.com/composers/frumerie-gunnar-de/,true,Q1554806
Harald Fryklöf,,,11 March 1918,Stockholm,https://www.swedishmusicalheritage.com/composers/fryklof-harald/,false,
Zoltán Gaál,,,,,https://www.swedishmusicalheritage.com/composers/gaal-zoltan/,false,
Carl Sigismund Gelhaar,,,11 mars 1814,Tyska S:ta Gertruds församling (Stockholm),https://www.swedishmusicalheritage.com/composers/galhaar-/,false,
Göran Gamstorp,,,,,https://www.swedishmusicalheritage.com/composers/gamstorp-goran/,false,
Johanna Eleonora de la Gardie,26 juni 1661,Hamburg (Tyskland),27 december 1708,Stockholm,https://www.swedishmusicalheritage.com/composers/gardie-je-de-la/,false,
Hans Gefors,,,,,https://www.swedishmusicalheritage.com/composers/gefors-hans/,true,Q5650053
Erik Gustaf Geijer,12 January 1783,Ransäters Bruk,23 April 1847,Stockholm,https://www.swedishmusicalheritage.com/composers/geijer-erik-gustaf/,false,
Gösta Geijer,20 August 1857,"Hjälleskate estate, Värmlandsnäs",26 March 1914,Säffle,https://www.swedishmusicalheritage.com/composers/geijer-gosta/,false,
Christian Geist,,,,,https://www.swedishmusicalheritage.com/composers/geist-christian/,true,Q71478
Per Eberhard Georgii,20 augusti 1759,Uppsala domkyrkoförsamling,2 december 1808,Klara församling (Stockholm),https://www.swedishmusicalheritage.com/composers/georgii-per-eberhard/,false,
Georg Fredric Gernandt,16 januari 1799,Nosaby (Kristianstad),30 januari 1844,Dalby,https://www.swedishmusicalheritage.com/composers/gernandt-gf/,false,
Johan (Johannes) Gernandt,22 april 1769,Vittskövle församling (Kristianstad),25 december 1850,Lunds domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/gernandt-johan/,false,
Jacob Edvard Gille,10 August 1814,,8 November 1880,,https://www.swedishmusicalheritage.com/composers/gille-jacob-edvard/,false,
Werner Wolf Glaser,,,,,https://www.swedishmusicalheritage.com/composers/glaser-werner-wolf/,true,Q68216
Carl Erik Gleisman,1 juni 1765,,9 december 1804,Riddarholmens församling (Stockholm),https://www.swedishmusicalheritage.com/composers/gleisman-carl-erik/,false,
Wilhelm Gnosspelius,28 December 1809,Stockholm,13 August 1887,Lund,https://www.swedishmusicalheritage.com/composers/gnosspelius-wilhelm/,false,
Mauro Godoy-Villalobos,,,,,https://www.swedishmusicalheritage.com/composers/godoy-villalobos-mauro/,true,Q5762359
Carl Gustaf Goës,5 december 1763,Öja församling (Eskilstuna),15 december 1793,Öja församling (Eskilstuna),https://www.swedishmusicalheritage.com/composers/gos-carl-gustaf/,false,
Oleg Gotskosik,,,,,https://www.swedishmusicalheritage.com/composers/gotskosik-oleg/,false,
Carl Gottfried Grahl,,,17 November 1884,Nyköping,https://www.swedishmusicalheritage.com/composers/grahl-carl-gottfried/,false,
Ulf Grahn,,,,,https://www.swedishmusicalheritage.com/composers/grahn-ulf/,true,Q520463
Fredrik Gran,,,,,https://www.swedishmusicalheritage.com/composers/gran-fredrik/,false,
Magnus Granberg,,,,,https://www.swedishmusicalheritage.com/composers/granberg-magnus/,false,
Johnny Grandert,,,,,https://www.swedishmusicalheritage.com/composers/grandert-johnny/,false,
Rosali Grankull,,,,,https://www.swedishmusicalheritage.com/composers/grankull-rosali/,false,
David Granström,,,,,https://www.swedishmusicalheritage.com/composers/granstrom-david/,false,
Johan Fredrik Grenser,,,17 March 1795,"Stockholm, where he was a composer, arranger, member of the Royal Court Orchestra (as oboist and later flautist) and soloist",https://www.swedishmusicalheritage.com/composers/grenser-johan-fredrik/,false,
Carl August(us) Grevesmöhlen,,,,,https://www.swedishmusicalheritage.com/composers/grevesmohlen-carl-august/,false,
Adolf Ulrik Grill,10 mars 1752,"Stockholm (oklart vilket datum), döptes",,,https://www.swedishmusicalheritage.com/composers/grill-adolf-ulrik/,false,
Ebbe Grims-land,,,,,https://www.swedishmusicalheritage.com/composers/grims-land-ebbe/,true,Q361096
Ragnar Grippe,,,,,https://www.swedishmusicalheritage.com/composers/grippe-ragnar/,false,
Abraham Julius Grundén,23 April 1779,Gävle,18 July 1834,Stockholm,https://www.swedishmusicalheritage.com/composers/grunden-abraham-julius/,false,
Per Grundström,18 juli 1886,"Svea Livgardes församling, Stockholm,",24 april 1975,Oscars församling (Stockholm),https://www.swedishmusicalheritage.com/composers/grundstrom-per/,false,
Wlodek Gulgowski,,,,,https://www.swedishmusicalheritage.com/composers/gulgowski-wlodek/,false,
Olof Gullberg,,,,,https://www.swedishmusicalheritage.com/composers/gullberg-olof/,false,
Gabriella Gullin,,,,,https://www.swedishmusicalheritage.com/composers/gullin-gabriella/,false,
Gustaf Gullman,9 november 1897,,18 februari 1981,Skerike församling (Västerås),https://www.swedishmusicalheritage.com/composers/gullman-gustaf/,false,
Gunnar Jeanson,10 October 1898,Gothenburg,20 January 1939,Stockholm,https://www.swedishmusicalheritage.com/composers/gunnar-jaenson/,false,
Rosanna Gunnarsson,,,,,https://www.swedishmusicalheritage.com/composers/gunnarsson-rosanna/,false,
Georg Valentin Günther,,,,,https://www.swedishmusicalheritage.com/composers/gunther-georg-valentin/,false,
Hans Gurstad-Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/gurstad-nilsson-hans/,false,
Konung Gustaf III,13 januari 1746,,29 mars 1792,,https://www.swedishmusicalheritage.com/composers/gustaf-iii-konung/,false,
Prins Gustaf,18 June 1827,Stockholm,24 September 1852,Kristiana (Oslo),https://www.swedishmusicalheritage.com/composers/gustaf-prins/,false,
Ille Gustafsson,17 augusti 1898,,3 juli 1981,Helsingborgs Maria församling,https://www.swedishmusicalheritage.com/composers/gustafsson-ille/,false,
Mats Gustafsson,,,,,https://www.swedishmusicalheritage.com/composers/gustafsson-mats/,false,
Mathilda Gyllenhaal [d'Orozco],14 June 1794,"Vienna,",19 October 1863,,https://www.swedishmusicalheritage.com/composers/gyllenhaal-mathilda/,false,
Patrik Gyllenhammar,11 March 1871,"Leksand, Dalarna,",23 December 1904,Stockholm,https://www.swedishmusicalheritage.com/composers/gyllenhammar-patrik/,false,
Tuomo Haapala,,,,,https://www.swedishmusicalheritage.com/composers/haapala-tuomo/,false,
Johann Christian Friedrich Hæffner [Haeffner],2 March 1759,"the German village of Oberschönau in Thüringen,",28 May 1833,Uppsala,https://www.swedishmusicalheritage.com/composers/haeffner-johann-christian-friedrich/,false,
Gustaf Hägg,28 November 1867,Visby,7 February 1925,Stockholm,https://www.swedishmusicalheritage.com/composers/hagg-gustaf/,true,Q5620987
Jakob Adolf Hägg,,,1 March 1928,Hudiksvall,https://www.swedishmusicalheritage.com/composers/hagg-jacob-adolf/,false,
Tommie Haglund,,,,,https://www.swedishmusicalheritage.com/composers/haglund-tommie/,false,
Fredrik Hagstedt,,,,,https://www.swedishmusicalheritage.com/composers/hagstedt-fredrik/,false,
Nils Magnus Hagström,26 juli 1804,,22 juni 1863,Vittinge församling (Heby),https://www.swedishmusicalheritage.com/composers/hagstrom-nm/,false,
Sven Hagvil,,,,,https://www.swedishmusicalheritage.com/composers/hagvil-sven/,true,Q5782892
Knut Håkanson,4 November 1887,Kinna,13 December 1929,Gothenburg,https://www.swedishmusicalheritage.com/composers/hakanson-knut/,true,Q5819974
Carl Axel Hall,,,,,https://www.swedishmusicalheritage.com/composers/hall-carl-axel/,false,
Jörgen Häll,,,,,https://www.swedishmusicalheritage.com/composers/hall-jorgen/,false,
Louis Hall,,,,,https://www.swedishmusicalheritage.com/composers/hall-louis/,false,
Bengt Wilhelm Hallberg,13 May 1824,,4 May 1883,,https://www.swedishmusicalheritage.com/composers/hallberg-bengt-wilhelm/,false,
Bengt Hallberg,,,,,https://www.swedishmusicalheritage.com/composers/hallberg-bengt/,true,Q726556
Björn Wilho Hallberg,,,,,https://www.swedishmusicalheritage.com/composers/hallberg-bjorn-wilho/,false,
Hanna Hallberg-Norlind,14 July 1858,"Landskrona, Sweden,",24 January 1929,Lund,https://www.swedishmusicalheritage.com/composers/hallberg-nordlind-hanna/,false,
Andreas Hallén,22 December 1846,Gothenburg,11 March 1925,"Stockholm, was a composer, conductor, music critic and music teacher",https://www.swedishmusicalheritage.com/composers/hallen-andreas/,true,Q497831
Margareta Hallin,,,,,https://www.swedishmusicalheritage.com/composers/hallin-margareta/,false,
Björn Hallman,,,,,https://www.swedishmusicalheritage.com/composers/hallman-bjorn/,false,
Hilding Hallnäs,24 maj 1903,Halmstad,11 september 1984,Stockholm,https://www.swedishmusicalheritage.com/composers/hallnas-hilding/,true,Q4994105
Lars David Hallnäs,,,,,https://www.swedishmusicalheritage.com/composers/hallnas-lars-david/,false,
Mattias Hållsten,,,,,https://www.swedishmusicalheritage.com/composers/hallsten-mattias/,false,
Ivar Hallström,5 June 1826,Stockholm,11 April 1901,Stockholm,https://www.swedishmusicalheritage.com/composers/hallstrom-ivar/,true,Q1675681
Axel Hambraeus,1 januari 1890,Nora Örebro län död 22 februari 1983 i Orsa Kopparbergs län,22 februari 1983,Orsa Kopparbergs län,https://www.swedishmusicalheritage.com/composers/hambraeus-axel/,false,
Bengt Hambraeus,,,,,https://www.swedishmusicalheritage.com/composers/hambraeus-bengt/,true,Q817224
Johan Hammerth,,,,,https://www.swedishmusicalheritage.com/composers/hammerth-johan/,false,
Krister Hansén,,,,,https://www.swedishmusicalheritage.com/composers/hansen-krister/,false,
Peter Hansen,,,,,https://www.swedishmusicalheritage.com/composers/hansen-peter/,false,
Charles F. Hanson,9 september 1849,Uddevalla,10 februari 1921,Worcester (USA),https://www.swedishmusicalheritage.com/composers/hanson-charles-f/,false,
Sten Hanson,,,,,https://www.swedishmusicalheritage.com/composers/hanson-sten/,false,
Bo Hansson,,,,,https://www.swedishmusicalheritage.com/composers/hansson-bo/,false,
Lars Indrek Hansson,,,,,https://www.swedishmusicalheritage.com/composers/hansson-lars-indrek/,false,
Mats O Hansson,,,,,https://www.swedishmusicalheritage.com/composers/hansson-mats-o/,false,
Algot Haquinius,30 juli 1886,Sveg,6 februari 1966,Stockholm,https://www.swedishmusicalheritage.com/composers/haquinius-algot/,true,Q4724381
Wilhelm Harteveld,,,1 October 1927,,https://www.swedishmusicalheritage.com/composers/harteveld-wilhelm/,false,
Hanna Hartman,,,,,https://www.swedishmusicalheritage.com/composers/hartman-hanna/,false,
Carl Michael von Hausswolff,,,,,https://www.swedishmusicalheritage.com/composers/hausswolff-carl-michael-von/,false,
Josef Hedar,16 oktober 1894,"S:t Petri församling, Malmö",2 december 1960,Lunds domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/hedar-josef/,false,
Kim Hedås,,,,,https://www.swedishmusicalheritage.com/composers/hedas-kim/,false,
Fredrik Hedelin,,,,,https://www.swedishmusicalheritage.com/composers/hedelin-fredrik/,false,
Ivar Hedenblad,27 July 1851,Torsång in Dalarna,16 June 1909,Ronneby,https://www.swedishmusicalheritage.com/composers/hedenblad-ivar/,true,Q264047
Jens Hedman,,,,,https://www.swedishmusicalheritage.com/composers/hedman-jens/,false,
Helene Hedsund,,,,,https://www.swedishmusicalheritage.com/composers/hedsund-helene/,false,
Lennart Hedwall,,,,,https://www.swedishmusicalheritage.com/composers/hedwall-lennart/,false,
Ellen Heijkorn,12 May 1869,Järna,6 December 1950,Stockholm,https://www.swedishmusicalheritage.com/composers/heijkorn-ellen/,false,
Gustaf Heintze d.y.,22 July 1879,Jönköping,4 March 1946,"Saltsjöbaden (Stockholm), was a composer, pianist, organist and music teacher",https://www.swedishmusicalheritage.com/composers/heintze-gustaf-hjalmar/,false,
Gustaf (d.ä.) Heintze,1 July 1825,,19 March 1909,"Jönköping, was an organist, pianist and composer",https://www.swedishmusicalheritage.com/composers/heintze-gustaf/,false,
John Heintze,6 August 1886,Stockholm,,,https://www.swedishmusicalheritage.com/composers/heintze-john-wilhelm/,false,
Wilhelm Heintze,4 July 1849,,10 January 1895,,https://www.swedishmusicalheritage.com/composers/heintze-wilhelm/,true,Q5798123
Olov Helge,,,,,https://www.swedishmusicalheritage.com/composers/helge-olov/,false,
Daniel Helldén,,,,,https://www.swedishmusicalheritage.com/composers/hellden-daniel/,false,
Ann Helling,,,,,https://www.swedishmusicalheritage.com/composers/helling-ann/,false,
Ivar Hellman,20 januari 1891,Norrköpings S:t Olai [numera S:t Olofs] församling,19 februari 1994,"Kungsholms församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/hellman-ivar/,false,
Pehr Fredric Hellström,9 december 1802,"S:t Johannes församling, Norrköping,",24 maj 1847,S:t Olai församling (Norrköping),https://www.swedishmusicalheritage.com/composers/hellstrom-pehr-fr/,false,
Sten-Olof Hellström,,,,,https://www.swedishmusicalheritage.com/composers/hellstrom-sten-olof/,false,
Eskil Hemberg,,,,,https://www.swedishmusicalheritage.com/composers/hemberg-eskil/,false,
Albert Henneberg,27 mars 1901,Stockholm,14 april 1991,Stockholm,https://www.swedishmusicalheritage.com/composers/henneberg-albert/,false,
Richard Henneberg,5 August 1853,Berlin,19 October 1925,Malmö,https://www.swedishmusicalheritage.com/composers/henneberg-richard/,false,
Svante Henryson,,,,,https://www.swedishmusicalheritage.com/composers/henryson-svante/,true,Q5801673
Åke Hermanson,,,,,https://www.swedishmusicalheritage.com/composers/hermanson-ake/,false,
Christer Hermanson,,,,,https://www.swedishmusicalheritage.com/composers/hermanson-christer/,false,
Katt Hernandez,,,,,https://www.swedishmusicalheritage.com/composers/hernandez-katt/,false,
Frithiof Hertzman,12 December 1837,Västra Ny near Motala in the region of Östergötland,,,https://www.swedishmusicalheritage.com/composers/hertzmann-frithiof/,false,
Jenny Hettne,,,,,https://www.swedishmusicalheritage.com/composers/hettne-jenny/,false,
Carl Johan Hierta (Hjerta),29 december 1801,Visnums församling (Kristinehamn),,,https://www.swedishmusicalheritage.com/composers/hierta-cj/,false,
Johan(n) Hildebrand(t),,,5 juli 1684,Eilenburg,https://www.swedishmusicalheritage.com/composers/hildbrand-johan/,false,
Wilhelm Hildebrand,3 September 1785,Rathenow near Brandenburg,8 January 1830,Stockholm,https://www.swedishmusicalheritage.com/composers/hildebrand-fredrik-wilhelm/,false,
Hildebrand Hildebrandsson,,,11 juli 1858,Södertälje församling,https://www.swedishmusicalheritage.com/composers/hildebrandsson-hildebrand/,false,
Anders Hillborg,,,,,https://www.swedishmusicalheritage.com/composers/hillborg-anders/,true,Q491037
Anita von Hillern-Dunbar,16 april 1890,"Freiburg, Tyskland,",24 november 1977,Norrköping,https://www.swedishmusicalheritage.com/composers/hillern-dunbar-anita-von/,false,
Johan (Johann) Michael Friedrich Hirschfeldt,11 november 1775,,27 januari 1841,Västerviks församling,https://www.swedishmusicalheritage.com/composers/hirschfeldt-johan-michael-friedrich/,false,
Amalia Hjelm,30 January 1846,"Grycksbo, just outside of Falun,",7 October 1916,Stockholm,https://www.swedishmusicalheritage.com/composers/hjelm-amalia/,false,
Peter Magnus Hjertstrand,30 november 1809,"Långaryds församling (Hylte, Halland)",13 september 1848,Landskrona stadsförsamling,https://www.swedishmusicalheritage.com/composers/hjertstrand-peter-magnus/,false,
Daniel Hjorth,,,,,https://www.swedishmusicalheritage.com/composers/hjorth-daniel/,false,
Erik Högberg,8 maj 1869,Stockholm,7 februari 1960,Stockholm,https://www.swedishmusicalheritage.com/composers/hogberg-erik/,false,
Fredrik Högberg,,,,,https://www.swedishmusicalheritage.com/composers/hogberg-fredrik/,false,
Hans Höglund,,,,,https://www.swedishmusicalheritage.com/composers/hoglund-hans/,false,
Leonard Höijer,1 February 1815,Stockholm,11 July 1884,"Helgest, Södermanland",https://www.swedishmusicalheritage.com/composers/hoijer-leonard/,false,
Hans Holewa,,,,,https://www.swedishmusicalheritage.com/composers/holewa-hans/,false,
Emilie Holmberg,6 May 1821,Stockholm,26 March 1854,"Columbia, South Carolina, USA",https://www.swedishmusicalheritage.com/composers/holmberg-emilie/,false,
Kay Holmquist,,,,,https://www.swedishmusicalheritage.com/composers/holmquist-kay/,false,
Evald Holmqvist,25 March 1868,Helsingborg,26 February 1954,Helsingborg,https://www.swedishmusicalheritage.com/composers/holmqvist-evald/,false,
Adolf Fredrik (Adolph Fredric) Holmström,3 maj 1796,"Bälinge församling, Uppland,",27 februari 1865,Uppsala,https://www.swedishmusicalheritage.com/composers/holmstrom-af/,false,
Arvid Niclas von Höpken,7 July 1710,Stockholm,28 July 1778,Stralsund,https://www.swedishmusicalheritage.com/composers/hopken-arvid-niclas-von/,false,
Mansoor Hosseini,,,,,https://www.swedishmusicalheritage.com/composers/hosseini-mansoor/,false,
Johan Hugosson,,,,,https://www.swedishmusicalheritage.com/composers/hugosson-johan/,false,
Tomas Hulenvik,,,,,https://www.swedishmusicalheritage.com/composers/hulenvik-tomas/,false,
Malin Hülphers,,,,,https://www.swedishmusicalheritage.com/composers/hulphers-malin/,false,
Sven Hultberg,,,,,https://www.swedishmusicalheritage.com/composers/hultberg-sven/,false,
Otto Hultner,28 april 1872,"Svea Artilleriregementes församling, Stockholm,",,,https://www.swedishmusicalheritage.com/composers/hultner-otto/,false,
Anders Hultqvist,,,,,https://www.swedishmusicalheritage.com/composers/hultqvist-anders/,true,Q45294577
Titus Hultstrand,,,,,https://www.swedishmusicalheritage.com/composers/hultstrand-titus/,false,
Conrad Friedrich Hurlebusch,,,17 December 1765,Amsterdam,https://www.swedishmusicalheritage.com/composers/hurlebusch-conrad-friedrich/,true,Q322721
Elisabeth Huselius-Wickter,5 January 1901,Trollhättan and deceased on 26 October 1965 in Malmö,,,https://www.swedishmusicalheritage.com/composers/huselius-wickter-elisabeth/,false,
Oscar Hylén,15 februari 1846,,6 augusti 1885,Visby,https://www.swedishmusicalheritage.com/composers/hylen-oscar/,false,
Sebastian Ingvarsson,,,,,https://www.swedishmusicalheritage.com/composers/ingvarsson-sebastian/,false,
Madeleine Isaksson,,,,,https://www.swedishmusicalheritage.com/composers/isaksson-madeleine/,true,Q4955923
