name,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Eric Arrhén von Kapfelman,21 October 1790,Västervik,23 May 1851,Stockholm,https://www.swedishmusicalheritage.com/composers/arrhen-von-kapfelman-eric/,false,
Per Arvidsson Bremmers,,,,,https://www.swedishmusicalheritage.com/composers/arvidsson-bremmers-per/,false,
Peter Askergren,4 February 1767,"Sätila, Västergötland,",17 February 1818,Stockholm,https://www.swedishmusicalheritage.com/composers/askergren-peter/,false,
Herman Asplöf,15 November 1881,Gåsborn,,,https://www.swedishmusicalheritage.com/composers/asplof-herman/,false,
Jonas Asplund,,,,,https://www.swedishmusicalheritage.com/composers/asplund-jonas/,false,
Wilhelm Åström,22 augusti 1840,Kristianstads garnisonsförsamling,8 april 1898,Växjö stadsförsamling,https://www.swedishmusicalheritage.com/composers/astrom-wilhelm/,false,
Kurt Atterberg,12 december 1887,,15 februari 1974,Stockholm,https://www.swedishmusicalheritage.com/composers/atterberg-kurt/,true,Q440388
Tor Aulin,10 September 1866,Stockholm,1 March 1914,the nearby coastal resort of Saltsjöbaden,https://www.swedishmusicalheritage.com/composers/aulin-tor/,true,Q786825
Valborg Aulin,9 January 1860,"Gävle,",13 March 1928,,https://www.swedishmusicalheritage.com/composers/aulin-valborg/,true,Q451402
Jonny Axelsson,,,,,https://www.swedishmusicalheritage.com/composers/axelsson-jonny/,false,
Girilal Baars,,,,,https://www.swedishmusicalheritage.com/composers/baars-girilal/,false,
Knut Bäck,22 April 1868,Stockholm,27 October 1953,Gothenburg,https://www.swedishmusicalheritage.com/composers/back-knut/,true,Q5600153
Sven-Eric Bäck,,,,,https://www.swedishmusicalheritage.com/composers/back-sven-eric/,false,
Catharina Backman,,,,,https://www.swedishmusicalheritage.com/composers/backman-catharina/,false,
Abraham Baer,26 December 1834,Filehne (then Prussia),6 March 1894,Gothenburg,https://www.swedishmusicalheritage.com/composers/baer-abraham/,false,
Johann Bahr,,,,,https://www.swedishmusicalheritage.com/composers/bahr-johan/,false,
Malin Bång,,,,,https://www.swedishmusicalheritage.com/composers/bang-malin/,false,
Nils Anton Augustin Bark (Barck),27 augusti 1760,Wien,,,https://www.swedishmusicalheritage.com/composers/barck-nils-anton-augustin/,false,
Jan Bark,,,,,https://www.swedishmusicalheritage.com/composers/bark-jan/,true,Q5565915
Carin Bartosch Edström,,,,,https://www.swedishmusicalheritage.com/composers/bartosch-edstrom-carin/,true,Q4937641
Wilhelm Bauck,13 December 1808,Gothenburg,8 October 1877,Stockholm,https://www.swedishmusicalheritage.com/composers/bauck-wilhelm/,false,
Bror Adolf Beckman,5 February 1832,Stockholm,14 November 1911,Värnamo,https://www.swedishmusicalheritage.com/composers/beckman-bror-adolf/,false,
Bror Beckman,10 February 1866,Kristinehamn,22 July 1929,Ljungskile,https://www.swedishmusicalheritage.com/composers/beckman-bror/,true,Q990641
Hugo Bedinger,30 March 1876,Hudiksvall,9 November 1914,"Västerås, studied at the Royal Conservatory of Music in Stockholm",https://www.swedishmusicalheritage.com/composers/bedinger-hugo/,false,
Bedřich Smetana,2 March 1824,the Bohemian village of Litomyšl,12 May 1884,Prague,https://www.swedishmusicalheritage.com/composers/bedrich-smetana/,true,Q48173
Lars Magnus Béen,5 december 1820,,19 augusti 1905,Allerum (Helsingborg),https://www.swedishmusicalheritage.com/composers/been-lars-magnus/,false,
Johann Adolph Beer,,,30 december 1864,Berlin,https://www.swedishmusicalheritage.com/composers/beer-johann-adolph/,false,
Daniel Bell,,,,,https://www.swedishmusicalheritage.com/composers/bell-daniel/,false,
Carl Michael Bellman,4 februari 1740,,11 februari 1795,Stockholm,https://www.swedishmusicalheritage.com/composers/bellman-carl-michael/,false,
Peter Bengtson,,,,,https://www.swedishmusicalheritage.com/composers/bengtson-peter/,false,
Eric Bengtson,31 July 1897,"Norra Vram, Bjuv’s parish in Skåne,",6 April 1948,Gävle,https://www.swedishmusicalheritage.com/composers/bengtsson-eric/,false,
Gustaf Bengtsson,29 March 1886,Vadstena,5 October 1965,Linköping,https://www.swedishmusicalheritage.com/composers/bengtsson-gustaf/,true,Q1555408
Ferdinand Bengzon,5 april 1840,"Jämshögs församling (Olofström, Blekinge)",18 juli 1893,"Jakob och Johannes församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/bengzon-ferdinand/,false,
Herman Berens d.y.,17 November 1862,Stockholm,5 July 1928,"Stockholm, was a conductor and composer",https://www.swedishmusicalheritage.com/composers/berens-herman/,false,
Hermann Berens d.ä.,7 April 1826,Hamburg,9 May 1880,Stockholm,https://www.swedishmusicalheritage.com/composers/berens-hermann/,false,
Alfred Berg,13 October 1857,Hudiksvall,17 April 1929,Lund,https://www.swedishmusicalheritage.com/composers/berg-alfred/,false,
Gottfrid Berg,29 januari 1889,"Hedvig Eleonora församling, Stockholm,",4 juli 1970,Lidingö församling,https://www.swedishmusicalheritage.com/composers/berg-gottfrid/,false,
Isak Berg,22 september 1803,Stockholm,1 december 1886,Stockholm,https://www.swedishmusicalheritage.com/composers/berg-isak-albert/,false,
Natanael Berg,9 February 1879,Stockholm,14 October 1957,Stockholm,https://www.swedishmusicalheritage.com/composers/berg-natanael/,true,Q532510
Simon Berggården,,,,,https://www.swedishmusicalheritage.com/composers/berggarden-simon/,false,
J. Anders Berggrén,,,,,https://www.swedishmusicalheritage.com/composers/berggren-j-anders/,false,
Johannes Bergmark,,,,,https://www.swedishmusicalheritage.com/composers/bergmark-johannes/,false,
