name,birth_date,birth_place,death_date,death_place,url
Åke Malmfors,2 December 1918,Stockholm,7 March 1951,Stockholm,https://www.swedishmusicalheritage.com/composers/malmfors-ke/
Carin Malmlöf-Forssling,,,,,https://www.swedishmusicalheritage.com/composers/malmlof-forssling-carin/
Gunnar Malmström,25 March 1892,Uppsala,4 February 1961,Stockholm,https://www.swedishmusicalheritage.com/composers/malmstrom-gunnar/
Love Mangs,,,,,https://www.swedishmusicalheritage.com/composers/mangs-love/
Carl Abraham Mankell,16 April 1802,"Christiansfeld in Southern Jutland, Denmark,",27 October 1868,Stockholm,https://www.swedishmusicalheritage.com/composers/mankell-carl-abraham/
Gustaf Mankell,20 May 1812,Christiansfeld in Denmark,23 March 1880,Stockholm,https://www.swedishmusicalheritage.com/composers/mankell-gustaf/
Henning Mankell,3 June 1868,Härnösand,5 May 1930,Stockholm,https://www.swedishmusicalheritage.com/composers/mankell-henning/
Cristian Marina,,,,,https://www.swedishmusicalheritage.com/composers/marina-cristian/
Miklós Maros,,,,,https://www.swedishmusicalheritage.com/composers/maros-mikls/
Henri Marteau,31 March 1874,Reims,4 October 1934,"Lichtenberg in Oberfranken, Germany",https://www.swedishmusicalheritage.com/composers/marteau-henri/
Per Mårtensson,,,,,https://www.swedishmusicalheritage.com/composers/martensson-per/
Rolf Martinsson,,,,,https://www.swedishmusicalheritage.com/composers/martinsson-rolf/
Johan Adolph Mecklin,22 May 1761,Linköping,21 November 1803,Norrköping,https://www.swedishmusicalheritage.com/composers/mecklin-adolph/
Johann Valentin Meder,3 maj 1649,Wasungen i Thüringen i Tyskland döpt,,,https://www.swedishmusicalheritage.com/composers/meder-johann-valentin/
Friedrich Mehler,27 september 1896,,5 november 1981,Visby församling,https://www.swedishmusicalheritage.com/composers/mehler-friedrich/
Hjalmar Meissner,1 March 1865,"Helsinki, Finland",28 May 1940,Stockholm,https://www.swedishmusicalheritage.com/composers/meissner-hjalmar/
Magdalena Meitzner,,,,,https://www.swedishmusicalheritage.com/composers/meitzner-magdalena/
Melcher Melchers,30 May 1882,Stockholm,9 April 1961,Stockholm,https://www.swedishmusicalheritage.com/composers/melchers-melcher/
Sten Melin,,,,,https://www.swedishmusicalheritage.com/composers/melin-sten/
Arne Mellnäs,,,,,https://www.swedishmusicalheritage.com/composers/mellnas-arne/
Jean Fredrik Henrik Meyer,26 februari 1822,Hamburg,26 mars 1893,Tyska S:ta Gertruds församling (Stockholm),https://www.swedishmusicalheritage.com/composers/meyer-jean-fredrik-henrik/
Johan Miklin,21 juni 1787,"Gagnef 1726 (troligen den 4 mars), avliden i Linköpings domkyrkoförsamling",21 juni 1787,Linköpings domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/miklin-johan-adolf/
Ingmar Milveden,15 februari 1920,,16 september 2007,Uppsala domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/milveden-ingmar/
Carl-Allan Moberg,5 juni 1896,,19 juni 1978,"Helga Trefaldighets församling, Uppsala,",https://www.swedishmusicalheritage.com/composers/moberg-carl-allan/
Carl Johan Moberger,18 maj 1762,Nyköping,18 november 1844,Gävle församling (sedermera Gävle Heliga Trefaldighets församling),https://www.swedishmusicalheritage.com/composers/moberger-carl-johan/
Carl Theodor Möller,11 november 1813,,15 juli 1889,,https://www.swedishmusicalheritage.com/composers/moller-carl-theodor/
Göran Peter Möller,8 november 1824,,20 augusti 1908,Norrköpings Matteus församling,https://www.swedishmusicalheritage.com/composers/moller-goran-peter/
Nils Möller,5 april 1803,"Helsingborg, Sweden",7 October 1860,Lund,https://www.swedishmusicalheritage.com/composers/moller-nils/
Tebogo Monnakgotla,,,,,https://www.swedishmusicalheritage.com/composers/monnakgotla-tebogo/
Fabio Monni,,,,,https://www.swedishmusicalheritage.com/composers/monni-fabio/
Olallo Morales,15 October 1874,"Almeria, Spain,",29 April 1957,"Tällberg, Sweden,",https://www.swedishmusicalheritage.com/composers/morales-olallo/
John (Theodor/Teodor) Morén,26 maj 1854,,7 april 1932,Bromma församling,https://www.swedishmusicalheritage.com/composers/moren-john/
Kristofer Morhed,,,,,https://www.swedishmusicalheritage.com/composers/morhed-kristofer/
Jan W Morthenson,,,,,https://www.swedishmusicalheritage.com/composers/morthenson-jan-w/
Staffan Mossenmark,,,,,https://www.swedishmusicalheritage.com/composers/mossenmark-staffan/
Jacob Mühlrad,,,,,https://www.swedishmusicalheritage.com/composers/muhlrad-jacob/
