name,birth_date,birth_place,death_date,death_place,url
Stig Rybrant,,,,,https://www.swedishmusicalheritage.com/composers/rybrant-stig/
Bo Rydberg,,,,,https://www.swedishmusicalheritage.com/composers/rydberg-bo/
Sam Rydberg,27 October 1885,Nyköping,25 March 1956,"Stockholm, was a military musician, conductor, music director and composer",https://www.swedishmusicalheritage.com/composers/rydberg-sam/
Anders Gabriel Rylander,,,22 juli 1828,Lekeryds församling (Jönköping),https://www.swedishmusicalheritage.com/composers/rylander-ag/
Hans Rytterkvist,,,,,https://www.swedishmusicalheritage.com/composers/rytterkvist-hans/
Ákos Rózmann,,,,,https://www.swedishmusicalheritage.com/composers/rzmann-akos/
August Säfström,1 October 1813,Uppsala,12 April 1888,Stockholm,https://www.swedishmusicalheritage.com/composers/safstrom-august/
Stellan Sagvik,,,,,https://www.swedishmusicalheritage.com/composers/sagvik-stellan/
Iréne Sahlin,,,,,https://www.swedishmusicalheritage.com/composers/sahlin-irene/
Gottfrid Salwén,12 September 1879,Halna,,,https://www.swedishmusicalheritage.com/composers/salwen-gottfrid/
Marie Samuelsson,,,,,https://www.swedishmusicalheritage.com/composers/samuelsson-marie/
Per Samuelsson,,,,,https://www.swedishmusicalheritage.com/composers/samuelsson-per/
Bengt Sandahl,28 mars 1774,,8 juli 1831,Veta,https://www.swedishmusicalheritage.com/composers/sandahl-bengt/
Adolf Sandberg,21 februari 1808,Helsingborgs stadsförsamling,24 oktober 1863,Karlskrona amiralitetsförsamling,https://www.swedishmusicalheritage.com/composers/sandberg-adolf/
Lars Sandberg,,,,,https://www.swedishmusicalheritage.com/composers/sandberg-lars/
Alva Sandberg-Norrlander,25 september 1899,,1 mars 1961,Stockholm,https://www.swedishmusicalheritage.com/composers/sandberg-norrlander-alva/
Oscar Sandberg,1st December 1870,Kristianstad,12 December 1926,"Stockholm, was a church musician, music teacher and composer",https://www.swedishmusicalheritage.com/composers/sandberg-oscar/
Amanda Sandborg-Waesterberg,16 December 1842,Stockholm,3 January 1918,"Bergvik, Hälsingland",https://www.swedishmusicalheritage.com/composers/sandborg-waesterberg-amanda/
Sten Sandell,,,,,https://www.swedishmusicalheritage.com/composers/sandell-sten/
Ellen Sandels,,,22 November 1931,Stockholm,https://www.swedishmusicalheritage.com/composers/sandels-ellen/
Joakim Sandgren,,,,,https://www.swedishmusicalheritage.com/composers/sandgren-joakim/
Örjan Sandred,,,,,https://www.swedishmusicalheritage.com/composers/sandred-orjan/
Israel Sandström,14 November 1824,Linköping,20 November 1880,Gothenburg,https://www.swedishmusicalheritage.com/composers/sandstrom-israel/
Jan Sandström,,,,,https://www.swedishmusicalheritage.com/composers/sandstrom-jan/
Sven-David Sandström,,,,,https://www.swedishmusicalheritage.com/composers/sandstrom-sven-david/
Gustav Satter,12 februari 1832,,,,https://www.swedishmusicalheritage.com/composers/satter-gustav-da/
Felix Saul,22 december 1883,Stargard,16 november 1942,Stockholm,https://www.swedishmusicalheritage.com/composers/saul-felix/
Rickard Scheffer,,,,,https://www.swedishmusicalheritage.com/composers/scheffer-rickard/
Björn Schildknecht,7 June 1905,Stockholm,10 July 1946,Stockholm,https://www.swedishmusicalheritage.com/composers/schildknecht-bjorn/
Albert Schnelzer,,,,,https://www.swedishmusicalheritage.com/composers/schnelzer-albert/
Anton Schnötzinger,,,27 februari 1865,"S:ta Eugenia katolska församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/schnotzinger-anton/
Stig Gustav Schönberg,,,,,https://www.swedishmusicalheritage.com/composers/schonberg-stig-gustav/
Johnny Schönning,11 mars 1894,Gävle Heliga Trefaldighets församling (efter 2020 Gävle församling),5 augusti 1966,"Oscars församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/schonning-johnny/
Peter Schuback,,,,,https://www.swedishmusicalheritage.com/composers/schuback-peter/
Carl Schwencke,7 March 1797,Hamburg,7 January 1870,Nussdorf,https://www.swedishmusicalheritage.com/composers/schwencke-carl/
Hugo Sedström,9 oktober 1862,Uppsala domkyrkoförsamling,31 augusti 1940,Gustav Vasa församling,https://www.swedishmusicalheritage.com/composers/sedstrom-hugo/
Meelis Seffers,,,,,https://www.swedishmusicalheritage.com/composers/seffers-meelis/
Jonatan Sersam,,,,,https://www.swedishmusicalheritage.com/composers/sersam-jonatan/
Johan Setterholm (Seterholm),,,6 januari 1833,Jakob och Johannes församling (Stockholm),https://www.swedishmusicalheritage.com/composers/seterholm-/
Jacob August Setterholm,7 augusti 1804,Klara församling (Stockholm),,,https://www.swedishmusicalheritage.com/composers/setterholm-j-august/
William Seymer,,,,,https://www.swedishmusicalheritage.com/composers/seymer-william/
Eva Sidén,,,,,https://www.swedishmusicalheritage.com/composers/siden-eva/
Björn Sikström,,,,,https://www.swedishmusicalheritage.com/composers/sikstrom-bjorn/
Carl Sillén,17 juli 1818,Torstuna församling (Enköping),20 december 1888,Hovförsamlingen (Stockholm),https://www.swedishmusicalheritage.com/composers/sillen-carl/
Fredrik Silverstolpe,28 December 1769,Stockholm,2 December 1851,the same city,https://www.swedishmusicalheritage.com/composers/silverstolpe-fredirk/
Pavol Simai,,,,,https://www.swedishmusicalheritage.com/composers/simai-pavol/
Patric Simmerud,,,,,https://www.swedishmusicalheritage.com/composers/simmerud-patric/
Johan Gustaf Simson,,,23 november 1787,Göteborg,https://www.swedishmusicalheritage.com/composers/simson-johan-gustaf/
Fredrik Sixten,,,,,https://www.swedishmusicalheritage.com/composers/sixten-fredrik/
Birger Sjöberg,6 december 1885,Stockholm,30 april 1929,Växjö,https://www.swedishmusicalheritage.com/composers/sjoberg-birger/
Carl Sjöberg,28 May 1861,Gävle,26 January 1900,Hedemora,https://www.swedishmusicalheritage.com/composers/sjoberg-carl/
Johan-Magnus Sjöberg,,,,,https://www.swedishmusicalheritage.com/composers/sjoberg-johan-magnus/
Svante Sjöberg,28 August 1873,Karlskrona,18 January 1935,in the same town,https://www.swedishmusicalheritage.com/composers/sjoberg-svante/
Heimer Sjöblom,,,,,https://www.swedishmusicalheritage.com/composers/sjoblom-heimer/
Emil Sjögren,16 June 1853,Stockholm,1 March 1918,,https://www.swedishmusicalheritage.com/composers/sjogren-emil/
Martin Skafte,,,,,https://www.swedishmusicalheritage.com/composers/skafte-martin/
Einar Skagerberg,16 november 1876,Åmots bruk och död i Växjö 19 april 1969,19 april 1969,Växjö,https://www.swedishmusicalheritage.com/composers/skagerberg-einar/
Anders Fredrik Skjöldebrand,14 July 1757,Algiers,23 August 1834,Stockholm,https://www.swedishmusicalheritage.com/composers/skjoldebrand-anders-fredrik/
Susanne Skog,,,,,https://www.swedishmusicalheritage.com/composers/skog-susanne/
Ylva Skog,,,,,https://www.swedishmusicalheritage.com/composers/skog-ylva/
Erland Skoglund,,,,,https://www.swedishmusicalheritage.com/composers/skoglund-erland/
Adam Skogvard,,,,,https://www.swedishmusicalheritage.com/composers/skogvard-adam/
Bengt-Göran Sköld,,,,,https://www.swedishmusicalheritage.com/composers/skold-bengt-goran/
Mattias Sköld,,,,,https://www.swedishmusicalheritage.com/composers/skold-mattias/
Sven Sköld,,,23 October 1956,,https://www.swedishmusicalheritage.com/composers/skold-sven/
Yngve Sköld,,,,,https://www.swedishmusicalheritage.com/composers/skold-yngve/
Josef Otto af Sillén,2 July 1859,Solna,14 July 1951,Stockholm,https://www.swedishmusicalheritage.com/composers/slillen-josef-otto-af/
Sune Smedeby,,,,,https://www.swedishmusicalheritage.com/composers/smedeby-sune/
Michael J Smith,,,,,https://www.swedishmusicalheritage.com/composers/smith-michael-j/
Camilla Söderberg,,,,,https://www.swedishmusicalheritage.com/composers/soderberg-camilla/
Hans Söderberg,,,,,https://www.swedishmusicalheritage.com/composers/soderberg-hans/
Wilhelm Theodor Söderberg,6 October 1845,Össeby-Garn in Stockholm County,1 November 1922,Karlshamn,https://www.swedishmusicalheritage.com/composers/soderberg-wilhelm-theodor/
Valdemar Söderholm,,,,,https://www.swedishmusicalheritage.com/composers/soderholm-valdemar/
Lille Bror Söderlundh,21 May 1912,Kristinehamn,23 August 1957,Stockholm,https://www.swedishmusicalheritage.com/composers/soderlundh-lille-bror/
August Söderman,17 July 1832,Stockholm,,,https://www.swedishmusicalheritage.com/composers/soderman-august/
Fritz Söderman,4 January 1838,Stockholm,15 July 1883,the same city,https://www.swedishmusicalheritage.com/composers/soderman-fritz/
Johan Wilhelm Söderman,20 July 1808,Stockholm,29 July 1858,"Karlstad, was a conductor and composer",https://www.swedishmusicalheritage.com/composers/soderman-johan-wilhelm/
Gunno Södersten,10 januari 1920,Stockholm,30 september 1998,Lidingö,https://www.swedishmusicalheritage.com/composers/sodersten-gunno/
Knut Söderström,31 mars 1878,Järvsö församling,24 juli 1952,Ludvika församling,https://www.swedishmusicalheritage.com/composers/soderstrom-knut/
Knut Sönstevold,,,,,https://www.swedishmusicalheritage.com/composers/sonstevold-knut/
Vanessa Sorce-Lévesque,,,,,https://www.swedishmusicalheritage.com/composers/sorce-levesque-vanessa/
Josef Söreke,,,,,https://www.swedishmusicalheritage.com/composers/soreke-josef/
Torsten Sörenson,,,,,https://www.swedishmusicalheritage.com/composers/sorenson-torsten/
Sixten David Sparre,20 april 1787,,22 april 1843,Svea livgardes församling,https://www.swedishmusicalheritage.com/composers/sparre-sixten-david/
Carl Gustaf (Karl Gustav) Stackelberg,23 augusti 1780,,17 december 1806,"Sankt Petersburg, Ryssland,",https://www.swedishmusicalheritage.com/composers/stackelberg-carl-gustaf/
Benjamin Staern,,,,,https://www.swedishmusicalheritage.com/composers/staern-benjamin/
Johannes Christoffer Stålhammar,30 december 1868,"S:ta Klara församling, Stockholm,",1 maj 1900,Hedvig Eleonora församling (Stockholm),https://www.swedishmusicalheritage.com/composers/stalhammar-johannes-christoffer/
Maria Fredrica von Stedingk,31 oktober 1799,"Sankta Katarina (svenska) församling, Sankt Petersburg",15 juni 1868,"S:ta Klara församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/stedingk-maria-fredrica-von/
Joseph Karl Anton Steinmüller,,,23 juli 1808,Stockholm,https://www.swedishmusicalheritage.com/composers/steinmuller-johann-joseph/
Lisa Stenberg,,,,,https://www.swedishmusicalheritage.com/composers/stenberg-lisa/
Carl Stenborg,8 September 1752,Stockholm,1 August 1813,Stockholm,https://www.swedishmusicalheritage.com/composers/stenborg-carl/
Fredrika Stenhammar,19 September 1836,Visby,7 October 1880,Stockholm,https://www.swedishmusicalheritage.com/composers/stenhammar-fredrika/
Per Ulrik Stenhammar,20 February 1829,Häradshammar on the Vikbolandet peninsula east of Norrköping,8 February 1875,Stockholm,https://www.swedishmusicalheritage.com/composers/stenhammar-per-ulrik/
Wilhelm Stenhammar,7 February 1871,Stockholm,20 November 1927,Jonsered outside Gothenburg,https://www.swedishmusicalheritage.com/composers/stenhammar-wilhelm/
Magnus Stenman,,,,,https://www.swedishmusicalheritage.com/composers/stenman-magnus/
Carl August Stieler,18 July 1780,,15 April 1822,Stockholm,https://www.swedishmusicalheritage.com/composers/stieler-carl-august/
Gustaf Stolpe,26 september 1833,,3 oktober 1901,New Orange,https://www.swedishmusicalheritage.com/composers/stolpe-gustaf/
Staffan Storm,,,,,https://www.swedishmusicalheritage.com/composers/storm-staffan/
Johann Ignaz Stranensky,,,,,https://www.swedishmusicalheritage.com/composers/stranensky-johann-ignaz/
Lisa Streich,,,,,https://www.swedishmusicalheritage.com/composers/streich-lisa/
Carl Axel Strindberg,17 June 1845,Stockholm,12 January 1927,Stockholm,https://www.swedishmusicalheritage.com/composers/strindberg-carl-axel/
Henrik Strindberg,,,,,https://www.swedishmusicalheritage.com/composers/strindberg-henrik/
Vilhelm Ström,31 januari 1848,Arvika,3 augusti 1909,Söderala,https://www.swedishmusicalheritage.com/composers/strom-w/
Mikael Strömberg,,,,,https://www.swedishmusicalheritage.com/composers/stromberg-mikael/
Paul Struck,,,,,https://www.swedishmusicalheritage.com/composers/struck-paul/
Jacob Struve,14 October 1767,Stockholm,27 July 1826,the same city,https://www.swedishmusicalheritage.com/composers/struve-jacob/
Elsa M. Stuart,26 april 1889,,19 maj 1970,Skara,https://www.swedishmusicalheritage.com/composers/stuart-elsa-m/
Georg Stubendorff,,,,,https://www.swedishmusicalheritage.com/composers/stubendorff-georg/
Hilda Sundhammar,18 August 1854,Hallingeberg and deceased 29 December 1925 in Uppsala,,,https://www.swedishmusicalheritage.com/composers/sundhammar-hilda/
Håkan Sundin,,,,,https://www.swedishmusicalheritage.com/composers/sundin-hakan/
Paulina Sundin,,,,,https://www.swedishmusicalheritage.com/composers/sundin-paulina/
Vilhelm Svedbom,8 March 1843,Stockholm,25 December 1904,"Stockholm, was a literary historian, pianist, composer, conservatory music teacher and music administrator",https://www.swedishmusicalheritage.com/composers/svedbom-vilhelm/
Fabian Svensson,,,,,https://www.swedishmusicalheritage.com/composers/svensson-fabian/
Johan(nes) Svensson,4 augusti 1775,,17 juni 1845,Växjö domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/svensson-johan/
Johan Svensson,,,,,https://www.swedishmusicalheritage.com/composers/svensson-johan2/
Kristofer Svensson,,,,,https://www.swedishmusicalheritage.com/composers/svensson-kristofer/
Martin Svensson,,,,,https://www.swedishmusicalheritage.com/composers/svensson-martin/
Mattias Svensson Sandell,,,,,https://www.swedishmusicalheritage.com/composers/svensson-sandell-mattias/
Sven E. Svensson,3 November 1899,Västerås,22 April 1960,Uppsala,https://www.swedishmusicalheritage.com/composers/svensson-sven-e/
David Swärd,,,,,https://www.swedishmusicalheritage.com/composers/sward-david/
Sixten Sylvan,20 februari 1914,Lund,11 juli 2001,Ödåkra (Helsingborg),https://www.swedishmusicalheritage.com/composers/sylvan-sixten/
Mirjam Tally,,,,,https://www.swedishmusicalheritage.com/composers/tally-mirjam/
Kent Tankred,,,,,https://www.swedishmusicalheritage.com/composers/tankred-kent/
Andrea Tarrodi,,,,,https://www.swedishmusicalheritage.com/composers/tarrodi-andrea/
Evert Taube,12 mars 1890,,31 januari 1976,"Maria församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/taube-evert/
Sigrid Taube,7 januari 1888,Malmö,30 september 1981,Danderyd,https://www.swedishmusicalheritage.com/composers/taube-sigrid/
Martin Tegen,28 april 1919,,17 april 2019,Stockholm,https://www.swedishmusicalheritage.com/composers/tegen-martin/
Alice Tegnér,12 March 1864,Karlshamn,26 May 1943,Stockholm,https://www.swedishmusicalheritage.com/composers/tegner-alice/
Molly Teleman,,,,,https://www.swedishmusicalheritage.com/composers/teleman-molly/
Hans Jacob Tengvall,28 June 1787,Malmö,8 May 1863,the same city,https://www.swedishmusicalheritage.com/composers/tengvall-hans-jakob/
Hélène Tham,16 December 1843,"Stockholm,",26 July 1925,"Stockholm,",https://www.swedishmusicalheritage.com/composers/tham-helene/
Hilda Thegerström,17 September 1838,d,6 December 1907,was one of the most important Swedish pianists during the second half of the 19th century,https://www.swedishmusicalheritage.com/composers/thegerstrom-hilda/
Prinsessan Teresia,21 December 1836,the Bavarian castle of Triesdorf,9 November 1914,Stockholm,https://www.swedishmusicalheritage.com/composers/therese-prinsessan/
Stefan Thorsson,,,,,https://www.swedishmusicalheritage.com/composers/thorsson-stefan/
Herman Theodor Thunman,23 augusti 1827,,16 augusti 1884,Hedvig Eleonora församling (Stockholm),https://www.swedishmusicalheritage.com/composers/thunman-herman-theodor/
Gunnar Thyrestam,11 oktober 1900,,23 februari 1984,samma församling,https://www.swedishmusicalheritage.com/composers/thyrestam-gunnar/
Leilei Tian,,,,,https://www.swedishmusicalheritage.com/composers/tian-leilei/
Eric Tollén,12 juli 1787,Sya församling (Mjölby),22 december 1866,Östra Eneby församling (Norrköping),https://www.swedishmusicalheritage.com/composers/tollen-eric/
Martina Tomner,,,,,https://www.swedishmusicalheritage.com/composers/tomner-martina/
Jon Fredrik Törnwall,5 May 1819,"Överby in the northern part region of Kalmar,",16 March 1898,Linköping,https://www.swedishmusicalheritage.com/composers/tornwall-jon-fredrik/
Klas Torstensson,,,,,https://www.swedishmusicalheritage.com/composers/torstensson-klas/
Peter van Tour,,,,,https://www.swedishmusicalheritage.com/composers/tour-peter-van/
Eduard Tubin,,,,,https://www.swedishmusicalheritage.com/composers/tubin-eduard/
Erik Tulindberg,22 February 1761,"the village of Saarenpää in what was then Swedish Ostrobothnia,",1 September 1814,Turku,https://www.swedishmusicalheritage.com/composers/tulindberg-erik/
Otto Tullberg,26 september 1802,Nöbbele församling (Växjö),12 april 1853,Uppsala domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/tullberg-otto/
Nils Tykesson,,,,,https://www.swedishmusicalheritage.com/composers/tykesson-nils/
Åke Uddén,,,,,https://www.swedishmusicalheritage.com/composers/udden-ke/
Wilhelm Uddén,4 August 1799,Stockholm,3 May 1868,Stockholm,https://www.swedishmusicalheritage.com/composers/udden-wilhelm/
Conrad Rudolf af Uhr,19 maj 1819,Gävle,12 mars 1871,Stockholm,https://www.swedishmusicalheritage.com/composers/uhr-conrad-rudolf-af/
Lisa Ullén,,,,,https://www.swedishmusicalheritage.com/composers/ullen-lisa/
Bo Ullman,,,,,https://www.swedishmusicalheritage.com/composers/ullman-bo/
Carl Fredrik Ullman,30 oktober 1809,Skänninge församling,18 april 1873,Karlshamns församling,https://www.swedishmusicalheritage.com/composers/ullman-carl-fredrik/
Drottning Ulrika Eleonora [d.ä.],11 september 1656,,,,https://www.swedishmusicalheritage.com/composers/ulrika-eleonora-da-drottning/
Carl Unander-Scharin,,,,,https://www.swedishmusicalheritage.com/composers/unander-scharin-carl/
Tamas Ungvary,,,,,https://www.swedishmusicalheritage.com/composers/ungvary-tamas/
Francesco Antonio Uttini,25 October 1795,Bologna 1723 and died in Stockholm,25 October 1795,Stockholm,https://www.swedishmusicalheritage.com/composers/uttini-francesco-antonio/
Karl Valentin,30 May 1853,Gothenburg,1 April 1918,Stockholm (Lidingö),https://www.swedishmusicalheritage.com/composers/valentin-karl/
Jonas Valfridsson,,,,,https://www.swedishmusicalheritage.com/composers/valfridsson-jonas/
Gunnar Valkare,,,,,https://www.swedishmusicalheritage.com/composers/valkare-gunnar/
Victor Varela,,,,,https://www.swedishmusicalheritage.com/composers/varela-victor/
Gary Verkade,,,,,https://www.swedishmusicalheritage.com/composers/verkade-gary/
Sergei Dmitriev Viluman,,,,,https://www.swedishmusicalheritage.com/composers/viluman-sergei-dmitriev/
Georg Joseph Vogler,15 June 1749,Würzburg,6 May 1814,Darmstadt,https://www.swedishmusicalheritage.com/composers/vogler-georg-joseph/
Frans von Heland,11 juni 1843,"Katarina församling, Stockholm,",2 juni 1923,Oscars församling (Stockholm),https://www.swedishmusicalheritage.com/composers/von-heland-frans/
Augusta von Otter,7 februari 1869,Uddevalla,,,https://www.swedishmusicalheritage.com/composers/von-otter-augusta/
Patrik Vretblad,5 April 1876,"Svartnäs, Dalarna",15 January 1953,Stockholm,https://www.swedishmusicalheritage.com/composers/vretblad-patrik/
Axel Raoul Wachtmeister,2 April 1865,London,12 December 1947,Malmö,https://www.swedishmusicalheritage.com/composers/wachtmeister-axel-raoul/
Erik Wadman,,,,,https://www.swedishmusicalheritage.com/composers/wadman-erik/
Rune Wahlberg,,,,,https://www.swedishmusicalheritage.com/composers/wahlberg-rune/
Thommy Stig Wahlström,,,,,https://www.swedishmusicalheritage.com/composers/wahlstrom-thommy-stig/
Michael Waldenby,,,,,https://www.swedishmusicalheritage.com/composers/waldenby-michael/
Anders Wall,,,,,https://www.swedishmusicalheritage.com/composers/wall-anders/
Jan Wallgren,,,,,https://www.swedishmusicalheritage.com/composers/wallgren-jan/
Thomas Christian Walter,,,18 november 1788,Tranquebar (huvudort i dåtida dansk besittning i Indien),https://www.swedishmusicalheritage.com/composers/walther-/
Frej Wedlund,,,,,https://www.swedishmusicalheritage.com/composers/wedlund-frej/
Anna E Weiser,,,,,https://www.swedishmusicalheritage.com/composers/weiser-anna-e/
Svea Welander (Nordblad),24 juli 1898,"Hyllie församling, Limhamn/Malmö,",20 mars 1985,Burlövs förasamling,https://www.swedishmusicalheritage.com/composers/welander-svea/
Waldemar Welander,28 augusti 1899,,2 januari 1984,Åkarp (Burlövs församling),https://www.swedishmusicalheritage.com/composers/welander-waldemar/
Karl-Erik Welin,,,,,https://www.swedishmusicalheritage.com/composers/welin-karl-erik/
Sven Åke Welin,29 maj 1902,Hjulsjö församling (Nora),28 september 1973,Martin Luthers församling (Halmstad),https://www.swedishmusicalheritage.com/composers/welin-sven-ke/
Frans Weller,,,15 juli 1860,"Tyska S:ta Gertruds församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/weller-frans/
Gerda Wennerberg,,,,,https://www.swedishmusicalheritage.com/composers/wennerberg-gerda/
Gunnar Wennerberg,2 October 1817,Lidköping,24 August 1901,,https://www.swedishmusicalheritage.com/composers/wennerberg-gunnar/
Gustaf Wennerberg,19 januari 1856,,2 augusti 1928,,https://www.swedishmusicalheritage.com/composers/wennerberg-gustaf/
Sara Wennerberg-Reuter,11 February 1875,"Otterstad, Västergötland,",29 March 1959,Stockholm,https://www.swedishmusicalheritage.com/composers/wennerberg-reuter-sara/
Christian Wenster,5 februari 1735,Kristianstads stadsförsamling,3 april 1823,Lunds domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/wenster-christian/
Lars Johan Werle,,,,,https://www.swedishmusicalheritage.com/composers/werle-lars-johan/
Anders Wesström,,,7 May 1781,"Uppsala, succeeded his father as organist and music teacher in his hometown of Hudiksvall at the age of 13",https://www.swedishmusicalheritage.com/composers/wesstrom-anders/
Eric Westberg,9 May 1892,Hudiksvall,16 October 1944,Stockholm,https://www.swedishmusicalheritage.com/composers/westberg-eric/
Carl (Johan) Westerdahl,27 september 1779,Lunds domkyrkoförsamling,16 mars 1820,"S:ta Klara församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/westerdahl-carl-johan/
Pehr [af] Westerstrand,27 februari 1785,"Ukna socken, Kalmar län",23 oktober 1857,Åkers Styckebruk (vid ett tillfälligt besök där),https://www.swedishmusicalheritage.com/composers/westerstrand-pehr-af/
Lennart Westman,,,,,https://www.swedishmusicalheritage.com/composers/westman-lennart/
Fredrika Wickman,28 mars 1852,Stockholm,,,https://www.swedishmusicalheritage.com/composers/wickman-fredrika/
Ivar Widéen,21 March 1871,Bällö in the province of Småland,16 March 1951,Lidköping,https://www.swedishmusicalheritage.com/composers/wideen-ivar/
Ivar Widner,29 december 1891,"Kolsva, Bro församling (Köping)",26 augusti 1973,Farsta församling (Stockholm),https://www.swedishmusicalheritage.com/composers/widner-ivar/
Viktor Widqvist,27 december 1881,,22 december 1952,Bromma församling,https://www.swedishmusicalheritage.com/composers/widqvist-viktor/
Adam Wiernik,,,,,https://www.swedishmusicalheritage.com/composers/wiernik-adam/
Ingvar Wieslander,19 May 1917,Jönköping,29 April 1963,Malmö,https://www.swedishmusicalheritage.com/composers/wieslander-ingvar/
David Wikander,21 July 1884,,15 November 1955,,https://www.swedishmusicalheritage.com/composers/wikander-david/
Kurt Wiklander,,,,,https://www.swedishmusicalheritage.com/composers/wiklander-kurt/
Adolf Wiklund,5 June 1879,"Långserud, Värmland,",2 April 1950,Stockholm,https://www.swedishmusicalheritage.com/composers/wiklund-adolf/
Bo Wiklund,,,,,https://www.swedishmusicalheritage.com/composers/wiklund-bo/
Johan Wikmanson,28 December 1753,Stockholm where he died on 10 January 1800,10 January 1800,Stockholm where he died on 10 January 1800,https://www.swedishmusicalheritage.com/composers/wikmanson-johan/
Inger Wikström,,,,,https://www.swedishmusicalheritage.com/composers/wikstrom-inger/
Tobias Wilhelmi,7 April 1885,Amsterdam,24 October 1944,Stockholm,https://www.swedishmusicalheritage.com/composers/wilhelmi-tobias/
Martin Willert,,,,,https://www.swedishmusicalheritage.com/composers/willert-martin/
Otto Daniel Winge,2 May 1810,"Sko Parish, Uppland",16 January 1886,Stockholm,https://www.swedishmusicalheritage.com/composers/winge-otto-daniel/
Gustaf Edvard Winroth,26 februari 1821,Stockholms Storkyrkoförsamling,17 juli 1856,S:t Laurentii församling (Söderköping),https://www.swedishmusicalheritage.com/composers/winroth-gustaf-edvard/
Tomas Winter,,,,,https://www.swedishmusicalheritage.com/composers/winter-tomas/
Dag Wirén,,,,,https://www.swedishmusicalheritage.com/composers/wiren-dag/
Karl Wohlfart,19 November 1874,Hycklinge parish in the region of Östergötland,30 April 1943,"Stockholm, was a Swedish piano teacher, organist, conductor and composer",https://www.swedishmusicalheritage.com/composers/wohlfart-karl/
Augusta Wrangel,5 juni 1658,,27 januari 1699,,https://www.swedishmusicalheritage.com/composers/wrangel-augusta/
Fredrik Wrangel,17 juli 1816,,9 juli 1896,Växjö,https://www.swedishmusicalheritage.com/composers/wrangel-erik-fredrik/
Hedda Wrangel,11 December 1792,,24 July 1833,,https://www.swedishmusicalheritage.com/composers/wrangel-hedda/
Marcus Wrangö,,,,,https://www.swedishmusicalheritage.com/composers/wrango-marcus/
Jan Yngwe,,,,,https://www.swedishmusicalheritage.com/composers/yngwe-jan/
Johan Gottfried Zaar,15 maj 1754,,30 juli 1818,"Hedvig Eleonora församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/zaar-johan-gottfried/
Johan Zander,15 October 1752,Stockholm,,,https://www.swedishmusicalheritage.com/composers/zander-johan/
Sven Zanders,9 januari 1791,,4 juni 1863,Skara stadsförsamling,https://www.swedishmusicalheritage.com/composers/zanders-sven/
Erik Lorens Zebell,7 januari 1767,"S:t Nikolai församling, Nyköping,",,,https://www.swedishmusicalheritage.com/composers/zebell-erik-lornes/
Viktor Zeidner,,,,,https://www.swedishmusicalheritage.com/composers/zeidner-viktor/
Ferdinand Zellbell d.ä.,6 juli 1765,"Uppsala Domkyrkoförsamling 1689 (troligen den 14 april), avliden i Stockholms Storkyrkoförsamling",6 juli 1765,Stockholms Storkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/zellbell-da-ferdinand/
Ferdinand Zellbell d.y.,,,21 April 1780,,https://www.swedishmusicalheritage.com/composers/zellbell-ferdinand/
Michael Zethrin,"3 April, 1731","the 1660s in Börje in the province of Uppland, and died","3 April, 1731",Stockholm,https://www.swedishmusicalheritage.com/composers/zethrin-michael/
Andreas Zhibaj,,,,,https://www.swedishmusicalheritage.com/composers/zhibaj-andreas/
Edvin Ziedner,16 februari 1892,,18 november 1951,Danderyds församling,https://www.swedishmusicalheritage.com/composers/ziedner-edvin/
DJuro Zivkovic,,,,,https://www.swedishmusicalheritage.com/composers/zivkovic-djuro/
Johan Christian Zschotzscher,20 april 1741,Växjö,,,https://www.swedishmusicalheritage.com/composers/zschotzscher-johan-christian/
Tommy Zwedberg,,,,,https://www.swedishmusicalheritage.com/composers/zwedberg-tommy/
