wikidata_id,name
Q79023,Bedřich Diviš Weber
Q139650,Beltrán Pagola
Q1619820,Beniamino Cesi
Q817556,Benjamin Johnson Lang
Q27999612,Benoît Menut
Q11687759,Bernard Gates
Q27999024,Bernardino de Ribera
Q3638796,Bernardo Ottani
Q8246942,Bernat Bertran
Q571562,Bernhard Molique
Q214365,Bernhard Paumgartner
Q553166,Bernhard Scholz
Q826214,Bernhard Ziehn
Q321570,Bert Appermont
Q1849301,Bertha Frensel Wegener
Q23017773,Bertrand Dubedout
Q2383999,Bertus van Lier
Q53032647,Bettina Walker
Q19998083,Biagio Tomasi
Q369382,Billy Mayerl
Q110224410,Blanche Lucas
Q2906016,Blanche Selva
Q11159379,Blažena Rylek Staňková
Q4934165,Bob Telson
Q7940756,Boleslav Vomáčka
Q2471676,Boleslav Yavorsky
Q891327,Bolesław Woytowicz
Q2042019,Boris Aleksandrovich Diev
Q1958951,Boris Alexandrovich Alexandrov
Q2910955,Boris Golovin
Q106363574,Boris Krasin
Q1080882,Boris Porena
Q2086196,Boris von Vietinghoff-Scheel
Q893774,Borys Shekhter
Q4952364,Boyd McDonald
Q106790113,Brian Cobb
Q27881260,Brian Harnetty
Q45355352,Brody Felix
Q4385153,Bronisław Kazimierz Przybylski
Q4977236,Bruce Carlson
Q2926750,Bruno Ducol
Q2363707,Bruno Giner
Q3645804,Bruno Klein
Q156910,Bruno Walter
Q63241779,Bujor Hoinic
Q212762,Burt Bacharach
Q2460039,Buxton Orr
Q1018612,Byron Janis
Q97794360,Bálint Horváth
Q51083759,Camelia Dăscălescu
Q1029147,Camille Chevillard
Q936002,Camille Erlanger
Q23021179,Camille Pépin
Q1029297,Camille Zeckwer
Q1029284,Camille-Marie Stamaty
Q1029423,Camillo Sivori
Q1114027,Camillo de Nardis
Q1032946,Candelario Huízar
Q19976216,Carl Attrup
Q96179,Carl August Haupt
Q2938869,Carl Baermann
Q5039864,Carl Barbandt
Q1037207,Carl Busch
Q553537,Carl Ferdinand Becker
Q215739,Carl Flesch
Q704340,Carl Friedberg
Q215584,Carl Friedrich Rungenhagen
Q102608,Carl Heymann
Q5783822,Carl Ludvig Hall
Q456099,Carl Millöcker
Q636941,Carl Tausig
Q8263608,Carles Vidiella
Q3658929,Carlo Albanesi
Q3659224,Carlo Cotumacci
Q606273,Carlo Farina
Q766389,Carlo Pedrotti
Q2602845,Carmelo Bernaola
Q20908934,Carmelo Larrea
Q127256974,Carol Shortis
Q112321804,Carrie Burpee Shaw
Q63714280,Cary Ratcliff
Q4088468,Casimir von Blumenthal
Q45355193,Cassie Wieland
Q5056413,Cecilia Clare Bocard
Q977307,Cesare Nordio
Q3665510,Cesare Pollini
Q4426737,Cesare Sodero
Q55650853,Charles Blanchet
Q2958620,Charles Broche
Q256786,Charles Colin
Q2187815,Charles Couperin
Q5077278,Charles Edward Horsley
Q5077500,Charles F. Bryan
Q65648,Charles Hallé
Q23675262,Charles Hambitzer
Q5078996,Charles Herbert Kitson
Q5079804,Charles King
Q371459,Charles Lenepveu
Q27995018,Charles Louis Maucourt
Q1065373,Charles Lucien Lambert
Q4274803,Charles Meyer
Q19282462,Charles Michael Alexis Sola
Q517502,Charles Philippe Lafont
Q1065884,Charles Renaud de Vilbac
Q1066045,Charles Seeger
Q2960275,Charles Strouse
Q117035826,Charles Turner
Q246913,Charles Wood
Q3816382,Charles Zeuner
Q1063331,Charles-Alexis Chauvet
Q1063436,Charles-René
Q661501,Charles-Simon Catel
Q1065318,Charles-Édouard Lefebvre
Q2399157,Charlotte Sohy
Q5086211,Charlotte de Rothschild
Q726953,Chevalier de Saint-Georges
Q241496,Chris McGregor
