article,name,birth,death,nationality,notable_20th_century_works,comment,era
Sergei_Vasilenko,Sergei Vasilenko,1872,1956,Russian,,,20th-century classical
Ralph_Vaughan_Williams,Ralph Vaughan Williams,1872,1958,English,A Sea Symphony; A London Symphony; Sinfonia antartica; Fantasia on a Theme by Thomas Tallis; Fantasia on Greensleeves; The Lark Ascending,"impressionism, folk-influenced",20th-century classical
Salvator_Léonardi,Salvator Léonardi,1872,1938,Italian,,,20th-century classical
Emil_Votoček,Emil Votoček,1872,1950,Czech,,,20th-century classical
Modest_Altschuler,Modest Altschuler,1873,1963,Russian,,,20th-century classical
Dimitri_Arakishvili,Dimitri Arakishvili,1873,1953,Georgian,,,20th-century classical
William_Henry_Bell,William Henry Bell,1873,1946,English,,,20th-century classical
Blagoje_Bersa,Blagoje Bersa,1873,1934,Croatian,,,20th-century classical
André_Bloch_(composer),André Bloch,1873,1960,French,,,20th-century classical
Lucien_Capet,Lucien Capet,1873,1928,French,Poème for violin and orchestra,,20th-century classical
Anna_Cramer,Anna Cramer,1873,1968,Dutch,,,20th-century classical
Leo_Fall,Leo Fall,1873,1925,Austrian,Madame Pompadour (operetta),Romanticism,20th-century classical
Joseph_Jongen,Joseph Jongen,1873,1953,Belgian,Symphonie Concertante for organ and orchestra,,20th-century classical
Emma_Lomax,Emma Lomax,1873,1963,English,,,20th-century classical
Celeste_Jaguaribe_de_Matos_Faria,Celeste Jaguaribe de Matos Faria,1873,1938,Brazilian,,,20th-century classical
María_de_las_Mercedes_Adam_de_Aróstegui,María de las Mercedes Adam de Aróstegui,1873,1957,Cuban,,,20th-century classical
Mary_Carr_Moore,Mary Carr Moore,1873,1957,American,,,20th-century classical
Henri_Rabaud,Henri Rabaud,1873,1949,French,,,20th-century classical
Walter_Rabl,Walter Rabl,1873,1940,Austrian,,Romanticism,20th-century classical
Pascual_Marquina_Narro,Pascual Marquina Narro,1873,1948,Spanish,,,20th-century classical
Sergei_Rachmaninoff,Sergei Rachmaninoff,1873,1943,Russian,Piano Concerto No. 2 and No. 3; Rhapsody on a Theme of Paganini; Symphony No. 2; Prelude in C-sharp minor,"Romanticism, post-romanticism",20th-century classical
Max_Reger,Max Reger,1873,1916,German,"organ music, Variations and Fugue on a Theme by Mozart, Hebbel Requiem","historicism, modernism",20th-century classical
Jean_Roger-Ducasse,Jean Roger-Ducasse,1873,1954,French,,,20th-century classical
Arnold_Safroni-Middleton,Arnold Safroni-Middleton,1873,1950,British,,,20th-century classical
Nikolai_Tcherepnin,Nikolai Tcherepnin,1873,1945,Russian,,,20th-century classical
David_Vaughan_Thomas,David Vaughan Thomas,1873,1934,Welsh,,,20th-century classical
Pol_Albrecht,Pol Albrecht,1874,1975,Luxembourgish,,,20th-century classical
Ernest_Austin,Ernest Austin,1874,1947,English,Symphony,"atonality, Romanticism, folk-influenced, impressionism",20th-century classical
Edward_Bairstow,Edward Bairstow,1874,1946,English,,,20th-century classical
Ethel_Barns,Ethel Barns,1874,1948,English,,,20th-century classical
Giulio_Bas,Giulio Bas,1874,1929,Italian,"Organ Sonata in F, XVI Preludi-Corali for organ",,20th-century classical
George_Botsford,George Botsford,1874,1949,American,,ragtime,20th-century classical
Katharine_Emily_Eggar,Katharine Emily Eggar,1874,1961,English,,,20th-century classical
Edmund_Eysler,Edmund Eysler,1874,1949,Austrian,,,20th-century classical
Reynaldo_Hahn,Reynaldo Hahn,1874,1947,Venezuelan/French,Ciboulette (Opera),,20th-century classical
Carl_Cohn_Haste,Carl Cohn Haste,1874,1939,Danish,,,20th-century classical
Gustav_Holst,Gustav Holst,1874,1934,English,The Planets; Beni Mora; Egdon Heath,,20th-century classical
Charles_Ives,Charles Ives,1874,1954,American,The Unanswered Question; Central Park in the Dark; Variations on America; Three Places in New England; Concord Sonata,"avant-garde, folk-influenced",20th-century classical
Serge_Koussevitzky,Serge Koussevitzky,1874,1951,Russian,,,20th-century classical
Henri_Marteau,Henri Marteau,1874,1934,French,,,20th-century classical
Oskar_Nedbal,Oskar Nedbal,1874,1930,Czech,,,20th-century classical
František_Neumann,František Neumann,1874,1929,Czech,,,20th-century classical
Arnold_Schoenberg,Arnold Schoenberg,1874,1951,Austrian,Gurre-Lieder; Verklärte Nacht; Variations for Orchestra; Pierrot Lunaire; Five Pieces for Orchestra; Violin Concerto,"Romanticism, later expressionism and serialism; founder of the Second Viennese School",20th-century classical
Josef_Suk_(composer),Josef Suk,1874,1935,Czech,Asrael Symphony; A Winter's Tale,,20th-century classical
Franz_Schmidt,Franz Schmidt,1874,1939,Austrian,The Book with Seven Seals,,20th-century classical
Franco_Alfano,Franco Alfano,1875,1954,Italian,,,20th-century classical
Julián_Carrillo,Julián Carrillo,1875,1965,Mexican,Preludio a Colón; Misa de la Restauración dedicada a Juan XXIII,microtonal music,20th-century classical
Samuel_Coleridge-Taylor,Samuel Coleridge-Taylor,1875,1912,English,The Song of Hiawatha (cantata),,20th-century classical
Mikalojus_Konstantinas_Čiurlionis,Mikalojus Konstantinas Čiurlionis,1875,1911,Lithuanian,,,20th-century classical
Ernesto_De_Curtis,Ernesto De Curtis,1875,1937,Italian,,,20th-century classical
Reinhold_Glière,Reinhold Glière,1875,1956,Russian,Horn Concerto; The Red Poppy,Romanticism,20th-century classical
Alexander_Goldenweiser_(composer),Alexander Goldenweiser,1875,1961,Russian,,,20th-century classical
Dobri_Hristov,Dobri Hristov,1875,1941,Bulgarian,,,20th-century classical
Albert_Ketelbey,Albert Ketelbey,1875,1959,English,,,20th-century classical
Jenő_Huszka,Jenő Huszka,1875,1960,Hungarian,,,20th-century classical
Fritz_Kreisler,Fritz Kreisler,1875,1962,Austrian,Caprice Viennois; Liebesfreud; Liebesleid; Schön Rosmarin,,20th-century classical
Marcel_Labey,Marcel Labey,1875,1968,French,,,20th-century classical
Edgar_Manas,Edgar Manas,1875,1964,Turkish,,,20th-century classical
Erkki_Melartin,Erkki Melartin,1875,1937,Finnish,,,20th-century classical
Adolf_Mišek,Adolf Mišek,1875,1955,Czech,,,20th-century classical
Maurice_Ravel,Maurice Ravel,1875,1937,French,Daphnis et Chloé; Valses nobles et sentimentales; Rapsodie espagnole; Tzigane; Piano Concerto; Bolero; piano music,"impressionism, neoclassicism",20th-century classical
Henriette_Renié,Henriette Renié,1875,1956,French,,,20th-century classical
Cyril_Rootham,Cyril Rootham,1875,1938,English,,,20th-century classical
Lucia_Contini_Anselmi,Lucia Contini Anselmi,1876,1913,Italian,,,20th-century classical
Hakon_Børresen,Hakon Børresen,1876,1954,Danish,The Royal Guest,romanticism,20th-century classical
Havergal_Brian,Havergal Brian,1876,1972,English,Gothic Symphony,,20th-century classical
Edgar_Bara,Edgar Bara,1876,1962,French,,,20th-century classical
John_Alden_Carpenter,John Alden Carpenter,1876,1951,American,,,20th-century classical
Pablo_Casals,Pablo Casals,1876,1973,Spanish,,,20th-century classical
Jens_Laursøn_Emborg,Jens Laursøn Emborg,1876,1957,Danish,,,20th-century classical
Manuel_de_Falla,Manuel de Falla,1876,1946,Spanish,The Three-Cornered Hat; Nights in the Gardens of Spain,"impressionism, neoclassicism",20th-century classical
Josef_Hofmann,Josef Hofmann,1876,1957,Polish-American,,,20th-century classical
Mieczysław_Karłowicz,Mieczysław Karłowicz,1876,1909,Polish,"Lithuanian Rhapsody, Stanislaw i Anna Oświęcimovie, Smutna opowieść; Symphony in E Minor; Violin Concerto",Romanticism,20th-century classical
Filippo_Tommaso_Marinetti,Filippo Tommaso Marinetti,1876,1944,Italian,,,20th-century classical
Fermo_Dante_Marchetti,Fermo Dante Marchetti,1876,1940,Italian,,,20th-century classical
Ludolf_Nielsen,Ludolf Nielsen,1876,1939,Danish,,,20th-century classical
Armande_de_Polignac,Armande de Polignac,1876,1962,French,,,20th-century classical
Teresa_del_Riego,Teresa del Riego,1876,1968,English,,,20th-century classical
Carl_Ruggles,Carl Ruggles,1876,1971,American,Sun-Treader,,20th-century classical
Mikhail_Savoyarov,Mikhail Savoyarov,1876,1941,Russian,"The Drunken Moon, Trumpeters, Because of the Ladies","chansonnier, light music, jazz-influenced",20th-century classical
Ernest_Schelling,Ernest Schelling,1876,1939,American,,,20th-century classical
Grikor_Suni,Grikor Suni,1876,1939,Armenian,,,20th-century classical
Ermanno_Wolf-Ferrari,Ermanno Wolf-Ferrari,1876,1948,Italian,,Comic operas,20th-century classical
Antonio_Russolo,Antonio Russolo,1877,1942,Italian,,,20th-century classical
Russell_Alexander,Russell Alexander,1877,1915,American,,,20th-century classical
Louis_Aubert,Louis Aubert,1877,1968,French,,,20th-century classical
Sergei_Bortkiewicz,Sergei Bortkiewicz,1877,1952,Russian (Ukrainian-born),,Romanticism,20th-century classical
Pavel_Chesnokov,Pavel Chesnokov,1877,1944,Russian,,,20th-century classical
Ernő_Dohnányi,Ernő Dohnányi,1877,1960,Hungarian,Variations on a Nursery Tune,Romanticism,20th-century classical
Albert_Dupuis,Albert Dupuis,1877,1967,Belgian,,,20th-century classical
Alexander_Goedicke,Alexander Goedicke,1877,1957,Russian,,,20th-century classical
Yevgeny_Gunst,Yevgeny Gunst,1877,1950,Russian,,,20th-century classical
Jean_Huré,Jean Huré,1877,1930,French,,,20th-century classical
Hans_Jelmoli,Hans Jelmoli,1877,1936,Swiss,,,20th-century classical
Sigfrid_Karg-Elert,Sigfrid Karg-Elert,1877,1933,German,"66 Choral-Improvisationen for organ, Op. 65",,20th-century classical
Hnat_Khotkevych,Hnat Khotkevych,1877,1938,Ukrainian,,,20th-century classical
Elisabeth_Kuyper,Elisabeth Kuyper,1877,1953,Dutch,"Violin Concerto in B minor, Violin Sonata in A major, Piano Trio in D major",,20th-century classical
Mykola_Leontovych,Mykola Leontovych,1877,1921,Ukrainian,"Shchedryk, Church music, Arrangements of folk songs",A capella choral music,20th-century classical
Roger_Quilter,Roger Quilter,1877,1953,English,Songs,,20th-century classical
Petar_Stojanović_(composer),Petar Stojanović,1877,1957,Serbian,,,20th-century classical
Vladimir_Tsybin,Vladimir Tsybin,1877,1949,Russian,,,20th-century classical
Jeanne_Beijerman-Walraven,Jeanne Beijerman-Walraven,1878,1969,Dutch,,,20th-century classical
Rutland_Boughton,Rutland Boughton,1878,1960,English,,,20th-century classical
Fritz_Brun,Fritz Brun,1878,1959,Swiss,,,20th-century classical
Eugenia_Calosso,Eugenia Calosso,1878,1914,Italian,,,20th-century classical
Conrado_del_Campo,Conrado del Campo,1878,1953,Spanish,,,20th-century classical
André_Caplet,André Caplet,1878,1925,French,,,20th-century classical
Adam_Carse,Adam Carse,1878,1958,English,Two symphonies,,20th-century classical
Mabel_Wheeler_Daniels,Mabel Wheeler Daniels,1878,1971,American,,,20th-century classical
Antun_Dobronić,Antun Dobronić,1878,1955,Croatian,,,20th-century classical
Gabriel_Dupont,Gabriel Dupont,1878,1914,French,,,20th-century classical
Carl_Ehrenberg,Carl Ehrenberg,1878,1962,German,Anneliese (opera),post-romanticism,20th-century classical
Harry_Farjeon,Harry Farjeon,1878,1948,British,,,20th-century classical
Ossip_Gabrilowitsch,Ossip Gabrilowitsch,1878,1936,Russian-born American,,,20th-century classical
Joseph_Holbrooke,Joseph Holbrooke,1878,1958,English,,,20th-century classical
Artur_Kapp,Artur Kapp,1878,1952,Estonian,,,20th-century classical
Albert_Mallinson,Albert Mallinson,1878,1946,British,,,20th-century classical
Selim_Palmgren,Selim Palmgren,1878,1951,Finnish,,,20th-century classical
Caradog_Roberts,Caradog Roberts,1878,1935,Welsh,,,20th-century classical
Avery_Robinson,Avery Robinson,1878,1965,American,,,20th-century classical
Franz_Schreker,Franz Schreker,1878,1934,Austrian,"Der ferne Klang (opera), Kammersymphonie","modernism, eclectic (Romanticism, naturalism, symbolism, impressionism, Expressionism and Neue Sachlichkeit)",20th-century classical
Frank_Bridge,Frank Bridge,1879,1941,English,Enter Spring; The Sea,"impressionism, later expressionism; mentor of Benjamin Britten",20th-century classical
Viggo_Brodersen,Viggo Brodersen,1879,1965,Danish,,,20th-century classical
Joseph_Canteloube,Joseph Canteloube,1879,1957,French,Chants d'Auvergne,,20th-century classical
Paul_Corder,Paul Corder,1879,1942,English,,,20th-century classical
Jean_Cras,Jean Cras,1879,1932,French,,,20th-century classical
Maurice_Delage,Maurice Delage,1879,1961,French,Quatre poèmes hindous; Sept haï-kaïs,"impressionism, oriental-influenced",20th-century classical
Stefano_Donaudy,Stefano Donaudy,1879,1925,Italian,,,20th-century classical
Percy_Fletcher,Percy Fletcher,1879,1932,English,,,20th-century classical
Philippe_Gaubert,Philippe Gaubert,1879,1941,French,,,20th-century classical
Gabriel_Grovlez,Gabriel Grovlez,1879,1944,French,,,20th-century classical
Joseph_Haas,Joseph Haas,1879,1960,German,,Romanticism,20th-century classical
Hamilton_Harty,Hamilton Harty,1879,1941,Irish,An Irish Symphony; With the Wild Geese,,20th-century classical
Josip_Hatze,Josip Hatze,1879,1959,Croatian,,,20th-century classical
Edgar_Henrichsen,Edgar Henrichsen,1879,1955,Danish,,,20th-century classical
John_Ireland_(composer),John Ireland,1879,1962,English,Piano Concerto in E flat,,20th-century classical
Frank_La_Forge,Frank La Forge,1879,1953,American,,,20th-century classical
Nikolaos_Lavdas,Nikolaos Lavdas,1879,1940,Greek,,composer for mandolin orchestra,20th-century classical
Pablo_Luna,Pablo Luna,1879,1942,Spanish,El niño judío,,20th-century classical
Stanyslav_Lyudkevych,Stanyslav Lyudkevych,1879,1979,Ukrainian,,,20th-century classical
Carmela_Mackenna,Carmela Mackenna,1879,1962,Chilean,,,20th-century classical
Jules_Mazellier,Jules Mazellier,1879,1959,French,,,20th-century classical
Joaquín_Nin,Joaquín Nin,1879,1949,Cuban,,,20th-century classical
Alma_Mahler,Alma Mahler,1879,1964,Austrian,,,20th-century classical
Otto_Olsson,Otto Olsson,1879,1964,Swedish,Te Deum,,20th-century classical
Otakar_Ostrčil,Otakar Ostrčil,1879,1935,Czech,,,20th-century classical
Ottorino_Respighi,Ottorino Respighi,1879,1936,Italian,The Fountains of Rome; The Pines of Rome,impressionism,20th-century classical
Rudolf_Sieczyński,Rudolf Sieczyński,1879,1952,Austrian,,,20th-century classical
Hugo_Riesenfeld,Hugo Riesenfeld,1879,1939,Austrian-American,,,20th-century classical
P._S._Rung-Keller,Paul Rung-Keller,1879,1966,Danish,,,20th-century classical
Cyril_Scott,Cyril Scott,1879,1970,English,,,20th-century classical
Johanna_Senfter,Johanna Senfter,1879,1961,German,,,20th-century classical
Marcel_Tournier,Marcel Tournier,1879,1951,French,,,20th-century classical
Richard_Trunk,Richard Trunk,1879,1968,German,,,20th-century classical
Otakar_Zich,Otakar Zich,1879,1934,Czech,,,20th-century classical
Rentarō_Taki,Rentarō Taki,1879,1903,Japanese,,,20th-century classical
Leo_Ascher,Leo Ascher,1880,1942,Austrian,,,20th-century classical
Ernest_Bloch,Ernest Bloch,1880,1959,American (Swiss-born),Schelomo; Suite hébraïque,,20th-century classical
E._T._Cook,Edgar Thomas Cook,1880,1953,English,,,20th-century classical
Clara_Edwards_(composer),Clara Edwards,1880,1974,American,,,20th-century classical
John_Foulds,John Foulds,1880,1939,English,A World Requiem,"Post-romanticism, Indian influence",20th-century classical
Rudolf_Karel,Rudolf Karel,1880,1945,Czech,,,20th-century classical
Jan_Kubelík,Jan Kubelík,1880,1940,Czech,,,20th-century classical
Nikolai_Medtner,Nikolai Medtner,1880,1951,Russian,"38 Skazki for piano, Piano Concerto No. 3",Romanticism,20th-century classical
Ildebrando_Pizzetti,Ildebrando Pizzetti,1880,1968,Italian,Assassinio nella cattedrale,,20th-century classical
Ferdinand_Rebay,Ferdinand Rebay,1880,1953,Austrian,,,20th-century classical
Ivan_Matetić_Ronjgov,Ivan Matetić Ronjgov,1880,1960,Croatian,,,20th-century classical
James_Simon_(composer),James Simon,1880,1944,German,,,20th-century classical
Robert_Stolz,Robert Stolz,1880,1975,Austrian,,,20th-century classical
Guillermo_Uribe_Holguín,Guillermo Uribe Holguín,1880,1971,Colombian,,,20th-century classical
Clarence_Cameron_White,Clarence Cameron White,1880,1960,American,,neoromantic,20th-century classical
Healey_Willan,Healey Willan,1880,1968,English,,,20th-century classical
Francesco_Balilla_Pratella,Francesco Balilla Pratella,1880,1955,Italian,,,20th-century classical
Domenico_Alaleona,Domenico Alaleona,1881,1928,Italian,,,20th-century classical
Béla_Bartók,Béla Bartók,1881,1945,Hungarian,"Concerto for Orchestra; six string quartets; The Miraculous Mandarin; Piano Concerto No. 1; Piano Concerto No. 2; Piano Concerto No. 3; Music for Strings, Percussion and Celesta; Sonata for Two Pianos and Percussion","neoclassicism, folk-influenced",20th-century classical
Theodor_Blumer,Theodor Blumer,1881,1964,German,,,20th-century classical
Gena_Branscombe,Gena Branscombe,1881,1977,Canadian,,,20th-century classical
Nancy_Dalberg,Nancy Dalberg,1881,1949,Danish,String Quartet No. 2,,20th-century classical
Fannie_Charles_Dillon,Fannie Charles Dillon,1881,1947,American,,,20th-century classical
Sem_Dresden,Sem Dresden,1881,1957,Dutch,,,20th-century classical
George_Enescu,George Enescu,1881,1955,Romanian,"Romanian Rhapsody No. 1, Sonata No. 3 for Violin and Piano (""In the Romanian Popular Style""), Octet for Strings, String Quartet No. 2, Œdip (opera), Cantabile et Presto for flute and piano",folk-influenced; father of Romanian classical music,20th-century classical
Henry_Fillmore,Henry Fillmore,1881,1956,American,,marches,20th-century classical
Jan_van_Gilse,Jan van Gilse,1881,1944,Dutch,Thijl,,20th-century classical
Peder_Gram,Peder Gram,1881,1956,Danish,,,20th-century classical
Richard_Hageman,Richard Hageman,1881,1966,Dutch-born American,,,20th-century classical
Sigurd_Islandsmoen,Sigurd Islandsmoen,1881,1964,Norwegian,,,20th-century classical
Axel_Jørgensen,Axel Jørgensen,1881,1947,Danish,Romance for Trombone and Piano,,20th-century classical
Edvin_Kallstenius,Edvin Kallstenius,1881,1967,Swedish,,,20th-century classical
Paul_Le_Flem,Paul Le Flem,1881,1984,French,,,20th-century classical
Arthur_Marshall_(composer),Arthur Marshall,1881,1968,American,,,20th-century classical
Nikolai_Myaskovsky,Nikolai Myaskovsky,1881,1950,Russian,"Symphony No. 6, No. 10 and No. 13; Cello Concerto in C minor",Romanticism,20th-century classical
Kenneth_J._Alford,Kenneth J. Alford,1881,1945,British,Colonel Bogey,"""British March King""",20th-century classical
Reine_Colaço_Osorio-Swaab,Reine Colaço Osorio-Swaab,1881,1971,Dutch,,,20th-century classical
Nikolai_Roslavets,Nikolai Roslavets,1881,1944,Russian,,,20th-century classical
Ignatz_Waghalter,Ignatz Waghalter,1881,1949,Polish-German,Concerto for Violin in A Major; Mandragola; Jugend,Romanticism,20th-century classical
Arthur_Willner,Arthur Willner,1881,1959,Czech,,,20th-century classical
Hermann_Zilcher,Hermann Zilcher,1881,1948,German,,,20th-century classical
Emil_Ábrányi,Emil Ábrányi,1882,1970,Hungarian,,,20th-century classical
Marion_Bauer,Marion Bauer,1882,1955,American,,,20th-century classical
Alberto_Bimboni,Alberto Bimboni,1882,1960,Italian-born American,,,20th-century classical
Walter_Braunfels,Walter Braunfels,1882,1954,German,Organ Concerto,neotonality,20th-century classical
Percy_Grainger,Percy Grainger,1882,1961,Australian,"Mock Morris, Colonial Song, Lincolnshire Posy",folk-influenced,20th-century classical
Mary_Howe,Mary Howe,1882,1964,American,,,20th-century classical
Herbert_Hughes_(musicologist),Herbert Hughes,1882,1937,Irish,,,20th-century classical
Emmerich_Kálmán,Emmerich Kálmán,1882,1953,Hungarian,Operettas,,20th-century classical
Zoltán_Kodály,Zoltán Kodály,1882,1967,Hungarian,Háry János; Székelyfonó; Psalmus Hungaricus,folk-influenced,20th-century classical
Nicholas_Laucella,Nicholas Laucella,1882,1952,Italian-American,"Mokanna – opera; Fantastic Overture; Nocturne for Orchestra; Consolva & The White House – Impressions of Norfolk – Symphonic poems; Divertimento for Flute, Oboe & English Horn; String Quartet",classical,20th-century classical
Maurice_Le_Boucher,Maurice Le Boucher,1882,1964,French,,,20th-century classical
Ernestina_Lecuona_y_Casado,Ernestina Lecuona y Casado,1882,1951,Cuban,Bolero,,20th-century classical
Mary_Lucas,Mary Lucas,1882,1952,English,,,20th-century classical
Gian_Francesco_Malipiero,Gian Francesco Malipiero,1882,1973,Italian,,,20th-century classical
Joseph_Marx,Joseph Marx,1882,1964,Austrian,,vocal music,20th-century classical
Geoffrey_O'Hara,Geoffrey O'Hara,1882,1967,Canadian,,,20th-century classical
Manuel_Ponce,Manuel Ponce,1882,1948,Mexican,"Concierto del sur for guitar and orchestra, guitar and piano pieces, songs (especially ""Estrellita""), and folk-song arrangements",,20th-century classical
John_Powell_(musician),John Powell,1882,1963,American,,,20th-century classical
Mart_Saar,Mart Saar,1882,1963,Estonian,,,20th-century classical
Artur_Schnabel,Artur Schnabel,1882,1951,Austrian,,,20th-century classical
Lazare_Saminsky,Lazare Saminsky,1882,1959,Russian,,,20th-century classical
Igor_Stravinsky,Igor Stravinsky,1882,1971,Russian,The Rite of Spring; The Firebird; Petrushka; Pulcinella; The Soldier's Tale; Symphony of Psalms; Symphonies of Wind Instruments; Canticum Sacrum; Threni,"neoclassicism, neotonality, later serialism, polystylism",20th-century classical
Karol_Szymanowski,Karol Szymanowski,1882,1937,Polish,Symphony No. 3 and No. 4; Violin Concerto No. 1 and No. 2,"impressionism, later folk-influenced",20th-century classical
Joaquín_Turina,Joaquín Turina,1882,1949,Spanish,,,20th-century classical
Ladislav_Vycpálek,Ladislav Vycpálek,1882,1969,Czech,,,20th-century classical
Haydn_Wood,Haydn Wood,1882,1959,English,,,20th-century classical
Maurice_Abrahams,Maurice Abrahams,1883,1931,American,,,20th-century classical
Alexander_Vasilyevich_Alexandrov,Alexander Vasilyevich Alexandrov,1883,1946,Russian,,,20th-century classical
Emilius_Bangert,Emilius Bangert,1883,1962,Danish,,,20th-century classical
Augustin_Barié,Augustin Barié,1883,1915,French,,,20th-century classical
Arnold_Bax,Arnold Bax,1883,1953,English,"Symphony No. 2, No. 3, and No. 6; Tintagel","Romanticism, impressionism",20th-century classical
Alfredo_Casella,Alfredo Casella,1883,1947,Italian,,,20th-century classical
Alexandre_Eugène_Cellier,Alexandre Eugène Cellier,1883,1968,French,,,20th-century classical
Édouard_Commette,Édouard Commette,1883,1967,French,,,20th-century classical
George_Dyson_(composer),George Dyson,1883,1964,English,Symphony in G major,,20th-century classical
Mikhail_Gnessin,Mikhail Gnessin,1883,1957,Russian,,,20th-century classical
Josef_Matthias_Hauer,Josef Matthias Hauer,1883,1959,Austrian,,,20th-century classical
Manuel_Infante,Manuel Infante,1883,1958,Spanish,,,20th-century classical
Manolis_Kalomiris,Manolis Kalomiris,1883,1962,Greek,,,20th-century classical
Paul_von_Klenau,Paul von Klenau,1883,1946,Danish,,,20th-century classical
Petar_Konjović,Petar Konjović,1883,1970,Serbian,,,20th-century classical
Alexander_Krein,Alexander Krein,1883,1951,Russian,,,20th-century classical
Luigi_Russolo,Luigi Russolo,1883,1947,Italian,,"futurism, noise music",20th-century classical
Jan_Kunc,Jan Kunc,1883,1976,Czech,,,20th-century classical
Toivo_Kuula,Toivo Kuula,1883,1918,Finnish,,,20th-century classical
Fran_Lhotka,Fran Lhotka,1883,1962,Czech-born Croatian,,,20th-century classical
Robert_Graham_Manson,Robert Graham Manson,1883,1950,British,,,20th-century classical
Romanos_Melikian,Romanos Melikian,1883,1935,Armenian,,,20th-century classical
Jules_Van_Nuffel,Jules Van Nuffel,1883,1953,Belgian,In convertendo Dominus; Te Deum,,20th-century classical
Ludomir_Różycki,Ludomir Różycki,1883,1953,Polish,,,20th-century classical
Theophrastos_Sakellaridis,Theophrastos Sakellaridis,1883,1950,Greek,,,20th-century classical
Maximilian_Steinberg,Maximilian Steinberg,1883,1946,Russian,,,20th-century classical
Fritz_Stiedry,Fritz Stiedry,1883,1968,Austrian,,,20th-century classical
Peeter_Süda,Peeter Süda,1883,1920,Estonian,,,20th-century classical
Enrico_Toselli,Enrico Toselli,1883,1926,Italian,Serenata 'Rimpianto' Op. 6 No. 1,,20th-century classical
Edgard_Varèse,Edgard Varèse,1883,1965,French,Amériques; Ionisation; Arcana; Density 21.5,"Musique concrète, Electronic music",20th-century classical
Anton_Webern,Anton Webern,1883,1945,Austrian,Symphony; Six Pieces for Orchestra,"twelve-tone technique, serialism, polystylism; pupil of Arnold Schoenberg",20th-century classical
Bedřich_Antonín_Wiedermann,Bedřich Antonín Wiedermann,1883,1951,Czech,,,20th-century classical
Riccardo_Zandonai,Riccardo Zandonai,1883,1944,Italian,,,20th-century classical
Juhan_Aavik,Juhan Aavik,1884,1982,Estonian,,,20th-century classical
Dina_Appeldoorn,Dina Appeldoorn,1884,1938,Dutch,,,20th-century classical
Boris_Asafyev,Boris Asafyev,1884,1949,Russian,,,20th-century classical
Ralph_Benatzky,Ralph Benatzky,1884,1957,Czech,,,20th-century classical
York_Bowen,York Bowen,1884,1961,English,,,20th-century classical
May_Brahe,May Brahe,1884,1956,Australian,Bless This House and other songs,,20th-century classical
Max_Brod,Max Brod,1884,1968,Czech,,,20th-century classical
Charles_Griffes,Charles Griffes,1884,1920,American,,,20th-century classical
Louis_Gruenberg,Louis Gruenberg,1884,1964,Russian,The Emperor Jones (opera),,20th-century classical
Juozas_Gruodis,Juozas Gruodis,1884,1948,Lithuanian,,,20th-century classical
Marguerite_Béclard_d'Harcourt,Marguerite Béclard d'Harcourt,1884,1964,French,,,20th-century classical
Jonny_Heykens,Jonny Heykens,1884,1945,Dutch,,,20th-century classical
Jurgis_Karnavičius_(composer),Jurgis Karnavičius,1884,1941,Lithuanian,,,20th-century classical
Raoul_Koczalski,Raoul Koczalski,1884,1948,Polish,"Piano Concerto, Op. 83",,20th-century classical
Boris_Levenson,Boris Levenson,1884,1947,Russian-born American,,,20th-century classical
Ture_Rangström,Ture Rangström,1884,1947,Swedish,four symphonies,,20th-century classical
Jaime_Teixidor,Jaime Teixidor,1884,1957,Spanish,,,20th-century classical
Wintter_Watts,Wintter Watts,1884,1962,American,,,20th-century classical
Xiao_Youmei,Xiao Youmei,1884,1940,Chinese,,,20th-century classical
Alexander_Albrecht,Alexander Albrecht,1885,1958,Slovak,,,20th-century classical
Pedro_Humberto_Allende,Pedro Humberto Allende,1885,1959,Chilean,,,20th-century classical
Agustín_Barrios,Agustín Barrios,1885,1944,Paraguayan,,,20th-century classical
Alban_Berg,Alban Berg,1885,1935,Austrian,Violin Concerto; Wozzeck; Lyric Suite,"serialism, Romanticism, expressionism, polystylism; pupil of Arnold Schoenberg",20th-century classical
George_Butterworth,George Butterworth,1885,1916,English,,,20th-century classical
Henri_Collet,Henri Collet,1885,1951,French,,,20th-century classical
Dimitrie_Cuclin,Dimitrie Cuclin,1885,1978,Romanian,,several exceptionally long symphonies,20th-century classical
Benjamin_Dale,Benjamin Dale,1885,1943,English,,,20th-century classical
Ernest_Farrar,Ernest Farrar,1885,1918,English,,,20th-century classical
Julius_Harrison,Julius Harrison,1885,1963,English,,,20th-century classical
Stevan_Hristić,Stevan Hristić,1885,1958,Serbian,,,20th-century classical
Werner_Josten,Werner Josten,1885,1963,German,,,20th-century classical
Heino_Kaski,Heino Kaski,1885,1957,Finnish,,,20th-century classical
Eduard_Künneke,Eduard Künneke,1885,1953,German,Der Vetter aus Dingsda,,20th-century classical
Artur_Lemba,Artur Lemba,1885,1963,Estonian,,,20th-century classical
Adriano_Lualdi,Adriano Lualdi,1885,1971,Italian,,,20th-century classical
Hildor_Lundvik,Hildor Lundvik,1885,1951,Swedish,,,20th-century classical
Dora_Pejačević,Dora Pejačević,1885,1923,Croatian,"Symphony in F-sharp Minor, Phantasie Concertante",,20th-century classical
Wallingford_Riegger,Wallingford Riegger,1885,1961,American,Symphony No. 3,,20th-century classical
