article,name,birth,death,nationality,notable_20th_century_works,comment,era
Jovdat_Hajiyev,Jovdat Hajiyev,1917,2002,Azerbaijani,"""Symphony No. 1"", opera ""Vatan"" (Motherland)","He is remembered for his monumental orchestral works, having been the first Azerbaijani to compose a symphony (1936). Hajiyev has received Azerbaijan's highest recognition, the ""Azerbaijan Order of Glory""",20th-century classical
Jahangir_Jahangirov,Jahangir Jahangirov,1921,1992,Azerbaijani,"""Across the river Aras"", ""A Song about Friendship"", Fuzûlî, Nasimi suites, Sabir , Huseyn Javid-59, Great Victory.",He was named People's Artist of the Azerbaijan SSR in 1964,20th-century classical
Haji_Khanmammadov,Haji Khanmammadov,1918,2005,Azerbaijani,"""Beautiful Nymph"", ""One Minute""","Honorary Art Worker of Azerbaijan (1967), People's Artist of Azerbaijan (1988), Professor of the Azerbaijan State Conservatory (1993), Order of Honor (1998)",20th-century classical
Arif_Malikov,Arif Malikov,1933,2019,Azerbaijani,"""Legend of Love"" ballet, ""Two"" ballet, ""Poem of Two Hearts"" ballet",Malikov was conferred the highest award that an artist could get in the former Soviet Union — The People's Artist of the USSR. He was also honored with a concert hall named after him at Turkey's Bilkent University.,20th-century classical
Niyazi,Niyazi,1912,1984,Azerbaijani,"Renowned symphonic mugam ""Rast"". ""Khosrow and Shirin"" opera. ""Chitra"" ballet.","Niyazi was honored as the People's Artist of the USSR (1959) and received the USSR State Prize (1951, 1952) and Hero of Socialist Labour (1982).",20th-century classical
Said_Rustamov,Said Rustamov,1907,1983,Azerbaijani,"His monographs include Azerbaijani Folk Dances, Azerbaijani Folk Songs and Azerbaijani Ashig Songs.","In 1951, he received the Stalin Prize, the highest-ranking award in the Soviet Union. In 1957, he became People's Artist of Azerbaijan.",20th-century classical
Ali_Salimi,Ali Salimi,1922,1997,Azerbaijani,"Ayriliq, Gül Ardabil, Size Salam Getirmishem",,20th-century classical
Emin_Sabitoglu,Emin Sabitoglu,1937,2000,Azerbaijani,,,20th-century classical
Huseyngulu_Sarabski,Huseyngulu Sarabski,1879,1945,Azerbaijani,"Jahalat (Ignorance), Akhtaran tapar (He who searches will find) and Na dograrsan gashina, o chixar gashigina (What goes around, comes around)",,20th-century classical
Eldar_Mansurov,Eldar Mansurov,1952,,Azerbaijani,"""Bayatılar"", ""Bahramnameh""","""Bayatılar"" is the basis of the refrain of the 2009 Euro-dance ""Stereo Love""",20th-century classical
