name,wikidata_id,description,wikipedia_en
Hryhoriĭ Mytrofanovych Davydovsʹkyĭ,Q12099330,(1866-1952),
Hubert Léonard,Q1192120,Belgian musician (1819-1890),https://en.wikipedia.org/wiki/Hubert_Léonard
Hugo Riemann,Q213539,German musicologist (1849-1919),https://en.wikipedia.org/wiki/Hugo_Riemann
Humfrey Anger,Q5940753,Canadian music educator (1862-1913),https://en.wikipedia.org/wiki/Humfrey_Anger
Hyacinthe Klosé,Q1354755,French musician (1808–1880),https://en.wikipedia.org/wiki/Hyacinthe_Klosé
Hèctor Parra,Q54932704,,https://en.wikipedia.org/wiki/Hèctor_Parra
Héloïse Werner,Q106939266,,https://en.wikipedia.org/wiki/Héloïse_Werner
Ika Peyron,Q1195141,Swedish musician (1845-1922),https://en.wikipedia.org/wiki/Ika_Peyron
Ilya Semyonovich Aisberg,Q16691491,Russian musician (1868-1942),
Ina Lohr,Q4266956,Dutch musicologist (1903-1983),https://en.wikipedia.org/wiki/Ina_Lohr
Ingemar Liljefors,Q1263724,Swedish musician (1906–1981),https://en.wikipedia.org/wiki/Ingemar_Liljefors
Ingvar Wieslander,Q6240680,,
Innozenz Danzi,Q26243656,"cellist, approximately 1730-1798",
Iris Azquinezer,Q137847593,,
Isabelle Delorme,Q1673631,Canadian musician (1900-1991),https://en.wikipedia.org/wiki/Isabelle_Delorme
Ismayil Hajiyev,Q6084980,Azerbaijani musician,https://en.wikipedia.org/wiki/Ismayil_Hajiyev
István Thomán,Q375024,"(1862–1940 classical pianist, piano teacher",https://en.wikipedia.org/wiki/István_Thomán
Ivan Iusco,Q3804715,,https://en.wikipedia.org/wiki/Ivan_Iusco
Jacob Beimel,Q58811025,hazzan (1875–1944),
Jacob Mühlrad,Q19977049,,https://en.wikipedia.org/wiki/Jacob_Mühlrad
Jacob Praetorius the Elder,Q71963,German musician,https://en.wikipedia.org/wiki/Jacob_Praetorius_the_Elder
Jacques Gregoir,Q6120636,Belgian musician,https://en.wikipedia.org/wiki/Jacques_Gregoir
Jacques Moderne,Q547935,French music publisher,https://en.wikipedia.org/wiki/Jacques_Moderne
Jacques-Michel Hurel de Lamare,Q3158025,French cellist,https://en.wikipedia.org/wiki/Jacques-Michel_Hurel_de_Lamare
Jacques-Nicolas Lemmens,Q712718,Belgian musician (1823–1881),https://en.wikipedia.org/wiki/Jacques-Nicolas_Lemmens
Jakob Adlung,Q70417,organist,https://en.wikipedia.org/wiki/Jakob_Adlung
Jakub Jan Ryba,Q95401287,,
James Kwast,Q67425,Dutch-German pianist (1852–1927),https://en.wikipedia.org/wiki/James_Kwast
James McCartney,Q498390,British musician (born 1977),https://en.wikipedia.org/wiki/James_McCartney
James Whitbourn,Q1099564,,https://en.wikipedia.org/wiki/James_Whitbourn
James William Davison,Q17308940,British journalist (1813-1885),https://en.wikipedia.org/wiki/James_William_Davison
Jan Hřímalý,Q1363375,Czech musician (1844–1915),https://en.wikipedia.org/wiki/Jan_Hřímalý
Jan Nepomucen Bobrowicz,Q554209,Polish musician (1805–1881),https://en.wikipedia.org/wiki/Jan_Nepomucen_Bobrowicz
Jane Antonia Cornish,Q18704997,,https://en.wikipedia.org/wiki/Jane_Antonia_Cornish
Jansug Kakhidze,Q2663466,Soviet and Georgian conductor (1936–2002),https://en.wikipedia.org/wiki/Jansug_Kakhidze
Jaroslav Ušák,Q95151577,,
Jasmine Arielle Barnes,Q135219165,,https://en.wikipedia.org/wiki/Jasmine_Arielle_Barnes
Jean Louël,Q2101175,"Belgian conductor, pianist and musicologist (1914–2005)",
Jean Rousseau,Q726157,French musician,https://en.wikipedia.org/wiki/Jean_Rousseau_(violist)
Jean Schucht,Q55899757,,
Jean-Delphin Alard,Q633796,French musician (1815–1888),https://en.wikipedia.org/wiki/Jean-Delphin_Alard
Jean-Louis Florentz,Q1684969,,https://en.wikipedia.org/wiki/Jean-Louis_Florentz
Jean-Pierre Duport,Q288566,French cellist,https://en.wikipedia.org/wiki/Jean-Pierre_Duport
Jeanne Bovet,Q78318608,Swiss classical pianist,
Jeanne Joulain,Q3176081,French organist (1920-2010),https://en.wikipedia.org/wiki/Jeanne_Joulain
Jennifer Thomas,Q23409810,,https://en.wikipedia.org/wiki/Jennifer_Thomas_(pianist)
Jens Bugge Olsen,Q139646703,in prison during WWII (1895–1985),
Jeremy Panufnik,Q118183704,British musician and DJ,
Jessie Montgomery,Q62113600,,https://en.wikipedia.org/wiki/Jessie_Montgomery
Joan Baptista  Pujol,Q2025221,"Catalan pianist, componist and music pedagogue (1835-1898)",https://en.wikipedia.org/wiki/Joan_Baptista_Pujol
Johan Alfred Ahlström,Q5544287,,
Johann Ambrosius Bach,Q309470,"German musician, father to Johann Sebastian Bach (1645-1695)",https://en.wikipedia.org/wiki/Johann_Ambrosius_Bach
Johann Buwa,Q16628137,,
Johann Christian Gebauer,Q1981832,Danish musician (1808-1884),https://en.wikipedia.org/wiki/Johan_Christian_Gebauer
Johann Gottfried Bernhard Bach,Q470198,"German organist, child of J. S. Bach",https://en.wikipedia.org/wiki/Johann_Gottfried_Bernhard_Bach
Johann Gottfried Schuncke,Q1535500,,
Johann Konrad Schlick,Q41547791,German cellist,
Johann Kusser st.,Q26196723,,
Johann Michael Bach,Q119269384,,
Johann van Beethoven,Q2153541,father of Ludwig van Beethoven,https://en.wikipedia.org/wiki/Johann_van_Beethoven
Johann Walter,Q94936027,,
Johannes Bonadies,Q20002684,,
John Eliot Gardiner,Q160325,English conductor,https://en.wikipedia.org/wiki/John_Eliot_Gardiner
John Hill Hewitt,Q1700464,"American songwriter, playwright and poet (1801–1890)",https://en.wikipedia.org/wiki/John_Hill_Hewitt
John Maxwell Geddes,Q52476439,,https://en.wikipedia.org/wiki/John_Maxwell_Geddes
John Valentine,Q6261721,British musician,https://en.wikipedia.org/wiki/John_Valentine_(composer)
John Woods Duke,Q6264840,American musician (1899–1984),https://en.wikipedia.org/wiki/John_Woods_Duke
Jonathan Leshnoff,Q3470341,,https://en.wikipedia.org/wiki/Jonathan_Leshnoff
Josef Dachs,Q679496,Austrian musician (1825–1896),https://en.wikipedia.org/wiki/Josef_Dachs
Josef Doppler,Q94921482,Austrian military bandmaster (1791-1869),
Josef Gänsbacher,Q1704713,"Austrian musician, jurist and music educator (1829–1911)",https://en.wikipedia.org/wiki/Josef_Gänsbacher
Josef Hellmesberger,Q524466,Austrian musician (1855–1907),https://en.wikipedia.org/wiki/Joseph_Hellmesberger_Jr.
Josef Neruda,Q3072640,Czech music educator and organist (1807-1875),https://en.wikipedia.org/wiki/Josef_Neruda
Josef Proksch,Q959789,Czech music educator and pianist,https://en.wikipedia.org/wiki/Josef_Proksch
Josef Suk,Q90280583,b. 1901 d. 1951,
Josep Llobet i Terricabres,Q73798211,,
Josep Vicent Bàguena i Soler,Q16173468,,
Joseph Barnby,Q5566022,British musician (1838-1896),https://en.wikipedia.org/wiki/Joseph_Barnby
Joseph Franz Weigl,Q713253,Austrian cellist,https://en.wikipedia.org/wiki/Joseph_Franz_Weigl
"Joseph I, Holy Roman Emperor",Q152480,Emperor from 1705 till his death in 1711,"https://en.wikipedia.org/wiki/Joseph_I,_Holy_Roman_Emperor"
Joseph Reveyron,Q3185554,French classical organist (1917–2005),
Joseph von Blumenthal,Q3182017,Austrian musician,https://en.wikipedia.org/wiki/Joseph_von_Blumenthal
Josepha Duschek,Q12026918,Czech opera singer,https://en.wikipedia.org/wiki/Josepha_Duschek
Josephine Camille O'Meara,Q45825712,French pianist (1828-1907),
Jost Michaels,Q124239,German clarinetist and music educator (1922–2004),
José Miró i Anoria,Q20004429,Spanish pianist (1815-1878),
João de Freitas Branco,Q10312486,Portuguese writer (1922-1989),
Juan Bautista Plaza,Q346562,Venezuelan musician (1898–1965),https://en.wikipedia.org/wiki/Juan_Bautista_Plaza
Judd Greenstein,Q16201890,,https://en.wikipedia.org/wiki/Judd_Greenstein
Julia Adolphe,Q39506763,,https://en.wikipedia.org/wiki/Julia_Adolphe
Julian Lloyd Webber,Q319434,British solo cellist and conductor,https://en.wikipedia.org/wiki/Julian_Lloyd_Webber
Julio Estrada,Q346908,Mexican musician,https://en.wikipedia.org/wiki/Julio_Estrada_(composer)
Julius Buths,Q325295,German musician,https://en.wikipedia.org/wiki/Julius_Buths
Julius Epstein,Q79036,Croatian-Austrian pianist,https://en.wikipedia.org/wiki/Julius_Epstein_(pianist)
Julius Ernst Christian Johannsen,Q4202624,Danish music pedagogue,
Julius Klengel,Q77222,German musician (1859-1933),https://en.wikipedia.org/wiki/Julius_Klengel
Julius Rietz,Q63745,German musician (1812–1877),https://en.wikipedia.org/wiki/Julius_Rietz
Just Riddervold Lindeman,Q56760532,,
Karel Knittl,Q12028321,Czech conductor and music educator (1853-1907),
Karel Ondříček,Q4334843,Czech violinist (1863–1943),https://en.wikipedia.org/wiki/Karel_Ondříček
Karel Stecker,Q3646534,,
Karl Heinrich Barth,Q64926,German musician (1847–1922),https://en.wikipedia.org/wiki/Karl_Heinrich_Barth
Karl Mathias Rott,Q1732314,Austrian actor (1807–1876),
Karl Pohlig,Q560632,German conductor (1864–1928),https://en.wikipedia.org/wiki/Karl_Pohlig
Karl Straube,Q61693,German organist and choral conductor (1873–1950),https://en.wikipedia.org/wiki/Karl_Straube
Karoly Noszeda,Q104601003,,
Kay Westermann,Q95347778,,
Kazimierz Wiłkomirski,Q549550,Polish musician (1900-1995),https://en.wikipedia.org/wiki/Kazimierz_Wiłkomirski
Kellow John Pye,Q64995944,,
Kenneth Hesketh,Q6390207,,https://en.wikipedia.org/wiki/Kenneth_Hesketh
Ketil Hvoslef,Q1778196,Norwegian musician,
Kim André Arnesen,Q18171888,,https://en.wikipedia.org/wiki/Kim_André_Arnesen
Kit Lambert,Q2915395,"British record producer, record label owner, and the manager of The Who",https://en.wikipedia.org/wiki/Kit_Lambert
Klaus Pringsheim,Q96985,German musician (1883-1972),https://en.wikipedia.org/wiki/Klaus_Pringsheim_Sr.
Knut Bäck,Q5600153,Swedish pianist (1868-1953),
Kálmán Oláh,Q18223271,Hungarian pianist,
Károly Huber,Q1056144,(1828–1885),
Lazare Lévy,Q941939,French classical pianist (1882–1964),https://en.wikipedia.org/wiki/Lazare_Lévy
Leo Funtek,Q2988892,"Slovenian-born violinist, conductor, arranger and professor (1885-1965)",https://en.wikipedia.org/wiki/Leo_Funtek
Leon Firšt,Q55432435,Slovene musician,
Leonid Nikolayev,Q2023778,Russian musician (1878–1942),https://en.wikipedia.org/wiki/Leonid_Nikolayev_(pianist)
Leopold Carl Wolf,Q94821008,,
"Leopold I, Holy Roman Emperor",Q150494,"Holy Roman Emperor (1658-1705), King of Hungary and Croatia and King of Bohemia (1640–1705)","https://en.wikipedia.org/wiki/Leopold_I,_Holy_Roman_Emperor"
Lev Oborin,Q644483,Soviet musician (1907-1974),https://en.wikipedia.org/wiki/Lev_Oborin
Leó Popper,Q1239198,painter (1886-1911),
Lili Kraus,Q465256,Hungarian born English classical pianist (1903–1986),https://en.wikipedia.org/wiki/Lili_Kraus
Liliane Nystroem,Q4970635,Swedish artist,
Lindsay Cooper,Q292506,English musician (1951–2013),https://en.wikipedia.org/wiki/Lindsay_Cooper
Lindsay Sloper,Q22815464,English pianist and music teacher,https://en.wikipedia.org/wiki/Lindsay_Sloper
Lionel Tertis,Q718637,British musician (1876–1975),https://en.wikipedia.org/wiki/Lionel_Tertis
Louis Feuillard,Q4494200,French cellist (1872-1941),https://en.wikipedia.org/wiki/Louis_Feuillard
Louis Fourestier,Q433480,French conductor (1892-1976),https://en.wikipedia.org/wiki/Louis_Fourestier
Louis Homilius,Q1605392,Russian organist (1845-1908),
Louis Pabst,Q4341199,pianist (1846–1921),
Louis Thiry,Q1872001,French musician (1935-2019),https://en.wikipedia.org/wiki/Louis_Thiry
Louis-Pierre Norblin,Q2477161,French cellist and music teacher,https://en.wikipedia.org/wiki/Louis-Pierre_Norblin
Lourenço Ribeiro,Q28678230,,
Lucien Garban,Q16635752,French musician and musicologist,https://en.wikipedia.org/wiki/Lucien_Garban
Lucy Armstrong,Q58333599,,https://en.wikipedia.org/wiki/Lucy_Armstrong
Ludovit Rajter starsi,Q25360437,,
Luigi Mancinelli,Q2754918,Italian orchestral conductor (1848–1921),https://en.wikipedia.org/wiki/Luigi_Mancinelli
Luigi Piccinni,Q6048751,,
Luigi Torchi,Q3840209,Italian musicologist (1858–1920),https://en.wikipedia.org/wiki/Luigi_Torchi_(musician)
Luis Bernardo Jalón,Q107212436,,
Luke Winslow-King,Q21285662,"American singer-songwriter, guitarist and bandleader",https://en.wikipedia.org/wiki/Luke_Winslow-King
László Erkel,Q289763,Hungarian pianist and conductor (1845-1896),
László Gyimesi,Q15452169,(1948-) classical pianist,https://en.wikipedia.org/wiki/László_Gyimesi_(pianist)
Majella Stockhausen,Q94736781,German musician,
Man-Ching Donald Yu,Q6746097,,https://en.wikipedia.org/wiki/Man-Ching_Donald_Yu
Manon Gropius,Q85259,Austrian artistic muse (1916-1935),https://en.wikipedia.org/wiki/Manon_Gropius
Mansour Awad,Q131593251,Egyptian cmposser,
Manuel Ansola Unzueta,Q135580026,Spanish organist (1883-1971),
Marcel Khalife,Q1346218,Lebanese musician,https://en.wikipedia.org/wiki/Marcel_Khalife
Marcelo Settimio,Q114942296,,
Marcus Boldemann,Q15845355,Swedish journalist,
Margaret Hamerik,Q6759483,Danish musician,https://en.wikipedia.org/wiki/Margaret_Hamerik
Marguerite-Antoinette Couperin,Q2870861,French harpsichordist,https://en.wikipedia.org/wiki/Marguerite-Antoinette_Couperin
Maria Carratalà i Van den Wouver,Q11935425,Spanish musician,https://en.wikipedia.org/wiki/Maria_Carratalà_i_Van_den_Wouver
Marie-Claire Alain,Q237139,French organist and organ teacher (1926–2013),https://en.wikipedia.org/wiki/Marie-Claire_Alain
Marin Goleminov,Q1356380,Bulgarian musician (1908–2000),https://en.wikipedia.org/wiki/Marin_Goleminov
Marina Scriabine,Q957777,French musicologist (1911–1998),https://en.wikipedia.org/wiki/Marina_Scriabina
Mario Labroca,Q11935556,,
Marios Joannou Elia,Q694777,,https://en.wikipedia.org/wiki/Marios_Joannou_Elia
Mark Hambourg,Q1900092,British musician (1879-1960),https://en.wikipedia.org/wiki/Mark_Hambourg
Markos Alexiou,Q109356509,Greek pianist,
Marmaduke Barton,Q6772034,English pianist,https://en.wikipedia.org/wiki/Marmaduke_Barton
Martha von Flotow,Q101761654,,
Martin Friedrich Cannabich,Q3295425,,
Martin Krause,Q214019,German musician (1853-1918),https://en.wikipedia.org/wiki/Martin_Krause
Martin Pierre Marsick,Q1356601,Belgian musician (1847-1924),https://en.wikipedia.org/wiki/Martin_Pierre_Marsick
María Grever,Q1645018,"Mexican-American musician, songwriter, conductor",https://en.wikipedia.org/wiki/María_Grever
Mathias Haydn,Q5476105,Austrian wheelwright,https://en.wikipedia.org/wiki/Mathias_Haydn
Mathilde Marchesi,Q437075,German mezzo-soprano and singing teacher (1821-1913),https://en.wikipedia.org/wiki/Mathilde_Marchesi
Mathilde Verne,Q1908732,English pianist (1865-1936),https://en.wikipedia.org/wiki/Mathilde_Verne
Mauro Godoy-Villalobos,Q5762359,,
Max Rudolf,Q63560,German conductor (1902-1995),https://en.wikipedia.org/wiki/Max_Rudolf_(conductor)
Maxmilian Koblížek,Q95071503,,
Mercer Ellington,Q492677,American musician (1919–1996),https://en.wikipedia.org/wiki/Mercer_Ellington
Michael Jeffrey Shapiro,Q4520209,,https://en.wikipedia.org/wiki/Michael_Jeffrey_Shapiro
Michael Matthews,Q1928552,,https://en.wikipedia.org/wiki/Michael_Matthews_(composer)
Michael Pärt,Q6833651,Estonian record producer and music editor (born 1977),https://en.wikipedia.org/wiki/Michael_Pärt
Michel Ciry,Q3309277,French painter (1919–2018),
Michel Perrault,Q6836519,Canadian musician,https://en.wikipedia.org/wiki/Michel_Perrault
Michele Giuliani,Q4160549,,
Mieczysław Ziółkowski,Q124207659,,
Miguel Galiana Folqués,Q47355565,,
Miklós Malek,Q258985,music producer,https://en.wikipedia.org/wiki/Miklós_Malek_(musician)
Miklós Rékai,Q113351047,Hungarian harpist (1906-1959),
Missy Mazzoli,Q6879955,,https://en.wikipedia.org/wiki/Missy_Mazzoli
Miu Sakamoto,Q3548289,Japanese musician,https://en.wikipedia.org/wiki/Miu_Sakamoto
Moon Zappa,Q291024,"American singer, and actress.",https://en.wikipedia.org/wiki/Moon_Zappa
Moritz Schön,Q59327572,(1808–1885),
Moriz Rosenthal,Q213772,Polish pianist,https://en.wikipedia.org/wiki/Moriz_Rosenthal
Morris Goldenberg,Q67936030,American musician (1911-1969),https://en.wikipedia.org/wiki/Morris_Goldenberg
Mstislav Rostropovich,Q152043,Soviet and Russian cellist and conductor (1927-2007),https://en.wikipedia.org/wiki/Mstislav_Rostropovich
Nancy Storace,Q2609096,English operatic soprano (1765-1817),https://en.wikipedia.org/wiki/Nancy_Storace
Narciso Yepes,Q436169,Spanish classical guitarist (1927–1997),https://en.wikipedia.org/wiki/Narciso_Yepes
Natalie Curtis,Q243072,American ethnomusicologist (1875–1921),https://en.wikipedia.org/wiki/Natalie_Curtis
Nathan Milstein,Q434055,American musician (1902–1992),https://en.wikipedia.org/wiki/Nathan_Milstein
Nicolas Couperin,Q2171427,French organist,
Nicolò Massa,Q100139495,Italian author and piano player (1854-1894),
Nikki Iles,Q1990366,British musician,https://en.wikipedia.org/wiki/Nikki_Iles
Nikolai Zverev,Q553959,Russian classical pianist (1833–1893),https://en.wikipedia.org/wiki/Nikolai_Zverev
"Nikolaus, Count Esterházy",Q570237,Hungarian noble (1583-1645),"https://en.wikipedia.org/wiki/Nikolaus,_Count_Esterházy"
Nikos Drelas,Q110184717,Greek musician,
Nils Eriksson,Q5717030,musician (1902-1978),
Nimrod Borenstein,Q16199874,,https://en.wikipedia.org/wiki/Nimrod_Borenstein
Norah Jones,Q549981,American musician (born 1979),https://en.wikipedia.org/wiki/Norah_Jones
Odile Pierre,Q674655,French organist (1932–2020),https://en.wikipedia.org/wiki/Odile_Pierre
Oleksandr Rodin,Q112281417,,https://en.wikipedia.org/wiki/Oleksandr_Rodin
Olivier Bernard,Q3350822,French pianist (1925–2019),
Omer Létourneau,Q2023310,Canadian musician (1891-1983),https://en.wikipedia.org/wiki/Omer_Létourneau
Oskar Sala,Q84647,German musician (1910–2002),https://en.wikipedia.org/wiki/Oskar_Sala
Otakar Ševčík,Q726973,Czech violinist (1852–1934),https://en.wikipedia.org/wiki/Otakar_Ševčík
Ottavio Catalani,Q20006143,Italian musician,
Otto Daniel Winge,Q6244182,Swedish pianist (1810-1886),
Otto Kitzler,Q2039537,German conductor (1834–1915),https://en.wikipedia.org/wiki/Otto_Kitzler
Ozias Thurston Linley,Q7116574,English academic and organist,https://en.wikipedia.org/wiki/Ozias_Thurston_Linley
Pantaléon Battu,Q27995024,,
Paolo Serrao,Q1670362,Italian musician (1830-1907),https://en.wikipedia.org/wiki/Paolo_Serrao
Patrick Cassidy,Q729096,,https://en.wikipedia.org/wiki/Patrick_Cassidy_(composer)
Patrick Hawes,Q7146675,,https://en.wikipedia.org/wiki/Patrick_Hawes
Paul Berthier,Q3370629,French musician (1884–1953),https://en.wikipedia.org/wiki/Paul_Berthier
Paul de Conne,Q4230337,"Russian concert pianist and piano teacher, pupil of Anton Rubinstein",
Paul Hellmuth,Q7151231,Danish musician (1879-1919),https://en.wikipedia.org/wiki/Paul_Hellmuth
Paul Steinitz,Q954386,British musician (1909–1988),https://en.wikipedia.org/wiki/Paul_Steinitz
Pavel Klusák,Q12044117,"Czech music reviewer, music publicist and scriptwriter",
Pavel Zinovyev,Q4192221,,
Pedro Albéniz,Q351442,Spanish musician (1795-1855),https://en.wikipedia.org/wiki/Pedro_Albéniz
Pedro Fernández de Castilleja,Q24942922,,
Peeter Volkonski,Q984281,Estonian singer (born 1954),https://en.wikipedia.org/wiki/Peeter_Volkonski
Per Ulrik Stenhammar,Q6189113,Swedish architect (1829–1875),
Per Winge,Q4111482,Norwegian conductor (1858-1935),https://en.wikipedia.org/wiki/Per_Winge
Percy Hilder Miles,Q7167392,British musician 1878-1922,https://en.wikipedia.org/wiki/Percy_Hilder_Miles
Petr Petrovich Evstafʹev,Q34739941,,
Philipp Schmutzer,Q2087022,,
Phédora Pierret,Q121597196,,
Pierre Baillot,Q512197,French musician,https://en.wikipedia.org/wiki/Pierre_Baillot
Pierre Mercure,Q127018,Canadian musician (1927–1966),https://en.wikipedia.org/wiki/Pierre_Mercure
Pierre Sancan,Q426235,French musician (1916–2008),https://en.wikipedia.org/wiki/Pierre_Sancan
Pierre Segond,Q2451644,Swiss musicologist (1913-2000),
Pierre-Jean Garat,Q578480,French singer (1762-1823),https://en.wikipedia.org/wiki/Pierre-Jean_Garat
Pierre-Joseph Candeille,Q3903423,French musician (1744-1827),https://en.wikipedia.org/wiki/Pierre-Joseph_Candeille
Pierre-Joseph-Guillaume Zimmermann,Q1348126,French pianist,https://en.wikipedia.org/wiki/Pierre-Joseph-Guillaume_Zimmerman
"Prince August, Duke of Dalarna",Q742191,Swedish prince (1831-1873),"https://en.wikipedia.org/wiki/Prince_August,_Duke_of_Dalarna"
Princess Eugénie of Sweden,Q526915,Swedish princess; daughter of Oscar I of Sweden and Josephine of Leuchtenberg (1830–1889),https://en.wikipedia.org/wiki/Princess_Eugénie_of_Sweden
Prosper Sainton,Q2443056,French musician (1813–1890),https://en.wikipedia.org/wiki/Prosper_Sainton
Pyotr Danilchenko,Q113484550,,
Q101797873,Q101797873,,
Q1027185,Q1027185,Finnish musician (1801–1850),
Q1041656,Q1041656,"Spanish pianist, artist (1940–2017)",https://en.wikipedia.org/wiki/Carles_Santos
Q1042888,Q1042888,Cuban musician (1934–2002),https://en.wikipedia.org/wiki/Carlos_Fariñas
Q105085393,Q105085393,Greek pianist,
Q108005,Q108005,German organist and music educator (1862-1932),https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Franke
Q109483563,Q109483563,,
Q110177136,Q110177136,French musician,https://en.wikipedia.org/wiki/Gabriel_Verdalle
Q110261239,Q110261239,,
Q111084123,Q111084123,,
Q111270000,Q111270000,,
Q112312209,Q112312209,,
Q112417957,Q112417957,,
Q112453942,Q112453942,,
Q113250831,Q113250831,French musician,
Q114928190,Q114928190,(1855-1946),
Q115430794,Q115430794,,
Q115859811,Q115859811,,
Q11588067,Q11588067,,
Q116590072,Q116590072,,
Q1175767,Q1175767,Canadian saxophonist and musicologist,
Q11927790,Q11927790,"Spanish musician, businessperson and poet (1880-1953)",
Q11982047,Q11982047,Norwegian musician (1905-1977),https://en.wikipedia.org/wiki/Kristian_Hauger
Q11982808,Q11982808,Norwegian writer and musician,https://en.wikipedia.org/wiki/Kåre_Siem
Q12174218,Q12174218,Ukrainian musicologist,
Q123249,Q123249,Swiss conductor and classical pianist (1886-1960),https://en.wikipedia.org/wiki/Edwin_Fischer
Q1244998,Q1244998,American musician,https://en.wikipedia.org/wiki/Dorian_Rudnytsky
Q125344934,Q125344934,,
Q1280917,Q1280917,American jazz musician and United States Army officer (1880-1919),https://en.wikipedia.org/wiki/James_Reese_Europe
Q12880983,Q12880983,Greek musician,
Q13206674,Q13206674,Tatar musician,
Q133832,Q133832,Finnish conductor and cellist (1872-1947),https://en.wikipedia.org/wiki/Georg_Schnéevoigt
Q136487904,Q136487904,,
Q136933178,Q136933178,Greek cellist,
Q137240785,Q137240785,,
Q1379643,Q1379643,French classical pianist (1927-1972),https://en.wikipedia.org/wiki/Jean_Casadesus
Q139641,Q139641,Spanish author (1835-1906),https://en.wikipedia.org/wiki/José_Antonio_Santesteban
Q139859258,Q139859258,,
Q1403183,Q1403183,Argentine musician (1884–1958),https://en.wikipedia.org/wiki/Felipe_Boero
Q1441113,Q1441113,,
Q15266140,Q15266140,French musician and music arranger (born 1981),https://en.wikipedia.org/wiki/Clément_Ducol
Q15810061,Q15810061,,
Q1585793,Q1585793,British musician (1885-1971),https://en.wikipedia.org/wiki/Harold_Craxton
Q1597059,Q1597059,,
Q16012356,Q16012356,American musician,https://en.wikipedia.org/wiki/Allan_Arthur_Willman
Q16177398,Q16177398,,
Q16439810,Q16439810,(1874-1963),
Q16498157,Q16498157,Brazilian musician,
Q16669949,Q16669949,,
Q1685574,Q1685574,French musician (1917–1992),https://en.wikipedia.org/wiki/Jean_Hubeau
Q1690309,Q1690309,German music theorist and musicologist (1838-1900),https://en.wikipedia.org/wiki/Ludwig_Bussler
Q1692331,Q1692331,German tenor and voice teacher (1765-1845),https://en.wikipedia.org/wiki/Johann_Aloys_Miksch
Q1694989,Q1694989,German choir director,
Q17147971,Q17147971,,
Q17300735,Q17300735,"Catalan organist, pianist und Komponist",
Q1731828,Q1731828,German organist (1892–1983),
Q17383168,Q17383168,,
Q18237265,Q18237265,Brazilian musician,
Q1850160,Q1850160,Italian violinist (1900-1979),
Q18616078,Q18616078,,
Q1908638,Q1908638,Belgian violinist (1871–1947),https://en.wikipedia.org/wiki/Mathieu_Crickboom
Q1995021,Q1995021,German piano teacher and compiler of books of technical music studies (1810-1874),https://en.wikipedia.org/wiki/Louis_Plaidy
Q19950677,Q19950677,,
Q2000681,Q2000681,Polish-American painist (1879-1945),https://en.wikipedia.org/wiki/Severin_Eisenberger
Q20243396,Q20243396,,
Q21293358,Q21293358,,
Q213894,Q213894,German musician,https://en.wikipedia.org/wiki/Carl_Gottlieb_Reissiger
Q21402360,Q21402360,,
Q21853006,Q21853006,,
Q2211426,Q2211426,Belgian conductor,
Q23655419,Q23655419,,
Q2459879,Q2459879,Japanese conductor and musicologist,https://en.wikipedia.org/wiki/Masakazu_Natsuda
Q24938987,Q24938987,,
Q25424133,Q25424133,,
Q25743688,Q25743688,,
Q2605389,Q2605389,"Belgian conductor, pianist and trumpeter",
Q27649628,Q27649628,,
Q27987632,Q27987632,(1822-1903),
Q28357940,Q28357940,,
Q2851635,Q2851635,French harpist,https://en.wikipedia.org/wiki/Annie_Challan
Q2853715,Q2853715,Canadian organist,https://en.wikipedia.org/wiki/Antoine_Bouchard_(musician)
Q2857410,Q2857410,(1747-1832),
Q2871185,Q2871185,French organist and music publisher,https://en.wikipedia.org/wiki/Auguste_Durand
Q2981182,Q2981182,Norwegian musician (1842-1888),https://en.wikipedia.org/wiki/Edmund_Neupert
Q3013855,Q3013855,French musician and philosopher,https://en.wikipedia.org/wiki/Daniel_Charles
Q3042871,Q3042871,Japanese conductor,
Q3121194,Q3121194,Canadian musician,https://en.wikipedia.org/wiki/Gustave_Gagnon
Q31283247,Q31283247,Romanian jazz critic and music presenter,
Q3184890,Q3184890,Belgian musician (1838-1899),https://en.wikipedia.org/wiki/Joseph_Dupont_(violinist)
Q319784,Q319784,"Finnish athletics competitor, recording artist; singer and film actor",https://en.wikipedia.org/wiki/Tapio_Rautavaara
Q32161192,Q32161192,,
Q33082871,Q33082871,"American singer, musical educator",https://en.wikipedia.org/wiki/Clara_M._Brinkerhoff
Q330862,Q330862,Mexican musician (1864-1907),https://en.wikipedia.org/wiki/Ricardo_Castro_(composer)
Q3340807,Q3340807,French organist,https://en.wikipedia.org/wiki/Nicolas_Séjan
Q3372372,Q3372372,French violinist and musicologist (1857-1941),https://en.wikipedia.org/wiki/Paul_Viardot
Q3434743,Q3434743,French actor and musician (1878-1940),https://en.wikipedia.org/wiki/Robert-Guillaume_Casadesus
Q3471225,Q3471225,American musician (1849–1910),https://en.wikipedia.org/wiki/Samuel_Sanford
Q3514176,Q3514176,Japanese conductor (1924–2004),
Q3635801,Q3635801,Italian opera singer (1804–1895),https://en.wikipedia.org/wiki/Basilio_Basili
Q3638094,Q3638094,Italian musician,
Q365287,Q365287,Russian musician (1851–1929),https://en.wikipedia.org/wiki/Adolph_Brodsky
