name,wikidata_id,description,wikipedia_en
August Wilhelmj,Q69376,German violinist (1845–1908),https://en.wikipedia.org/wiki/August_Wilhelmj
Auguste Franchomme,Q517132,French musician (1808-1884),https://en.wikipedia.org/wiki/Auguste_Franchomme
Aurelio de la Vega,Q775706,,https://en.wikipedia.org/wiki/Aurelio_de_la_Vega
B. Tommy Andersson,Q5554064,Swedish conductor,https://en.wikipedia.org/wiki/B._Tommy_Andersson
Balázs Kocsár,Q17399694,Hungarian orchestral and operatic conductor,https://en.wikipedia.org/wiki/Balázs_Kocsár
Barbara Larssen,Q18009504,Norwegian singer,
Barbara Ployer,Q729164,Austrian musician,https://en.wikipedia.org/wiki/Barbara_Ployer
Beniamino Cesi,Q1619820,Italian musician (1845-1907),https://en.wikipedia.org/wiki/Beniamino_Cesi
Benjamin Johnson Lang,Q817556,American conductor (1837–1909),https://en.wikipedia.org/wiki/Benjamin_Johnson_Lang
Benjamin Koppel,Q817580,Danish musician (saxophonist),
Benjamín Orbón,Q16537332,,
Bernardino de Ribera,Q27999024,,
Bernhard Ziehn,Q826214,German-American music theorist,https://en.wikipedia.org/wiki/Bernhard_Ziehn
Bettina Walker,Q53032647,Irish pianist,https://en.wikipedia.org/wiki/Bettina_Walker
Bhavatharini,Q3536035,Indian singer,https://en.wikipedia.org/wiki/Bhavatharini
Billy Mayerl,Q369382,British musician (1902-1959),https://en.wikipedia.org/wiki/Billy_Mayerl
Blanche Lucas,Q110224410,,
Blaženka Arnič-Lemež,Q17402271,Slovene musician,
Boleslav Yavorsky,Q2471676,"Polish, Ukrainian and Russian musicologist (1877–1942)",https://en.wikipedia.org/wiki/Boleslav_Yavorsky
Boris Golovin,Q2910955,Russian singer-songwriter,https://en.wikipedia.org/wiki/Boris_Golovin
Boyd McDonald,Q4952364,Canadian musician,https://en.wikipedia.org/wiki/Boyd_McDonald_(composer)
Bryce Dessner,Q4980674,,https://en.wikipedia.org/wiki/Bryce_Dessner
Bryn Harrison,Q56599871,,https://en.wikipedia.org/wiki/Bryn_Harrison
Bujor Hoinic,Q63241779,Romanian pianist and conductor,https://en.wikipedia.org/wiki/Bujor_Hoinic
Byron Janis,Q1018612,American musician (1928–2024),https://en.wikipedia.org/wiki/Byron_Janis
Caleb Burhans,Q48302075,,https://en.wikipedia.org/wiki/Caleb_Burhans
Camille Pleyel,Q1630994,French musician,https://en.wikipedia.org/wiki/Camille_Pleyel
Camille-Marie Stamaty,Q1029284,French musician (1811–1870),https://en.wikipedia.org/wiki/Camille-Marie_Stamaty
Carl Attrup,Q19976216,Danish organist,
Carl Ferdinand Becker,Q553537,German organist and musicologist (1804–1877),https://en.wikipedia.org/wiki/Carl_Ferdinand_Becker
Carl Flesch,Q215739,"Hungarian violinist and teacher, 1873-1944",https://en.wikipedia.org/wiki/Carl_Flesch
Carl Friedberg,Q704340,German pianist (1872–1955),https://en.wikipedia.org/wiki/Carl_Friedberg
Carl Heymann,Q102608,German musician (1852–1922),https://en.wikipedia.org/wiki/Carl_Heymann
Carl Ludvig Hall,Q5783822,Swedish pianist (1814-1858),
Carl Tausig,Q636941,Polish pianist (1841–1871),https://en.wikipedia.org/wiki/Karl_Tausig
Carl Thomas Mozart,Q452098,eldest surviving son of Wolfgang Amadeus Mozart,https://en.wikipedia.org/wiki/Karl_Thomas_Mozart
Carl Wittrock,Q2285831,,https://en.wikipedia.org/wiki/Carl_Wittrock
Carles Casals i Ribes,Q11912376,(1852-1908),
Carlo Alessandro Landini,Q28688296,,https://en.wikipedia.org/wiki/Carlo_Alessandro_Landini
Carmelo Bernaola,Q2602845,Spanish musician (1929–2002),https://en.wikipedia.org/wiki/Carmelo_Bernaola
Carrie Burpee Shaw,Q112321804,American musician and music educator,https://en.wikipedia.org/wiki/Carrie_Burpee_Shaw
Carter Larsen,Q5047189,,https://en.wikipedia.org/wiki/Carter_Larsen
Celina Szymanowska,Q5058073,wife of Polish poet Adam Mickiewicz (1812–1855),https://en.wikipedia.org/wiki/Celina_Szymanowska
Cesare Sodero,Q4426737,Italian conductor (1886–1947),https://en.wikipedia.org/wiki/Cesare_Sodero
Cesare Zoilo,Q109265169,Italian musician who lived between the 16th and 17th centuries,
Charles Couperin,Q2187815,French organist,
Charles Edward Horsley,Q5077278,English musician (1822–1876),https://en.wikipedia.org/wiki/Charles_Edward_Horsley
Charles Hallé,Q65648,"pianist and conductor, founder of the Hallé orchestra (1819–1895)",https://en.wikipedia.org/wiki/Charles_Hallé
Charles Hambitzer,Q23675262,"American musician, teacher of George Gershwin (1878–1918)",https://en.wikipedia.org/wiki/Charles_Hambitzer
