article,name,birth,death,nationality,notable_21_century_works,era
David_T._Little,David T. Little,1978,,American,"Soldier Songs, Dog Days, The Descanso Cycle",21st-century classical
Jean-Louis_Agobet,Jean-Louis Agobet,1968,,French,Génération,21st-century classical
Vincent_McDermott,Vincent McDermott,1933,2016,American,The Blue Forest,21st-century classical
Salvatore_Macchia,Salvatore Macchia,1947,,American,,21st-century classical
Lorin_Maazel,Lorin Maazel,1930,2014,American,,21st-century classical
Marvin_David_Levy,Marvin David Levy,1932,2015,American,,21st-century classical
Daniel_Lentz,Daniel Lentz,1942,,American,,21st-century classical
John_Massaro,John Massaro,1957,,American,,21st-century classical
Gerald_Levinson,Gerald Levinson,1951,,American,,21st-century classical
Terry_Lowry,Terry Lowry,1974,,American,,21st-century classical
Robert_Manno,Robert Manno,1944,,American,,21st-century classical
Robert_Lombardo,Robert Lombardo,1932,,American,,21st-century classical
Arthur_Levering,Arthur Levering,1953,,American,,21st-century classical
Eric_Mandat,Eric Mandat,1957,,American,,21st-century classical
Martin_Kennedy_(composer),Martin Kennedy,1978,,American,,21st-century classical
Karola_Obermueller,Karola Obermueller,1977,,German,,21st-century classical
Andy_DiGelsomina,Andy DiGelsomina,1966,,American,Symphony No. 1,21st-century classical
Peter_Van_Zandt_Lane,Peter Van Zandt Lane,1985,,American,,21st-century classical
Hannah_Lash,Hannah Lash,1981,,American,Hush,21st-century classical
William_Kraft,William Kraft,1923,,American,Encounters,21st-century classical
Andrew_Kuster,Andrew Kuster,1969,,American,,21st-century classical
Susan_Cohn_Lackman,Susan Cohn Lackman,1948,,American,,21st-century classical
Kristin_Kuster,Kristin Kuster,1973,,American,,21st-century classical
Joseph_Fennimore,Joseph Fennimore,1940,,American,,21st-century classical
Laura_Kaminsky,Laura Kaminsky,1956,,American,,21st-century classical
Edward_Knight_(composer),Edward Knight,1961,,American,,21st-century classical
Eric_Knechtges,Eric Knechtges,1978,,American,,21st-century classical
Craig_Hella_Johnson,Craig Hella Johnson,1962,,American,,21st-century classical
Roland_C._Jordan,Roland C. Jordan,1938,,American,,21st-century classical
Judy_Klein,Judy Klein,1943,,American,,21st-century classical
Frank_La_Rocca,Frank La Rocca,1951,,American,,21st-century classical
Jonathan_Elkus,Jonathan Elkus,1931,,American,,21st-century classical
Jerome_Kitzke,Jerome Kitzke,1955,,American,,21st-century classical
David_Balakrishnan,David Balakrishnan,1954,,American,,21st-century classical
Masguda_Shamsutdinova,Masguda Shamsutdinova,1955,,Russian,,21st-century classical
Robert_E._Jager,Robert E. Jager,1939,,American,,21st-century classical
Alberto_Giurioli,Alberto Giurioli,1991,,Italian,,21st-century classical
Joyce_Grill,Joyce Grill,1936,,American,Spanish Nights,21st-century classical
Bern_Herbolsheimer,Bern Herbolsheimer,1948,2016,American,,21st-century classical
Hugh_Aitken,Hugh Aitken,1924,2012,American,,21st-century classical
