article,name,birth,death,nationality,notable_21_century_works,era
Scott_Johnson_(composer),Scott Johnson,1952,,American,,21st-century classical
Michael_Obst_(composer),Michael Obst,1955,,German,,21st-century classical
Grigoriy_Korchmar,Grigoriy Korchmar,1947,,Russian,,21st-century classical
Renate_Birnstein,Renate Birnstein,1946,,German,,21st-century classical
David_Felder,David Felder,1953,,American,,21st-century classical
Ryuichi_Sakamoto,Ryuichi Sakamoto,1952,,Japanese,,21st-century classical
Lucio_Garau,Lucio Garau,1959,,Italian,,21st-century classical
Gonchigiin_Birvaa,Gonchigiin Birvaa,1916,2006,Mongolian,,21st-century classical
Dagvyn_Luvsansharav,Dagvyn Luvsansharav,1927,2014,Mongolian,,21st-century classical
Robert_Boury,Robert Boury,1946,,American,,21st-century classical
Yoshino_Aoki,Yoshino Aoki,1971,,Japanese,,21st-century classical
Kazuhiro_Morita,Kazuhiro Morita,1952,,Japanese,,21st-century classical
Natsagiin_Jantsannorov,Natsagiin Jantsannorov,1948,,Mongolian,,21st-century classical
Mona_Lyn_Reese,Mona Lyn Reese,1951,,American,,21st-century classical
Jody_Diamond,Jody Diamond,1953,,American,,21st-century classical
Kaoru_Wada,Kaoru Wada,1962,,Japanese,,21st-century classical
Dominic_Muldowney,Dominic Muldowney,1952,,English,,21st-century classical
Marisa_Rezende,Marisa Rezende,1944,,Brazilian,,21st-century classical
Kilza_Setti,Kilza Setti,1932,,Brazilian,,21st-century classical
Zsolt_Gárdonyi,Zsolt Gárdonyi,1946,,Hungarian German,,21st-century classical
Richard_Emsley,Richard Emsley,1951,,British,,21st-century classical
Michael_Zev_Gordon,Michael Zev Gordon,1963,,British,,21st-century classical
James_Erber,James Erber,1951,,British,,21st-century classical
Miguel_del_Águila,Miguel del Águila,1957,,Uruguayan-bornAmerican,,21st-century classical
Max_Schubel,Max Schubel,1932,2010,American,,21st-century classical
Lora_Aborn,Lora Aborn,1907,2005,American,,21st-century classical
Coleridge-Taylor_Perkinson,Coleridge-Taylor Perkinson,1932,2004,American,,21st-century classical
Dan_Shore,Dan Shore,1975,,American,,21st-century classical
Clare_Shore,Clare Shore,1954,,American,,21st-century classical
Stephen_Scott_(composer),Stephen Scott,1944,,American,,21st-century classical
Russell_Schulz-Widmar,Russell Schulz-Widmar,1944,,American,,21st-century classical
Madeleine_Isaksson,Madeleine Isaksson,1956,,Swedish,,21st-century classical
Normand_Lockwood,Normand Lockwood,1906,2002,American,,21st-century classical
Manuel_Rosenthal,Manuel Rosenthal,1904,2003,French,,21st-century classical
Sandeep_Bhagwati,Sandeep Bhagwati,1963,,Indian,,21st-century classical
Cecilie_Ore,Cecilie Ore,1954,,Norwegian,,21st-century classical
Michelle_Ekizian,Michelle Ekizian,1956,,American,,21st-century classical
Jun_Miyake,Jun Miyake,1958,,Japanese,,21st-century classical
Irina_Hasnaș,Irina Hasnaș,1954,,Romanian,,21st-century classical
Lev_Konov,Lev Konov,1952,,Russian,,21st-century classical
Gerd_Kühr,Gerd Kühr,1952,,German,,21st-century classical
James_Wilson_(composer),James Wilson,1922,2005,Irish,,21st-century classical
Priti_Paintal,Priti Paintal,1960,,Indian,,21st-century classical
Christian_Lauba,Christian Lauba,1952,,Tunisian born French,,21st-century classical
Birgit_Havenstein,Birgit Havenstein,1954,,German,,21st-century classical
Nailia_Galiamova,Nailia Galiamova,1961,,Uzbekistani,,21st-century classical
Viera_Janárceková,Viera Janárceková,1951,,Slovak,,21st-century classical
Vlastimir_Trajković,Vlastimir Trajković,1947,2017,Serbian,,21st-century classical
Vladimir_Tošić,Vladimir Tošić,1949,,Serbian,,21st-century classical
Earl_Howard,Earl Howard,1951,,American,,21st-century classical
Richard_Edward_Wilson,Richard Edward Wilson,1941,,American,,21st-century classical
Patricia_Jünger,Patricia Jünger,1951,,Swiss-Austrian,,21st-century classical
Anne_Dudley,Anne Dudley,1956,,English,,21st-century classical
Kimi_Sato,Kimi Sato,1949,,Japanese,,21st-century classical
Keiko_Fujiie,Keiko Fujiie,1963,,Japanese,,21st-century classical
Aivars_Kalējs,Aivars Kalējs,1951,,Latvian,,21st-century classical
Susan_Frykberg,Susan Frykberg,1954,,New Zealander,,21st-century classical
Olli_Kortekangas,Olli Kortekangas,1955,,Finnish,,21st-century classical
Matilde_Capuis,Matilde Capuis,1913,2017,Italian,,21st-century classical
Jan_Håkan_Åberg,Jan Håkan Åberg,1916,2012,Swedish,,21st-century classical
Camille_Kerger,Camille Kerger,1957,,Luxembourgish,,21st-century classical
Arne_Eigenfeldt,Arne Eigenfeldt,1962,,Canadian,,21st-century classical
He_Xuntian,He Xuntian,1953,,Chinese,,21st-century classical
John_Palmer_(composer),John Palmer,1959,,British,,21st-century classical
Adriana_Hölszky,Adriana Hölszky,1953,,Romanian-German,,21st-century classical
David_A._Jaffe,David A. Jaffe,1955,,American,,21st-century classical
Clara_Petrozzi,Clara Petrozzi,1965,,Peruvian,,21st-century classical
Jorma_Panula,Jorma Panula,1930,,Finnish,,21st-century classical
Juhani_Komulainen,Juhani Komulainen,1953,,Finnish,,21st-century classical
Kim_Jin-hi,Kim Jin-hi,1957,,South Korean,,21st-century classical
Carl_Faia,Carl Faia,1962,,American,,21st-century classical
Adina_Izarra,Adina Izarra,1959,,Venezuelan,,21st-century classical
Giulio_Castagnoli,Giulio Castagnoli,1958,,Italian,,21st-century classical
Lasse_Thoresen,Lasse Thoresen,1949,,Norwegian,,21st-century classical
Daniel_Felsenfeld,Daniel Felsenfeld,1970,,American,,21st-century classical
Z._Randall_Stroope,Z. Randall Stroope,1953,,American,,21st-century classical
Chiara_Benati,Chiara Benati,1956,,Italian,,21st-century classical
Jenő_Takács,Jenő Takács,1902,2005,Austrian,,21st-century classical
Arthur_Weisberg,Arthur Weisberg,1931,2009,American,,21st-century classical
Robert_McBride_(composer),Robert McBride,1911,2007,American,,21st-century classical
Erica_Muhl,Erica Muhl,1961,,American,,21st-century classical
John_Burge,John Burge,1961,,Canadian,,21st-century classical
María_Escribano,María Escribano,1954,2002,Spanish,,21st-century classical
Nicola_Campogrande,Nicola Campogrande,1969,,Italian,,21st-century classical
Paul_Steenhuisen,Paul Steenhuisen,1965,,Canadian,,21st-century classical
Mats_Wendt,Mats Wendt,1965,,Swedish,,21st-century classical
Andrea_Cera,Andrea Cera,1969,,Italian,,21st-century classical
Johanna_Doderer,Johanna Doderer,1969,,Austrian,,21st-century classical
Ciarán_Farrell,Ciarán Farrell,1969,,Irish,,21st-century classical
Ljubica_Marić,Ljubica Marić,1909,2003,Serbian,,21st-century classical
Mykola_Kolessa,Mykola Kolessa,1903,2006,Ukrainian,,21st-century classical
Francisco_Lara,Francisco Lara,1968,,Spanish,,21st-century classical
Teizo_Matsumura,Teizo Matsumura,1929,2007,Japanese,,21st-century classical
Matthew_Shlomowitz,Matthew Shlomowitz,1975,,Australian,,21st-century classical
Richard_Kastle,Richard Kastle,1958,,American,,21st-century classical
Olli_Mustonen,Olli Mustonen,1967,,Finnish,,21st-century classical
Sinta_Wullur,Sinta Wullur,1958,,Indonesian-Dutch,,21st-century classical
Mark_Kilstofte,Mark Kilstofte,1958,,Albanian,,21st-century classical
P._Q._Phan,P. Q. Phan,1962,,Vietnamese,,21st-century classical
Nguyễn_Văn_Quỳ,Nguyễn Văn Quỳ,1925,,Vietnamese,Sonatas Nos. 8 and 9 for violin and piano,21st-century classical
Nathan_Currier,Nathan Currier,1960,,American,,21st-century classical
Andersen_Viana,Andersen Viana,1962,,Brazilian,,21st-century classical
Jocelyn_Morlock,Jocelyn Morlock,1969,,Canadian,,21st-century classical
Yannis_Kyriakides,Yannis Kyriakides,1969,,Cypriot,,21st-century classical
Seóirse_Bodley,Seóirse Bodley,1933,,Irish,,21st-century classical
Jens_Joneleit,Jens Joneleit,1968,,German,,21st-century classical
Yehudi_Wyner,Yehudi Wyner,1929,,American,,21st-century classical
Rudi_Martinus_van_Dijk,Rudi Martinus van Dijk,1932,2003,Dutch,,21st-century classical
Yüksel_Koptagel,Yüksel Koptagel,1931,,Turkish,,21st-century classical
Tod_Dockstader,Tod Dockstader,1932,2008,American,,21st-century classical
Jennifer_Fowler,Jennifer Fowler,1939,,British,,21st-century classical
Makoto_Moroi,Makoto Moroi,1930,2013,Japanese,,21st-century classical
Kazuko_Hara,Kazuko Hara,1935,2014,Japanese,,21st-century classical
Helen_Gifford,Helen Gifford,1935,,Australian,,21st-century classical
Biancamaria_Furgeri,Biancamaria Furgeri,1935,,Italian,,21st-century classical
Janet_Graham,Janet Graham,1948,,English,,21st-century classical
Carolina_Eyck,Carolina Eyck,1987,,German,,21st-century classical
Robert_Moran,Robert Moran,1937,,American,,21st-century classical
Sheila_Nelson,Sheila Nelson,1936,,English,,21st-century classical
Vasif_Adigozalov,Vasif Adigozalov,1935,2006,Azerbaijani,,21st-century classical
László_Tihanyi,László Tihanyi,1956,,Hungarian,,21st-century classical
Jim_Hiscott,Jim Hiscott,1948,,Canadian,,21st-century classical
Čestmír_Gregor,Čestmír Gregor,1926,2011,Czech,,21st-century classical
Francis_Thorne,Francis Thorne,1922,2017,American,,21st-century classical
John_White_(composer),John White,1936,,English,,21st-century classical
Margaret_Lucy_Wilkins,Margaret Lucy Wilkins,1939,,English,,21st-century classical
Gareth_Williams_(composer),Gareth Williams,1977,,Irish,,21st-century classical
Jolyon_Brettingham_Smith,Jolyon Brettingham Smith,1949,2008,English,,21st-century classical
Dean_Drummond,Dean Drummond,1949,2013,American,,21st-century classical
Alice_Shields,Alice Shields,1943,,American,,21st-century classical
Harrison_Oxley,Harrison Oxley,1933,2009,British,,21st-century classical
W._Francis_McBeth,W. Francis McBeth,1933,2012,American,,21st-century classical
Robert_Ian_Winstin,Robert Ian Winstin,1959,2010,American,,21st-century classical
Jorge_Liderman,Jorge Liderman,1957,2008,American,,21st-century classical
Bongani_Ndodana-Breen,Bongani Ndodana-Breen,1975,,South African,,21st-century classical
Mark_Edgley_Smith,Mark Edgley Smith,1955,2008,British,,21st-century classical
Marco_Betta,Marco Betta,1964,,Italian,,21st-century classical
Scott_Boerma,Scott Boerma,1964,,American,,21st-century classical
Mina_Kubota,Mina Kubota,1972,,Japanese,,21st-century classical
Boris_Böhmann,Boris Böhmann,1964,,German,,21st-century classical
Gregers_Brinch,Gregers Brinch,1964,,Danish,,21st-century classical
Judy_Dunaway,Judy Dunaway,1964,,American,,21st-century classical
Goff_Richards,Goff Richards,1944,2011,English,,21st-century classical
Carlos_Azevedo,Carlos Azevedo,1949,2012,Portuguese,,21st-century classical
John_Hawkins_(Canadian_composer),John Hawkins,1944,2007,Canadian,,21st-century classical
Guto_Puw,Guto Puw,1971,,Welsh,,21st-century classical
Takatomi_Nobunaga,Takatomi Nobunaga,1971,,Japanese,String Quartet,21st-century classical
Thomas_Koppel,Thomas Koppel,1944,2006,Danish,,21st-century classical
Russell_Peck,Russell Peck,1945,2009,American,,21st-century classical
İstemihan_Taviloğlu,İstemihan Taviloğlu,1945,2006,Turkish,,21st-century classical
Mark_Applebaum,Mark Applebaum,1967,,American,,21st-century classical
Laura_Andel,Laura Andel,1968,,Argentine,,21st-century classical
Niels_Bernhart,Niels Bernhart,1946,2008,Danish,,21st-century classical
Ann-Elise_Hannikainen,Ann-Elise Hannikainen,1946,2012,Finnish,,21st-century classical
Sirvart_Kalpakyan_Karamanuk,Sirvart Kalpakyan Karamanuk,1912,2008,Armenian,,21st-century classical
Zoltán_Pongrácz,Zoltán Pongrácz,1912,2007,Hungarian,,21st-century classical
Robert_Hughes_(composer),Robert Hughes,1912,2007,Scottish-born Australian,,21st-century classical
Rolande_Falcinelli,Rolande Falcinelli,1920,2006,French,,21st-century classical
Jean_Eichelberger_Ivey,Jean Eichelberger Ivey,1923,2010,American,,21st-century classical
Peter_Nardone,Peter Nardone,1965,,Scottish,,21st-century classical
Bernd_Redmann,Bernd Redmann,1965,,German,,21st-century classical
René_Wohlhauser,René Wohlhauser,1954,,Swiss,,21st-century classical
Vivian_Adelberg_Rudow,Vivian Adelberg Rudow,1936,,American,,21st-century classical
John_Boswell_Maver,John Boswell Maver,1932,,Australian,,21st-century classical
Raffaele_Marcellino,Raffaele Marcellino,1964,,Australian,,21st-century classical
Elliott_Schwartz,Elliott Schwartz,1936,2016,American,,21st-century classical
Bogusław_Schaeffer,Bogusław Schaeffer,1929,2019,Polish,,21st-century classical
Huang_Ruo,Huang Ruo,1976,,Chinese-bornAmerican,,21st-century classical
Patricia_Blomfield_Holt,Patricia Blomfield Holt,1910,2003,Canadian,,21st-century classical
Claus-Steffen_Mahnkopf,Claus-Steffen Mahnkopf,1962,,German,,21st-century classical
,Zoltan Paulinyi,1977,,Brazilian,,21st-century classical
Robert_Ward_(composer),Robert Ward,1917,2013,American,,21st-century classical
Gwyneth_Walker,Gwyneth Walker,1947,,American,,21st-century classical
George_Walker_(composer),George Walker,1922,2018,American,,21st-century classical
Marta_Ptaszynska,Marta Ptaszynska,1943,,Polish,,21st-century classical
Felix_Werder,Felix Werder,1922,2012,German-born Australian,,21st-century classical
Richard_Wernick,Richard Wernick,1934,,American,,21st-century classical
Frank_Proto,Frank Proto,1941,,American,,21st-century classical
Alwynne_Pritchard,Alwynne Pritchard,1968,,British,,21st-century classical
Walter_Sear,Walter Sear,1930,2010,American,,21st-century classical
José_Serebrier,José Serebrier,1938,,Uruguayan,,21st-century classical
Andrei_Volkonsky,Andrei Volkonsky,1933,2008,Russian,,21st-century classical
George_Balch_Wilson,George Balch Wilson,1927,,American,,21st-century classical
Alex_Prior,Alex Prior,1992,,British,,21st-century classical
Teresa_Procaccini,Teresa Procaccini,1934,,Italian,,21st-century classical
Muammer_Sun,Muammer Sun,1932,,Turkish,,21st-century classical
Tona_Scherchen,Tona Scherchen,1938,,Swiss,,21st-century classical
Miklós_Sugár,Miklós Sugár,1952,,Hungarian,,21st-century classical
Paul_Ramsier,Paul Ramsier,1937,,American,,21st-century classical
Yoshihisa_Taira,Yoshihisa Taira,1937,2005,Japanese-born French,,21st-century classical
Flavio_Testi,Flavio Testi,1923,2014,Italian,,21st-century classical
Julian_Dawes,Julian Dawes,1942,,English,,21st-century classical
James_Chater,James Chater,1951,,British,,21st-century classical
Ricardo_Tacuchian,Ricardo Tacuchian,1939,,Brazilian,,21st-century classical
Peter_Tahourdin,Peter Tahourdin,1928,2009,English-born Australian,,21st-century classical
Claudio_Prieto,Claudio Prieto,1934,2015,Spanish,,21st-century classical
William_Presser,William Presser,1916,2004,American,,21st-century classical
Yevgeny_Svetlanov,Yevgeny Svetlanov,1928,2002,Russian,,21st-century classical
Mary_Jeanne_van_Appledorn,Mary Jeanne van Appledorn,1927,2014,American,,21st-century classical
Nancy_Van_de_Vate,Nancy Van de Vate,1930,,American,,21st-century classical
Reza_Vali,Reza Vali,1952,,Iranian,,21st-century classical
János_Vajda_(composer),János Vajda,1949,,Hungarian,,21st-century classical
Emanuel_Vahl,Emanuel Vahl,1938,,Ukrainian-Israeli,,21st-century classical
Alexandra_Pierce,Alexandra Pierce,1934,,American,,21st-century classical
Ruth_Schönthal,Ruth Schönthal,1924,2006,German,,21st-century classical
Ernest_Sauter,Ernest Sauter,1928,2013,German,,21st-century classical
William_Schmidt_(composer),William Schmidt,1926,2009,American,,21st-century classical
Thomas_Schmidt-Kowalski,Thomas Schmidt-Kowalski,1949,2013,German,,21st-century classical
Aleksandr_Shymko,Aleksandr Shymko,1977,,Ukrainian,,21st-century classical
Harvey_Sollberger,Harvey Sollberger,1938,,American,,21st-century classical
Robert_Turner_(composer),Robert Turner,1920,2012,Canadian,,21st-century classical
Paul_Schoenfield,Paul Schoenfield,1947,,American,,21st-century classical
David_Schiff,David Schiff,1945,,American,,21st-century classical
Scott_Slapin,Scott Slapin,1974,,American,,21st-century classical
Thomas_Daniel_Schlee,Thomas Daniel Schlee,1957,,Austrian,,21st-century classical
Bettina_Skrzypczak,Bettina Skrzypczak,1962,,Polish,,21st-century classical
Zlata_Tkach,Zlata Tkach,1928,2006,Moldovan,,21st-century classical
Vilém_Tauský,Vilém Tauský,1910,2004,Czech,,21st-century classical
Calliope_Tsoupaki,Calliope Tsoupaki,1963,,Greek,,21st-century classical
José_Luis_Turina,José Luis Turina,1952,,Spanish,,21st-century classical
Antonín_Tučapský,Antonín Tučapský,1928,2014,Czech,,21st-century classical
George_Tsontakis,George Tsontakis,1951,,American,,21st-century classical
Jiří_Teml,Jiří Teml,1935,,Czech,,21st-century classical
Karmella_Tsepkolenko,Karmella Tsepkolenko,1955,,Ukrainian,,21st-century classical
Matthew_Taylor_(composer),Matthew Taylor,1964,,English,,21st-century classical
Cornelia_Tăutu,Cornelia Tăutu,1938,2019,Romanian,,21st-century classical
Hilary_Tann,Hilary Tann,1947,,Welsh,,21st-century classical
Gerhard_Präsent,Gerhard Präsent,1957,,Austrian,,21st-century classical
Elizabeth_Raum,Elizabeth Raum,1945,,Canadian,,21st-century classical
Peter_Reynolds_(composer),Peter Reynolds,1958,,Welsh,,21st-century classical
Ivan_Sokolov_(composer),Ivan Sokolov,1960,,Russian,,21st-century classical
Marga_Richter,Marga Richter,1926,,American,,21st-century classical
Alan_Stout_(composer),Alan Stout,1932,2018,American,,21st-century classical
Michèle_Reverdy,Michèle Reverdy,1943,,French,,21st-century classical
Irma_Ravinale,Irma Ravinale,1937,2013,Italian,,21st-century classical
Igor_Raykhelson,Igor Raykhelson,1961,,Russian born American,,21st-century classical
Boris_Pigovat,Boris Pigovat,1953,,Israeli,,21st-century classical
Ann_Southam,Ann Southam,1937,2010,Canadian,,21st-century classical
Ken_Ueno,Ken Ueno,1970,,American,,21st-century classical
Jay_Reise,Jay Reise,1950,,American,,21st-century classical
Edward_Salim_Michael,Edward Salim Michael,1921,2006,French,,21st-century classical
John_Pickard_(composer),John Pickard,1963,,British,,21st-century classical
Jan_Müller-Wieland,Jan Müller-Wieland,1966,,German,,21st-century classical
Will_Ogdon,Will Ogdon,1921,2013,American,,21st-century classical
Hugh_Shrapnel,Hugh Shrapnel,1947,,English,,21st-century classical
Judith_Shatin,Judith Shatin,1949,,American,,21st-century classical
Malcolm_Peyton,Malcolm Peyton,1932,,American,,21st-century classical
Elena_Petrová,Elena Petrová,1929,2002,Czech,,21st-century classical
Petros_Shoujounian,Petros Shoujounian,1957,,Armenian Canadian,,21st-century classical
Ben-Zion_Orgad,Ben-Zion Orgad,1926,2006,Israeli,,21st-century classical
Konstantin_Petrossian,Konstantin Petrossian,1946,,Armenian,,21st-century classical
Arnold_Rosner,Arnold Rosner,1945,2013,American,,21st-century classical
Leon_Stein,Leon Stein,1910,2002,American,,21st-century classical
Erzsébet_Szőnyi,Erzsébet Szőnyi,1924,2019,Hungarian,,21st-century classical
Anna_S._Þorvaldsdóttir,Anna S. Þorvaldsdóttir,1977,,Icelandic,,21st-century classical
Jay_Sydeman,Jay Sydeman,1928,,American,,21st-century classical
Iris_Szeghy,Iris Szeghy,1956,,Slovak,,21st-century classical
Ben_Steinberg,Ben Steinberg,1930,,Canadian,,21st-century classical
Walter_Steffens_(composer),Walter Steffens,1934,,German,,21st-century classical
Douglas_Townsend,Douglas Townsend,1921,2012,American,,21st-century classical
Martino_Traversa,Martino Traversa,1960,,Italian,,21st-century classical
Hans_Stadlmair,Hans Stadlmair,1929,2019,Austrian,"Miro, Trumpet Concerto",21st-century classical
Yevhen_Stankovych,Yevhen Stankovych,1942,,Ukrainian,,21st-century classical
Claudio_Spies,Claudio Spies,1925,,Chilean-American,,21st-century classical
Marek_Stachowski,Marek Stachowski,1936,2004,Polish,,21st-century classical
Max_Stern_(composer),Max Stern,1947,,Israeli,,21st-century classical
Gerhard_Stäbler,Gerhard Stäbler,1949,,German,,21st-century classical
James_Stevens_(composer),James Stevens,1923,2012,English,,21st-century classical
Anna_Rubin,Anna Rubin,1946,,American,,21st-century classical
Simon_Rowland-Jones,Simon Rowland-Jones,1950,,English,,21st-century classical
Niels_Rosing-Schow,Niels Rosing-Schow,1954,,Danish,,21st-century classical
Edwin_Roxburgh,Edwin Roxburgh,1937,,English,,21st-century classical
Alberto_Posadas,Alberto Posadas,1967,,Spanish,,21st-century classical
Joseph_Willard_Roosevelt,Joseph Willard Roosevelt,1918,2008,American,,21st-century classical
Lucia_Ronchetti,Lucia Ronchetti,1963,,Italian,,21st-century classical
Fausto_Romitelli,Fausto Romitelli,1963,2004,Italian,,21st-century classical
Kaljo_Raid,Kaljo Raid,1921,2005,Estonian,,21st-century classical
David_Porcelijn,David Porcelijn,1947,,Dutch,,21st-century classical
Gil_Shohat,Gil Shohat,1973,,Israeli,"The Child Dreams, opera",21st-century classical
Michael_Radulescu,Michael Radulescu,1943,,Romanian-German,,21st-century classical
Fredrik_Sixten,Fredrik Sixten,1962,,Swedish,,21st-century classical
Erika_Radermacher,Erika Radermacher,1936,,German,,21st-century classical
Jaan_Rääts,Jaan Rääts,1932,,Estonian,,21st-century classical
Stefano_Scodanibbio,Stefano Scodanibbio,1956,2012,Italian,,21st-century classical
Doru_Popovici,Doru Popovici,1932,2019,Romanian,,21st-century classical
Stuart_Saunders_Smith,Stuart Saunders Smith,1948,,American,,21st-century classical
Dave_Smith_(composer),Dave Smith,1949,,British,,21st-century classical
Jocelyn_Pook,Jocelyn Pook,1960,,British,,21st-century classical
Gintaras_Sodeika,Gintaras Sodeika,1961,,Lithuanian,,21st-century classical
Ragnar_Søderlind,Ragnar Søderlind,1945,,Norwegian,,21st-century classical
Ahmad_Pejman,Ahmad Pejman,1937,,Iranian,,21st-century classical
Michael_Smither,Michael Smither,1939,,New Zealander,,21st-century classical
Joseph_Pehrson,Joseph Pehrson,1950,,American,,21st-century classical
Hifumi_Shimoyama,Hifumi Shimoyama,1930,,Japanese,,21st-century classical
Noam_Sheriff,Noam Sheriff,1935,2018,Israeli,,21st-century classical
Robin_Orr,Robin Orr,1909,2006,Scottish,,21st-century classical
David_Ott,David Ott,1947,,American,,21st-century classical
György_Orbán,György Orbán,1947,,Hungarian,,21st-century classical
Betty_Olivero,Betty Olivero,1954,,Israeli,,21st-century classical
John_Oliver_(composer),John Oliver,1959,,Canadian,,21st-century classical
Vivienne_Olive,Vivienne Olive,1950,,British-Australian,,21st-century classical
Steven_Sametz,Steven Sametz,1954,,American,,21st-century classical
Timothy_Salter,Timothy Salter,1942,,English,,21st-century classical
Paul_Patterson_(composer),Paul Patterson,1947,,British,,21st-century classical
Andrew_Schultz,Andrew Schultz,1960,,Australian,,21st-century classical
Rhian_Samuel,Rhian Samuel,1944,,Welsh,,21st-century classical
Jane_O'Leary,Jane O'Leary,1946,,American,,21st-century classical
Michael_Oesterle,Michael Oesterle,1968,,Canadian,,21st-century classical
Raoul_Pleskow,Raoul Pleskow,1931,,Austrian-born American,,21st-century classical
Alfred_Reed,Alfred Reed,1921,2005,American,,21st-century classical
Helmut_Oehring,Helmut Oehring,1961,,German,,21st-century classical
Erkki_Salmenhaara,Erkki Salmenhaara,1941,2002,Finnish,,21st-century classical
Irina_Odagescu,Irina Odagescu,1937,,Romanian,,21st-century classical
Isabel_Mundry,Isabel Mundry,1963,,German,,21st-century classical
Jeffrey_Mumford,Jeffrey Mumford,1955,,American,,21st-century classical
Fabian_Müller,Fabian Müller,1964,,Swiss,,21st-century classical
Elliott_Miles_McKinley,Elliott Miles McKinley,1969,,American,,21st-century classical
Geraldine_Mucha,Geraldine Mucha,1917,2012,Scottish,,21st-century classical
Marjan_Mozetich,Marjan Mozetich,1948,,Canadian,,21st-century classical
Jean-Louis_Petit,Jean-Louis Petit,1937,,French,,21st-century classical
Carmen_Petra-Basacopol,Carmen Petra-Basacopol,1926,,Romanian,,21st-century classical
Laurent_Petitgirard,Laurent Petitgirard,1950,,French,,21st-century classical
Émile_Naoumoff,Émile Naoumoff,1962,,Bulgarian,,21st-century classical
Robert_Morris_(composer),Robert Morris,1943,,American,,21st-century classical
Stephen_Montague,Stephen Montague,1943,,American,,21st-century classical
Dorothy_Rudd_Moore,Dorothy Rudd Moore,1940,,American,,21st-century classical
Oskar_Morawetz,Oskar Morawetz,1917,2007,Canadian,,21st-century classical
Ivan_Moody_(composer),Ivan Moody,1964,,English,,21st-century classical
Anthony_Ritchie,Anthony Ritchie,1960,,New Zealander,,21st-century classical
Jeremy_Dale_Roberts,Jeremy Dale Roberts,1934,2017,English,,21st-century classical
John_Rimmer_(composer),John Rimmer,1939,,New Zealander,,21st-century classical
João_Guilherme_Ripper,João Guilherme Ripper,1959,,Brazilian,,21st-century classical
Roberto_Molinelli,Roberto Molinelli,1963,,Italian,,21st-century classical
Henry_Mollicone,Henry Mollicone,1946,,American,,21st-century classical
Philip_Maneval,Philip Maneval,1956,,American,,21st-century classical
William_Thomas_McKinley,William Thomas McKinley,1938,2015,American,,21st-century classical
Ian_Parrott,Ian Parrott,1916,2012,Anglo-Welsh,,21st-century classical
Michael_Parsons_(composer),Michael Parsons,1938,,British,,21st-century classical
Gérard_Pape,Gérard Pape,1955,,American,,21st-century classical
Juan_Pampin,Juan Pampin,1967,,Argentine,,21st-century classical
Robert_Mann,Robert Mann,1920,2018,American,,21st-century classical
Robert_Moffat_Palmer,Robert Moffat Palmer,1915,2010,American,,21st-century classical
Robert_Moevs,Robert Moevs,1920,2007,American,,21st-century classical
Giorgio_Pacchioni,Giorgio Pacchioni,1947,,Italian,,21st-century classical
Eric_Moe_(composer),Eric Moe,1954,,American,,21st-century classical
Diana_McIntosh,Diana McIntosh,1937,,Canadian,,21st-century classical
Octavian_Nemescu,Octavian Nemescu,1940,,Romanian,,21st-century classical
Maria_Newman,Maria Newman,1962,,American,,21st-century classical
Reid_N._Nibley,Reid N. Nibley,1923,2008,American,,21st-century classical
Tage_Nielsen,Tage Nielsen,1929,2003,Danish,,21st-century classical
Lewis_Nielson,Lewis Nielson,1950,,American,,21st-century classical
Phil_Nimmons,Phil Nimmons,1923,,Canadian,,21st-century classical
Akira_Nishimura,Akira Nishimura,1953,,Japanese,,21st-century classical
Roger_Nixon,Roger Nixon,1921,2009,American,,21st-century classical
Marlos_Nobre,Marlos Nobre,1939,,Brazilian,,21st-century classical
David_Noon,David Noon,1946,,American,,21st-century classical
Andrew_Norman_(composer),Andrew Norman,1979,,American,The Companion Guide to Rome; Play; Split; Sustain,21st-century classical
Tigran_Mansurian,Tigran Mansurian,1939,,Armenian,,21st-century classical
Jeff_Manookian,Jeff Manookian,1953,,American,,21st-century classical
Ernst_Mahle,Ernst Mahle,1929,,Brazilian,,21st-century classical
Joe_Maneri,Joe Maneri,1927,2009,American,,21st-century classical
Otmar_Mácha,Otmar Mácha,1922,2006,Czech,,21st-century classical
Andrew_Paul_MacDonald,Andrew Paul MacDonald,1958,,Canadian,,21st-century classical
Tony_O'Connor_(composer),Tony O'Connor,1961,2010,Australian,,21st-century classical
David_Reeves_(composer),David Reeves,1943,,Australian,,21st-century classical
Barrington_Pheloung,Barrington Pheloung,1954,,Australian,,21st-century classical
Anthony_Pateras,Anthony Pateras,1979,,Australian,,21st-century classical
George_Palmer_(composer),George Palmer,1947,,Australian,,21st-century classical
Sean_O'Boyle,Sean O'Boyle,1963,,Australian,,21st-century classical
Ron_Nagorcka,Ron Nagorcka,1948,,Australian,,21st-century classical
Richard_Mills_(composer),Richard Mills,1949,,Australian,,21st-century classical
Francisco_Llácer_Pla,Francisco Llácer Pla,1918,2002,Spanish,,21st-century classical
Wolfgang_Plagge,Wolfgang Plagge,1960,,Norwegian,,21st-century classical
Matthias_Pintscher,Matthias Pintscher,1971,,German,,21st-century classical
Miroslav_Miletić,Miroslav Miletić,1925,2018,Croatian,,21st-century classical
Ella_Milch-Sheriff,Ella Milch-Sheriff,1954,,Israeli,,21st-century classical
Costin_Miereanu,Costin Miereanu,1943,,French,,21st-century classical
