article,name,birth,death,era
Mlle Guédon de Presles,Mlle Guédon de Presles,c. 1700,1754,Classical-era
Louis Antoine Lefebvre,Louis Antoine Lefebvre,1700,1763,Classical-era
Michel Blavet,Michel Blavet,1700,1768,Classical-era
Sebastian Bodinus,Sebastian Bodinus,1700,1759,Classical-era
Domenico Dall'Oglio,Domenico Dall'Oglio,1700,1764,Classical-era
João Rodrigues Esteves,João Rodrigues Esteves,1700,1751,Classical-era
Nicola Fiorenza,Nicola Fiorenza,after 1700,1764,Classical-era
Jean-Baptiste Masse,Jean-Baptiste Masse,c. 1700,c. 1756,Classical-era
Johan Agrell,Johan Agrell,1701,1765,Classical-era
François Rebel,François Rebel,1701,1775,Classical-era
Alessandro Besozzi,Alessandro Besozzi,1702,1775,Classical-era
Johann Ernst Eberlin,Johann Ernst Eberlin,1702,1762,Classical-era
José de Nebra,José de Nebra,1702,1768,Classical-era
Francisco António de Almeida,Francisco António de Almeida,1702,1755,Classical-era
John Frederick Lampe,John Frederick Lampe,1703,1751,Classical-era
Johann Gottlieb Graun,Johann Gottlieb Graun,c. 1703,1771,Classical-era
Carlo Zuccari,Carlo Zuccari,1703,1792,Classical-era
Carl Heinrich Graun,Carl Heinrich Graun,1704,1759,Classical-era
Giovanni Battista Pescetti,Giovanni Battista Pescetti,c. 1704,c. 1766,Classical-era
František Tůma,František Tůma,1704,1774,Classical-era
Philippe Courbois,Philippe Courbois,1705,1730,Classical-era
Nicolas Chédeville,Nicolas Chédeville,1705,1782,Classical-era
Henri-Jacques de Croes,Henri-Jacques de Croes,1705,1786,Classical-era
Michael Christian Festing,Michael Christian Festing,1705,1752,Classical-era
Louis-Gabriel Guillemain,Louis-Gabriel Guillemain,1705,1770,Classical-era
Johann Peter Kellner,Johann Peter Kellner,1705,1772,Classical-era
Pancrace Royer,Pancrace Royer,1705,1755,Classical-era
Andrea Bernasconi,Andrea Bernasconi,c. 1706,1784,Classical-era
Carlo Cecere,Carlo Cecere,1706,1761,Classical-era
Baldassare Galuppi,Baldassare Galuppi,1706,1785,Classical-era
Thomas Chilcot,Thomas Chilcot,1707,1766,Classical-era
Michel Corrette,Michel Corrette,1707,1795,Classical-era
Ignacio de Jerusalem,Ignacio de Jerusalem,1707,1769,Classical-era
Johann Baptist Georg Neruda,Johann Baptist Georg Neruda,c. 1707,c. 1780,Classical-era
António Teixeira,António Teixeira,1707,1769,Classical-era
Bernard-Aimable Dupuy,Bernard-Aimable Dupuy,1707,1789,Classical-era
Felix Benda,Felix Benda,1708,1768,Classical-era
Egidio Duni,Egidio Duni,1708,1775,Classical-era
Johann Gottlieb Janitsch,Johann Gottlieb Janitsch,1708,1763,Classical-era
Johann Adolph Scheibe,Johann Adolph Scheibe,1708,1776,Classical-era
Francesco Araja,Francesco Araja,1709,after 1762,Classical-era
Franz Benda,Franz Benda,1709,1786,Classical-era
Christoph Schaffrath,Christoph Schaffrath,1709,1763,Classical-era
Princess Wilhelmine of Prussia,Princess Wilhelmine of Prussia,1709,1758,Classical-era
Charles Avison,Charles Avison,1709,1770,Classical-era
Thomas Arne,Thomas Arne,1710,1778,Classical-era
Giuseppe Bonno,Giuseppe Bonno,1711,1788,Classical-era
Gaetano Latilla,Gaetano Latilla,1711,1788,Classical-era
Ignaz Holzbauer,Ignaz Holzbauer,1711,1783,Classical-era
Davide Perez,Davide Perez,1711,1778,Classical-era
Barbara of Portugal,Barbara of Portugal,1711,1758,Classical-era
Jean-Joseph Cassanéa de Mondonville,Jean-Joseph Cassanéa de Mondonville,1711,1772,Classical-era
Domènec Terradellas,Domènec Terradellas,c. 1711,1751,Classical-era
Frederick the Great,Frederick the Great,1712,1786,Classical-era
John Hebden,John Hebden,1712,1765,Classical-era
Jean-Jacques Rousseau,Jean-Jacques Rousseau,1712,1778,Classical-era
John Christopher Smith,John Christopher Smith,1712,1795,Classical-era
Antoine Dauvergne,Antoine Dauvergne,1713,1797,Classical-era
Johan Henrik Freithoff,Johan Henrik Freithoff,1713,1767,Classical-era
Luise Gottsched,Luise Adelgunda Gottsched,1713,1762,Classical-era
Johann Ludwig Krebs,Johann Ludwig Krebs,1713,1780,Classical-era
Johan Daniel Berlin,Johan Daniel Berlin,1714,1787,Classical-era
Per Brant,Per Brant,1714,1767,Classical-era
Gottfried August Homilius,Gottfried August Homilius,1714,1785,Classical-era
Niccolò Jommelli,Niccolò Jommelli,1714,1774,Classical-era
Girolamo Abos,Girolamo Abos,1715,1760,Classical-era
Pasquale Cafaro,Pasquale Cafaro,1715/1716,1787,Classical-era
Johann Friedrich Doles,Johann Friedrich Doles,1715,1797,Classical-era
Jacques Duphly,Jacques Duphly,1715,1789,Classical-era
Antoine Dard,Antoine Dard,1715,1784,Classical-era
Georg Christoph Wagenseil,Georg Christoph Wagenseil,1715,1777,Classical-era
Josef Seger,Josef Seger,1716,1782,Classical-era
Princess Philippine Charlotte of Prussia,Princess Philippine Charlotte of Prussia,1716,1801,Classical-era
Georg Matthias Monn,Georg Matthias Monn,1717,1750,Classical-era
Antonio Maria Mazzoni,Antonio Maria Mazzoni,1717,1785,Classical-era
Johann Stamitz,Johann Wenzel Anton Stamitz,1717,1757,Classical-era
Francesco Zappa,Francesco Zappa,1717,1803,Classical-era
Richard Mudge,Richard Mudge,1718,1763,Classical-era
Wenzel Raimund Birck,Wenzel Raimund Birck,1718,1763,Classical-era
Nicola Conforto,Nicola Conforto,1718,1793,Classical-era
