article,name,birth,death,era
Johann Christian Friedrich Hæffner,Johann Christian Friedrich Haeffner,1759,1833,Classical-era
Maria Theresa von Paradis,Maria Theresa von Paradis,1759,1824,Classical-era
Maria Rosa Coccia,Maria Rosa Coccia,1759,1833,Classical-era
Sophia Maria Westenholz,Sophia Maria Westenholz,1759,1838,Classical-era
Franz Christoph Neubauer,Franz Christoph Neubauer,c. 1760,1795,Classical-era
Angelo Tarchi,Angelo Tarchi,1760,1814,Classical-era
Johann Rudolf Zumsteeg,Johann Rudolf Zumsteeg,1760,1802,Classical-era
Marie-Elizabeth Cléry,Marie-Elizabeth Cléry,1761,after 1795,Classical-era
Yevstigney Fomin,Yevstigney Fomin,1761,1800,Classical-era
Pierre Gaveaux,Pierre Gaveaux,1761,1825,Classical-era
F.L.Æ. Kunzen,Friedrich Ludwig Aemilius Kunzen,1761,1817,Classical-era
Erik Tulindberg,Erik Tulindberg,1761,1814,Classical-era
Adelheid Maria Eichner,Adelheid Maria Eichner,1762,1787,Classical-era
Jane Mary Guest,Jane Mary Guest,1762,1846,Classical-era
Jakob Haibel,Jakob Haibel,1762,1826,Classical-era
Jérôme-Joseph de Momigny,Jérôme-Joseph de Momigny,1762,1842,Classical-era
Marcos Portugal,Marcos António da Fonseca Portugal,1762,1830,Classical-era
Stephen Storace,Stephen Storace,1762,1796,Classical-era
Franz Tausch,Franz Tausch,1762,1817,Classical-era
Ann Valentine,Ann Valentine,1762,1842,Classical-era
Johann Andreas Amon,Johann Andreas Amon,1763,1825,Classical-era
Franz Danzi,Franz Danzi,1763,1826,Classical-era
Domenico Dragonetti,Domenico Dragonetti,1763,1846,Classical-era
Giacomo Gotifredo Ferrari,Giacomo Gotifredo Ferrari,1763,1842,Classical-era
Adalbert Gyrowetz,Adalbert Gyrowetz,1763,1850,Classical-era
Jean-Xavier Lefèvre,Jean-Xavier Lefèvre,1763,1829,Classical-era
Simon Mayr,Johann Simon Mayr,1763,1845,Classical-era
Étienne Méhul,Étienne Méhul,1763,1817,Classical-era
Camidge family,Matthew Camidge,1764,1844,Classical-era
Franz Lauska,Franz Lauska,1764,1825,Classical-era
Valentino Fioravanti,Valentino Fioravanti,1764,1837,Classical-era
Helene de Montgeroult,Helene de Montgeroult,1764,1836,Classical-era
Anton Eberl,Anton Eberl,1765,1807,Classical-era
Joseph Leopold Eybler,Joseph Leopold Eybler,1765,1846,Classical-era
Friedrich Heinrich Himmel,Friedrich Heinrich Himmel,1765,1814,Classical-era
Michał Kleofas Ogiński,Michał Kleofas Ogiński,1765,1833,Classical-era
Jakub Jan Ryba,Jakub Jan Ryba,1765,1815,Classical-era
Daniel Steibelt,Daniel Steibelt,1765,1823,Classical-era
Johann Friedrich Anton Fleischmann,Johann Friedrich Anton Fleischmann,1766,1798,Classical-era
Stepan Degtyarev,Stepan Degtyarev,1766,1813,Classical-era
Vincent Houška,Vincent Houška,1766,1840,Classical-era
Rodolphe Kreutzer,Rodolphe Kreutzer,1766,1831,Classical-era
Anne-Marie Krumpholtz,Anne-Marie Krumpholtz,1766,1813,Classical-era
Joseph Weigl,Joseph Weigl,1766,1846,Classical-era
Samuel Wesley,Samuel Wesley,1766,1837,Classical-era
Caroline Wuiet,Caroline Wuiet,1766,1835,Classical-era
Henri Montan Berton,Henri Montan Berton,1767,1844,Classical-era
Amélie-Julie Candeille,Amélie-Julie Candeille,1767,1834,Classical-era
Ferdinand Fränzl,Ferdinand Fränzl,1767,1833,Classical-era
José Maurício Nunes Garcia,José Maurício Nunes Garcia,1767,1830,Classical-era
August Eberhard Müller,August Eberhard Müller,1767,1817,Classical-era
Wenzel Müller,Wenzel Müller,1767,1835,Classical-era
Andreas Romberg,Andreas Romberg,1767,1821,Classical-era
Bernhard Romberg,Bernhard Romberg,1767,1841,Classical-era
Johannes Spech,Johannes Spech,1767?,1836,Classical-era
Artemy Vedel,Artemy Vedel,1767,1808,Classical-era
Johann Georg Heinrich Backofen,Johann Georg Heinrich Backofen,1768,1830?,Classical-era
Carlos Baguer,Carlos Baguer,1768,1808,Classical-era
Elizabeth Billington,Elizabeth Billington,c.1768,1818,Classical-era
Benjamin Carr,Benjamin Carr,1768,1831,Classical-era
Margarethe Danzi,Margarethe Danzi,1768,1800,Classical-era
Domenico Della-Maria,Domenico Della-Maria,1768,1800,Classical-era
Carel Anton Fodor,Carel Anton Fodor,1768,1846,Classical-era
Filippo Gragnani,Filippo Gragnani,1768,1820,Classical-era
Louis-Emmanuel Jadin,Louis-Emmanuel Jadin,1768,1853,Classical-era
Samuel Webbe the younger,Samuel Webbe the younger,1768,1843,Classical-era
Bonifazio Asioli,Bonifazio Asioli,1769,1832,Classical-era
Cecilia Maria Barthélemon,Cecilia Maria Barthélemon,c. 1769,1840,Classical-era
Maria Theresa Bland,Maria Theresa Bland,c. 1769,1838,Classical-era
Katerina Veronika Anna Dusíkova,Kateřina Veronika Anna Dusíkova,1769,1833,Classical-era
Józef Elsner,Józef Elsner,1769,1854,Classical-era
Giuseppe Farinelli,Giuseppe Farinelli,1769,1836,Classical-era
Johann Georg Lickl,Johann Georg Lickl,1769,1843,Classical-era
Alexey Nikolayevich Titov,Alexey Nikolayevich Titov,1769,1827,Classical-era
João José Baldi,João José Baldi,1770,1816,Classical-era
Ferdinando Carulli,Ferdinando Carulli,1770,1841,Classical-era
Jean Baptiste Édouard Du Puy,Édouard Du Puy,1770,1822,Classical-era
Peter Hänsel,Peter Hänsel,1770,1831,Classical-era
Christian Heinrich Rinck,Christian Heinrich Rinck,1770,1846,Classical-era
Jan August Vitásek,Jan August Vitásek,1770,1839,Classical-era
Adam Valentin Volckmar,Adam Valentin Volckmar,1770,1851,Classical-era
Friedrich Witt,Friedrich Witt,1770,1836,Classical-era
Mme Delaval,Mme Delaval,,1802,Classical-era
Ferdinando Paer,Ferdinando Paer,1771,1839,Classical-era
Antonio Casimir Cartellieri,Antonio Casimir Cartellieri,1772,1807,Classical-era
Lucile Grétry,Lucile Grétry,1772,1790,Classical-era
Maria Frances Parke,Maria Frances Parke,1772,1822,Classical-era
François-Louis Perne,François-Louis Perne,1772,1832,Classical-era
Josef Triebensee,Josef Triebensee,1772,1846,Classical-era
Johann Wilhelm Wilms,Johann Wilhelm Wilms,1772,1847,Classical-era
Sophie Bawr,Sophie Bawr,1773,1860,Classical-era
Pietro Generali,Pietro Generali,1773,1832,Classical-era
Wenzeslaus Matiegka,Wenzeslaus Matiegka,1773,1830,Classical-era
Bartolomeo Bortolazzi,Bartolomeo Bortolazzi,1773,1820,Classical-era
Pierre Rode,Pierre Rode,1774,1830,Classical-era
Václav Tomášek,Václav Tomášek,1774,1850,Classical-era
Christoph Ernst Friedrich Weyse,Christoph Ernst Friedrich Weyse,1774,1842,Classical-era
Catterino Cavos,Catterino Cavos,1775,1840,Classical-era
Johann Anton André,Johann Anton André,1775,1842,Classical-era
François-Adrien Boieldieu,François-Adrien Boieldieu,1775,1834,Classical-era
João Domingos Bomtempo,João Domingos Bomtempo,1775,1842,Classical-era
Maria Brizzi Giorgi,Maria Brizzi Giorgi,1775,1822,Classical-era
Bernhard Crusell,Bernhard Crusell,1775,1838,Classical-era
Sophia Corri Dussek,Sophia Corri Dussek,1775,1847,Classical-era
Margaret Essex,Margaret Essex,1775,1807,Classical-era
François de Fossa,François de Fossa,1775,1849,Classical-era
Sophie Gail,Sophie Gail,1775,1819,Classical-era
Nicolas Isouard,Nicolas Isouard,1775,1818,Classical-era
José Ángel Lamas,José Ángel Lamas,1775,1814,Classical-era
Maria Hester Park,Maria Hester Park,1775,1822,Classical-era
E. T. A. Hoffmann,Ernst Theodor Amadeus Hoffmann,1776,1822,Classical-era
Hyacinthe Jadin,Hyacinthe Jadin,1776,1800,Classical-era
Joseph Küffner,Joseph Küffner,1776,1856,Classical-era
Philipp Jakob Riotte,Philipp Jakob Riotte,1776,1856,Classical-era
Ignaz von Seyfried,Ignaz von Seyfried,1776,1841,Classical-era
Pauline Duchambge,Pauline Duchambge,1778,1858,Classical-era
Sigismund von Neukomm,Sigismund Neukomm,1778,1858,Classical-era
Fernando Sor,Fernando Sor,1778,1839,Classical-era
Joachim Nicolas Eggert,Joachim Nicolas Eggert,1779,1813,Classical-era
William Knyvett,William Knyvett,1779,1856,Classical-era
Nikolaus von Krufft,Nikolaus von Krufft,1779,1818,Classical-era
Louise Reichardt,Louise Reichardt,1779,1826,Classical-era
Luigi Antonio Calegari,Luigi Antonio Calegari,1780,1849,Classical-era
Conradin Kreutzer,Conradin Kreutzer,1780,1849,Classical-era
Louis François Dauprat,Louis François Dauprat,1781,1868,Classical-era
Anton Diabelli,Anton Diabelli,1781,1858,Classical-era
Anthony Philip Heinrich,Anthony Philip Heinrich,1781,1861,Classical-era
Sophie Lebrun,Sophie Lebrun,1781,1863,Classical-era
François Joseph Naderman,François Joseph Naderman,1781,1835,Classical-era
Karl Stefan Aichelburg,Karl Stefan Aichelburg,1782,1817,Classical-era
Daniel Auber,Daniel Auber,1782,1871,Classical-era
Carlo Coccia,Carlo Coccia,1782,1873,Classical-era
Charlotta Seuerling,Charlotta Seuerling,1782,1828,Classical-era
Friedrich Dotzauer,Friedrich Dotzauer,1783,1860,Classical-era
Teresa Belloc-Giorgi,Teresa Belloc-Giorgi,1784,1855,Classical-era
Martin-Joseph Mengal,Martin-Joseph Mengal,1784,1851,Classical-era
Francesco Morlacchi,Francesco Morlacchi,1784,1841,Classical-era
Alexandre Pierre François Boëly,Alexandre Pierre François Boëly,1785,1858,Classical-era
Bettina Brentano,Bettina Brentano,1785,1859,Classical-era
Catherina Cibbini-Kozeluch,Catherina Cibbini-Kozeluch,1785,1858,Classical-era
Isabella Colbran,Isabella Colbran,1785,1845,Classical-era
Karol Kurpiński,Karol Kurpiński,1785,1857,Classical-era
Fanny Krumpholtz Pittar,Fanny Krumpholtz Pittar,1785,1815,Classical-era
Marie Bigot,Marie Bigot,1786,1820,Classical-era
Pietro Raimondi,Pietro Raimondi,1786,1853,Classical-era
Le Sénéchal de Kerkado,Le Sénéchal de Kerkado,1786,1805,Classical-era
Alexander Alyabyev,Alexander Alyabyev,1787,1851,Classical-era
Michele Carafa,Michele Carafa,1787,1872,Classical-era
Johann Peter Pixis,Johann Peter Pixis,1788,1874,Classical-era
Simon Sechter,Simon Sechter,1788,1867,Classical-era
Elena Asachi,Elena Asachi,1789,1877,Classical-era
Nicolas Bochsa,Nicolas Bochsa,1789,1856,Classical-era
Frederic Ernest Fesca,Frederic Ernest Fesca,1789,1826,Classical-era
Maria Agata Szymanowska,Maria Agata Szymanowska,1789,1831,Classical-era
Harriet Browne,Harriet Browne,1790,1858,Classical-era
Louis Joseph Ferdinand Herold,Louis Joseph Ferdinand Herold,1791,1833,Classical-era
Franz Xaver Wolfgang Mozart,Franz Xaver Mozart,1791,1844,Classical-era
Carlo Evasio Soliva,Carlo Evasio Soliva,1791,1853,Classical-era
Jan Václav Voříšek,Jan Václav Voříšek,1791,1825,Classical-era
Hedda Wrangel,Hedda Wrangel,1792,1833,Classical-era
Gertrude van den Bergh,Gertrude van den Bergh,1793,1840,Classical-era
Bernhard Klein,Bernhard Klein,1793,1832,Classical-era
Caroline Ridderstolpe,Caroline Ridderstolpe,1793,1878,Classical-era
"Amalie, Princess of Saxony","Amalie, Princess of Saxony",1794,1870,Classical-era
Saverio Mercadante,Saverio Mercadante,1795,1870,Classical-era
Franz Berwald,Franz Berwald,1796,1868,Classical-era
Helene Liebmann,Helene Liebmann,1796,1835,Classical-era
Carl Loewe,Carl Loewe,1796,1869,Classical-era
Mathilda d'Orozco,Mathilda d'Orozco,1796,1863,Classical-era
Emilie Zumsteeg,Emilie Zumsteeg,1796,1857,Classical-era
Luigi Castellacci,Luigi Castellacci,1797,1845,Classical-era
Annette von Droste-Hülshoff,Annette von Droste-Hülshoff,1797,1848,Classical-era
Antonio Rolla,Antonio Rolla,1798,1837,Classical-era
Olivia Buckley,Olivia Buckley,1799,1847,Classical-era
Maria Fredrica von Stedingk,Maria Fredrica von Stedingk,1799,1868,Classical-era
Oscar I of Sweden,Oscar I of Sweden,1799,1859,Classical-era
Tomaso Albinoni,Tomaso Albinoni,1671,1751,Classical-era
Antonio Vivaldi,Antonio Vivaldi,1678,1741,Classical-era
Georg Philipp Telemann,Georg Philipp Telemann,1681,1767,Classical-era
Jean-Philippe Rameau,Jean-Philippe Rameau,1683,1764,Classical-era
George Frideric Handel,George Frideric Handel,1685,1759,Classical-era
Wilhelm Hieronymus Pachelbel,Wilhelm Hieronymus Pachelbel,1685,1764,Classical-era
Domenico Scarlatti,Domenico Scarlatti,1685,1757,Classical-era
Johann Sebastian Bach,Johann Sebastian Bach,1685,1750,Classical-era
Nicola Porpora,Nicola Porpora,1686,1768,Classical-era
Francesco Geminiani,Francesco Geminiani,1687,1762,Classical-era
Giuseppe Tartini,Giuseppe Tartini,1692,1770,Classical-era
Jean-Marie Leclair,Jean-Marie Leclair,1697,1764,Classical-era
Johann Adolf Hasse,Johann Adolf Hasse,1699,1783,Classical-era
Giovanni Battista Sammartini,Giovanni Battista Sammartini,1700,1775,Classical-era
Franz Xaver Richter,Franz Xaver Richter,1709,1789,Classical-era
Wilhelm Friedemann Bach,Wilhelm Friedemann Bach,1710,1784,Classical-era
William Boyce (composer),William Boyce,1711,1779,Classical-era
Carl Philipp Emanuel Bach,Carl Philipp Emanuel Bach,1714,1788,Classical-era
Christoph Willibald Gluck,Christoph Willibald Gluck,1714,1787,Classical-era
Leopold Mozart,Leopold Mozart,1719,1787,Classical-era
Niccolò Piccinni,Niccolò Piccinni,1728,1800,Classical-era
Antonio Soler,Antonio Soler,1729,1783,Classical-era
Joseph Haydn,Joseph Haydn,1732,1809,Classical-era
Johann Christian Bach,Johann Christian Bach,1735,1782,Classical-era
Michael Haydn,Michael Haydn,1737,1806,Classical-era
Giovanni Paisiello,Giovanni Paisiello,1740,1816,Classical-era
Luigi Boccherini,Luigi Boccherini,1743,1805,Classical-era
Carl Stamitz,Carl Stamitz,1745,1801,Classical-era
Leopold Kozeluch,Leopold Kozeluch,1747,1818,Classical-era
Domenico Cimarosa,Domenico Cimarosa,1749,1801,Classical-era
Antonio Rosetti,Antonio Rosetti,c. 1750,1792,Classical-era
Antonio Salieri,Antonio Salieri,1750,1825,Classical-era
Muzio Clementi,Muzio Clementi,1752,1832,Classical-era
Franz Anton Hoffmeister,Franz Anton Hoffmeister,1754,1812,Classical-era
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,1756,1791,Classical-era
Ignaz Pleyel,Ignaz Pleyel,1757,1831,Classical-era
Franz Krommer,Franz Krommer,1759,1831,Classical-era
Luigi Cherubini,Luigi Cherubini,1760,1842,Classical-era
Johann Ladislaus Dussek,Johann Ladislaus Dussek,1760,1812,Classical-era
Franz Xaver Süssmayr,Franz Xaver Süssmayr,1766,1803,Classical-era
Ludwig van Beethoven,Ludwig van Beethoven,1770,1827,Classical-era
Anton Reicha,Anton Reicha,1770,1836,Classical-era
Johann Baptist Cramer,Johann Baptist Cramer,1771,1858,Classical-era
Joseph Wölfl,Joseph Wölfl,1773,1812,Classical-era
Gaspare Spontini,Gaspare Spontini,1774,1851,Classical-era
Johann Nepomuk Hummel,Johann Nepomuk Hummel,1778,1837,Classical-era
Mauro Giuliani,Mauro Giuliani,1781,1829,Classical-era
John Field (composer),John Field,1782,1837,Classical-era
Niccolò Paganini,Niccolò Paganini,1782,1840,Classical-era
Ferdinand Ries,Ferdinand Ries,1784,1838,Classical-era
Louis Spohr,Louis Spohr,1784,1859,Classical-era
Friedrich Kalkbrenner,Friedrich Kalkbrenner,1785,1849,Classical-era
Friedrich Kuhlau,Friedrich Kuhlau,1786,1832,Classical-era
Carl Maria von Weber,Carl Maria von Weber,1786,1826,Classical-era
Carl Czerny,Carl Czerny,1791,1857,Classical-era
Giacomo Meyerbeer,Giacomo Meyerbeer,1791,1864,Classical-era
Gioachino Rossini,Gioachino Rossini,1792,1868,Classical-era
Ignaz Moscheles,Ignaz Moscheles,1794,1870,Classical-era
Heinrich Marschner,Heinrich Marschner,1795,1861,Classical-era
Giovanni Pacini,Giovanni Pacini,1796,1867,Classical-era
Gaetano Donizetti,Gaetano Donizetti,1797,1848,Classical-era
Franz Schubert,Franz Schubert,1797,1828,Classical-era
Fromental Halévy,Fromental Halévy,1799,1862,Classical-era
